incubation,nutrient,N,P,Si,top,cr.area,gpp.area,cr.nrr,gpp.nrr
GH,control,0,0,0,glass,-4.848061659,8.727540796,,
GH,control,0,0,0,glass,-14.84971502,18.72919415,,
GH,control,0,0,0,glass,-17.43158102,21.31106015,,
GH,N,1,0,0,glass,-3.42694715,7.306426287,0.276892521,0.449462167
GH,N,1,0,0,glass,-14.28942003,18.16889917,1.154565087,1.117678119
GH,N,1,0,0,glass,-17.50764328,21.38712242,1.41459301,1.315650361
GH,N,1,0,0,glass,-20.46517541,24.34465455,1.653557456,1.497585927
GH,N,1,0,0,glass,-16.34098884,20.22046798,1.320328968,1.243882439
GH,NP,1,1,0,glass,0,3.879479137,0,0.238650064
GH,NP,1,1,0,glass,-16.09637135,19.97585049,1.300564218,1.228834548
GH,NP,1,1,0,glass,-9.960811155,13.84029029,0.804819564,0.851399387
GH,NP,1,1,0,glass,-17.61939179,21.49887093,1.423622132,1.322524683
GH,NP,1,1,0,glass,-21.76765516,25.6471343,1.758795992,1.57770928
GH,P,0,1,0,glass,-18.0353066,21.91478573,1.457227465,1.348110101
GH,control,0,0,0,cellulose,-23.23597153,27.11545067,,
GH,control,0,0,0,cellulose,-24.30099111,28.18047024,,
GH,control,0,0,0,cellulose,-19.4408925,23.32037163,,
GH,control,0,0,0,cellulose,-20.64130538,24.52078452,,
GH,N,1,0,0,cellulose,-21.20843464,25.08791377,0.968209899,0.97299301
GH,N,1,0,0,cellulose,-20.08108322,23.96056236,0.916743922,0.929270561
GH,NP,1,1,0,cellulose,-12.32170226,16.2011814,0.56251177,0.628335875
GH,NP,1,1,0,cellulose,-20.4327334,24.31221254,0.932797497,0.942908728
GH,NP,1,1,0,cellulose,-22.91210087,26.79158,1.045985866,1.039066872
GH,P,0,0,0,cellulose,-20.57589687,24.45537601,0.939333212,0.948461085
GH,P,0,0,0,cellulose,-31.06073778,34.94021692,1.417988376,1.355098202
GH,P,0,0,0,cellulose,-28.6931958,32.57267494,1.309905077,1.263277024
GH,P,0,0,0,cellulose,-27.69910736,31.57858649,1.264522837,1.224722957
lab,control,0,0,0,glass,-25.27559709,4.965619368,,
lab,control,0,0,0,glass,-19.85298145,0,,
lab,control,0,0,0,glass,-21.29066537,2.049149643,,
lab,N,1,0,0,glass,-10.06235392,3.326153764,0.454492704,1.422493211
lab,N,1,0,0,glass,-18.07717556,0,0.816503223,0
lab,N,1,0,0,glass,-15.88801756,0,0.717624138,0
lab,N,1,0,0,glass,-13.75837224,1.885947644,0.621433101,0.806561545
lab,N,1,0,0,glass,-15.70637908,2.042009094,0.709419959,0.873304206
lab,NP,1,1,0,glass,-25.28862475,4.071770134,1.142227309,1.741370298
lab,NP,1,1,0,glass,-16.81366719,0,0.759433541,0
lab,NP,1,1,0,glass,-17.63610833,0.236865389,0.79658126,0.101300009
lab,NP,1,1,0,glass,-18.16335046,0,0.820395539,0
lab,NP,1,1,0,glass,-18.63621822,0,0.841753856,0
lab,P,0,1,0,glass,-9.381850199,0,0.423755962,0
lab,P,0,1,0,glass,-14.47212607,0,0.653671672,0
lab,P,0,1,0,glass,-19.22853287,7.465539928,0.868507306,3.192780796
lab,P,0,1,0,glass,-16.71530889,2.113591284,0.754990929,0.903917697
lab,P,0,1,0,glass,-18.30372154,3.065168899,0.826735768,1.310878046
lab,control,0,0,0,cellulose,-34.95229316,13.66224808,,
lab,control,0,0,0,cellulose,-24.69318399,0,,
lab,control,0,0,0,cellulose,-25.57628043,0.92631354,,
lab,N,1,0,0,cellulose,-13.29329254,0,0.467954179,0
lab,N,1,0,0,cellulose,-17.95115635,2.572541121,0.631921596,0.5290188
lab,N,1,0,0,cellulose,-22.30190342,0,0.785077804,0
lab,N,1,0,0,cellulose,-22.75070135,0,0.800876513,0
lab,N,1,0,0,cellulose,-18.41161115,1.627681937,0.648130654,0.334717427
lab,NP,1,1,0,cellulose,-11.70420418,0,0.412014649,0
lab,NP,1,1,0,cellulose,-20.23562084,0.729802884,0.71233995,0.150077075
lab,NP,1,1,0,cellulose,-15.42425396,0,0.542968875,0
lab,NP,1,1,0,cellulose,-15.57840783,0,0.548395443,0
lab,P,0,1,0,cellulose,-30.31927838,6.395319327,1.067307665,1.315137056
lab,P,0,1,0,cellulose,-18.39490484,0,0.647542554,0
lab,P,0,1,0,cellulose,-10.11821617,0,0.356184258,0
lab,P,0,1,0,cellulose,-22.19973523,0,0.781481251,0
