Sample_ID,Site,Site_Full_Name,Sample_Date,Time,type,Location,Matrix,NH4_mgNL,NO3_mgNL,Notes.NO3,Notes.NH4
AC_2018-07-18_FBP_g_SW,AC,Ahtanum,7/18/2018,summer,trib,FBP,SW,0.50285,0.471,,large discrepancy in duplicates
AC_2018-07-30_FBP_g_SW,AC,Ahtanum,7/30/2018,summer,trib,FBP,SW,0.6788,0.53,,large discrepancy in duplicates
AC_2018-11-03_FBP_e_SW,AC,Ahtanum,11/3/2018,fall,trib,FBP,SW,0.2564,0.3355,,
AC_2018-11-18_FBP_d_SW,AC,Ahtanum,11/18/2018,fall,trib,FBP,SW,0.2516,0.532,,
YAK_2018-06-14_CL_f_SW,YAK,Century Landing,6/14/2018,summer,main,CL,SW,0,0.094,,BD limit of 0.09 ppm
YAK_2018-06-28_CL_f_SW,YAK,Century Landing,6/28/2018,summer,main,CL,SW,0,0.096,,BD limit of 0.09 ppm
YAK_2018-07-10_CL_f_SW,YAK,Century Landing,7/10/2018,summer,main,CL,SW,1.0695,0.23,,analytical rep 1 diluted 2x.  Large discrepancy in duplicates
YAK_2018-11-18_CL_g_SW,YAK,Century Landing,11/18/2018,fall,main,CL,SW,0.23705,0.549,,
YAK_2018-11-29_CL_b_SW,YAK,Century Landing,11/29/2018,fall,main,CL,SW,0.3726,0.386,,
Cle Elum_2018-06-15,Cle Elum,Cle Elum,6/15/2018,summer,main,,SW,0,0.03,spiked,spiked result negative so reported as zero
Cle Elum_2018-11-18,Cle Elum,Cle Elum,11/18/2018,fall,main,,SW,0.0531,0.023,,ran a spike and non-spiked. Non-spike reported here because above DL of 0.0198 ppm
Cle Elum_2018-11-30,Cle Elum,Cle Elum,11/30/2018,fall,main,,SW,0,0.006,spiked,spiked result negative so reported as zero
Ellensburg_2018-06-15,Ellensburg,Ellensburg,6/15/2018,summer,main,,SW,0,0.037,,spiked result negative so reported as zero
YAK_2018-06-12_K_f_SW,YAK,Kiona,6/12/2018,summer,main,K,SW,0,0.355,,BD limit of 0.09 ppm
