Site_Full_Name,Time,type,NO3_ave,NH4_ave,DIN_ave
Ahtanum,fall,trib,0.43375,0.254,0.68775
Ahtanum,summer,trib,0.5005,0.590825,1.091325
Century Landing,fall,main,0.4675,0.304825,0.772325
Century Landing,summer,main,0.14,0.3565,0.4965
Cle Elum,fall,main,0.0145,0.02655,0.04105
Cle Elum,summer,main,0.03,0,0.03
Ellensburg,summer,main,0.037,0,0.037
Kiona,fall,main,1.64,0.28495,1.92495
Kiona,summer,main,1.0845,0,1.0845
Mabton,fall,main,1.4595,0.369575,1.829075
Mabton,summer,main,1.09733333333333,0.536766666666667,1.6341
Main Stem 1,summer,main,0.15,0.002,0.152
Main Stem 2,summer,main,0.077,0,0.077
Main Stem 3,summer,main,0.0045,0,0.0045
Reecer,fall,trib,0.387,0.00255,0.38955
Reecer,summer,trib,0.1755,0.01265,0.18815
Ringer,fall,main,0.193,0,0.193
Roza,fall,main,0.2985,0.01415,0.31265
Satus,fall,trib,0.301,0.29945,0.60045
Satus,summer,trib,1.034,0.535075,1.569075
Selah,summer,main,0.069,0,0.069
Toppenish,summer,trib,1.967,0.44765,2.41465
Wenas,fall,trib,0.127,2e-04,0.1272
Wenas,summer,trib,0.0365,0.0237,0.0602
