sample,stream,type,date,season,doc.mg.l,tdn.mg.l
Roza-14jun18,roza,mainstem,14-Jun-18,summer,1.975,0.000
Ellensburg-15jun18,ringer,mainstem,15-Jun-18,summer,1.34,0.000
CleElum15jun18,cleelum,mainstem,15-Jun-18,summer,1.124,0.000
Ellensburg-28jun18,ringer,mainstem,28-Jun-18,summer,1.729,0.009
CleElum-28jul18,cleelum,mainstem,28-Jun-18,summer,1.36,0.000
Recer-19jul18,reecer,trib,19-Jul-18,summer,3.829,0.298
Wenas-19jul18,wenas,trib,19-Jul-18,summer,6.151,0.186
Recer-31jul18,reecer,trib,31-Jul-18,summer,14.04,0.340
Wenas-31jul18,wenas,trib,31-Jul-18,summer,6.549,0.338
Roza-18nov18,roza,mainstem,18-Nov-18,fall,9.779,0.305
Ellensburg-18nov18,ringer,mainstem,18-Nov-18,fall,6.888,0.106
CleElum-18nov18,cleelum,mainstem,18-Nov-18,fall,5.351,0.000
Roza-30nov18,roza,mainstem,30-Nov-18,fall,7.868,0.228
Ellensburg-30nov18,ringer,mainstem,30-Nov-18,fall,6.472,0.123
CleElum-30nov18,cleelum,mainstem,30-Nov-18,fall,4.123,0.000
Recer-28oct18,reecer,trib,28-Oct-18,fall,12.86,0.435
Wenas-28oct18,wenas,trib,28-Oct-18,fall,14.34,0.177
Recer-10nov18,reecer,trib,10-Nov-18,fall,15.36,0.376
Wenas-10nov18,wenas,trib,10-Nov-18,fall,20.42,0.210
Yak-2018-06-cl-e-sw,century,mainstem,18-Jun,summer,6.034,0.074
Yak-2018-07-10-cl-d-sw,century,mainstem,10-Jul-18,summer,6.141,0.236
Yak-2018-11-18-cl-sw-e,century,mainstem,18-Nov-18,fall,3.248,0.079
Yak-2018-11-29-cl-sw-e,century,mainstem,29-Nov-18,fall,4.589,0.119
SC-2018-7-19-slr-c-sw,satus,trib,19-Jul-18,summer,14.5,1.014
SC-aug-2-2108-sld-d-sw,satus,trib,2-Aug-18,summer,13.81,0.698
SC-2018-11-3-slr-sw-a,satus,trib,3-Nov-18,fall,13.94,0.291
SC-2018-11-18-slr-sw-a,satus,trib,18-Nov-18,fall,9.552,0.259
Yak-2018-6-13-m-6-sw,mabton,mainstem,13-Jun-18,summer,6.071,0.320
Yak-2018-6-26-m-e-sw,mabton,mainstem,26-Jun-18,summer,11.16,1.380
Yak-2018-7-10-m-a-sw,mabton,mainstem,10-Jul-18,summer,11.27,1.212
Yak-2018-11-21-m-sw-c,mabton,mainstem,21-Nov-18,fall,9.673,0.000
Yak-218-6-12-k-c-sw,kiona,mainstem,12-Jun-18,summer,5.307,0.924
Yak-2018-6-14-k-d-sw,kiona,mainstem,14-Jun-18,summer,4.047,0.213
Yak-2018-11-21-k-sw-a,kiona,mainstem,21-Nov-18,fall,5.781,0.633
Yak-2018-11-29-k-sw-g,kiona,mainstem,29-Nov-18,fall,2.625,0.354
AC-2018-7-18-FD-c-sw,ahtanum,trib,18-Jul-18,summer,5.619,1.180
AC-2018-7-30-FBD-d-sw,ahtanum,trib,30-Jul-18,summer,4.217,0.342
AC-2018-11-3-FB-sw-b,ahtanum,trib,3-Nov-18,fall,6.121,0.370
AC-2018-11-18-FB-sw-f,ahtanum,trib,18-Nov-18,fall,3.419,0.230
TC-2018-7-19-ICR-a-sw,toppenish,trib,19-Jul-18,summer,6.153,0.343
TC-2018-8-1-ICR-e-sw,toppenish,trib,1-Aug-18,summer,6.928,1.538
