stream,season,type,DOC_ave,TDN_ave
Ahtanum,fall,trib,4.77,0.3
Ahtanum,summer,trib,4.918,0.761
Century,fall,mainstem,3.9185,0.099
Century,summer,mainstem,6.0875,0.155
Cle Elum,fall,mainstem,4.737,0
Cle Elum,summer,mainstem,1.242,0
Kiona,fall,mainstem,4.203,0.4935
Kiona,summer,mainstem,4.677,0.5685
Mabton,fall,mainstem,9.673,0
Mabton,summer,mainstem,9.500333333,0.970666667
Reecer,fall,trib,14.11,0.4055
Reecer,summer,trib,8.9345,0.319
Ringer,fall,mainstem,6.68,0.1145
Ringer,summer,mainstem,1.5345,0.0045
Roza,fall,mainstem,8.8235,0.2665
Roza,summer,mainstem,1.975,0
Satus,fall,trib,11.746,0.275
Satus,summer,trib,14.155,0.856
Toppenish,summer,trib,6.5405,0.9405
Wenas,fall,trib,17.38,0.1935
Wenas,summer,trib,6.35,0.262
