location,incubation,nutrient,N,P,top,cr.area,gpp.area,cr.nrr,gpp.nrr,chla_mgL,chla.nrr
columbia,GH,control,0,0,cellulose,-23.23597153,27.11545067,,,,
columbia,GH,control,0,0,cellulose,-24.30099111,28.18047024,,,,
columbia,GH,control,0,0,cellulose,-19.4408925,23.32037163,,,,
columbia,GH,control,0,0,cellulose,-20.64130538,24.52078452,,,,
columbia,GH,N,1,0,cellulose,-21.20843464,25.08791377,0.968209899,0.97299301,,
columbia,GH,N,1,0,cellulose,-20.08108322,23.96056236,0.916743922,0.929270561,,
columbia,GH,NP,1,1,cellulose,-12.32170226,16.2011814,0.56251177,0.628335875,,
columbia,GH,NP,1,1,cellulose,-20.4327334,24.31221254,0.932797497,0.942908728,,
columbia,GH,NP,1,1,cellulose,-22.91210087,26.79158,1.045985866,1.039066872,,
columbia,GH,P,0,0,cellulose,-20.57589687,24.45537601,0.939333212,0.948461085,,
columbia,GH,P,0,0,cellulose,-31.06073778,34.94021692,1.417988376,1.355098202,,
columbia,GH,P,0,0,cellulose,-28.6931958,32.57267494,1.309905077,1.263277024,,
columbia,GH,P,0,0,cellulose,-27.69910736,31.57858649,1.264522837,1.224722957,,
columbia,GH,control,0,0,glass,-4.848061659,8.727540796,,,0.566032327,
columbia,GH,control,0,0,glass,-14.84971502,18.72919415,,,0.441191283,
columbia,GH,control,0,0,glass,-17.43158102,21.31106015,,,0.57453883,
columbia,GH,N,1,0,glass,-3.42694715,7.306426287,0.276892521,0.449462167,0.791014063,1.500251952
columbia,GH,N,1,0,glass,-14.28942003,18.16889917,1.154565087,1.117678119,1.283702511,2.434694007
columbia,GH,N,1,0,glass,-17.50764328,21.38712242,1.41459301,1.315650361,0.767579824,1.45580614
columbia,GH,N,1,0,glass,-20.46517541,24.34465455,1.653557456,1.497585927,1.644206138,3.118431877
columbia,GH,N,1,0,glass,-16.34098884,20.22046798,1.320328968,1.243882439,1.466453945,2.781303768
columbia,GH,NP,1,1,glass,0,3.879479137,0,0.238650064,0.847346582,1.607093254
columbia,GH,NP,1,1,glass,-16.09637135,19.97585049,1.300564218,1.228834548,1.23209406,2.336812461
columbia,GH,NP,1,1,glass,-9.960811155,13.84029029,0.804819564,0.851399387,0.394893829,0.748962965
columbia,GH,NP,1,1,glass,-17.61939179,21.49887093,1.423622132,1.322524683,0.178773299,0.339064757
columbia,GH,NP,1,1,glass,-21.76765516,25.6471343,1.758795992,1.57770928,1.31036884,2.485269861
columbia,GH,P,0,1,glass,-18.0353066,21.91478573,1.457227465,1.348110101,2.039383149,3.86793193
columbia,lab,control,0,0,cellulose,-19.9640219,0,,,,
columbia,lab,control,0,0,cellulose,-28.2803354,2.001106395,,,,
columbia,lab,control,0,0,cellulose,-25.57628043,0.92631354,,,,
columbia,lab,N,1,0,cellulose,-11.07041354,0,0.449891001,0,,
columbia,lab,N,1,0,cellulose,-18.11667412,2.738058887,0.736244281,2.805944088,,
columbia,lab,N,1,0,cellulose,-24.95491619,0,1.014143888,0,,
columbia,lab,N,1,0,cellulose,-23.36853934,0,0.949675052,0,,
columbia,lab,N,1,0,cellulose,-18.41161115,1.627681937,0.74823024,1.668037357,,
columbia,lab,NP,1,1,cellulose,-11.70420418,0,0.475647646,0,,
columbia,lab,NP,1,1,cellulose,-20.23562084,0.729802884,0.822356246,0.747897022,,
columbia,lab,NP,1,1,cellulose,-17.03751709,0,0.692388373,0,,
columbia,lab,NP,1,1,cellulose,-16.8067261,0,0.683009249,0,,
columbia,lab,P,0,1,cellulose,-26.3021269,2.378167855,1.068893241,2.437130211,,
columbia,lab,P,0,1,cellulose,-19.75569456,0.974938696,0.802852502,0.999110532,,
columbia,lab,P,0,1,cellulose,-10.22608414,0,0.415578263,0,,
columbia,lab,P,0,1,cellulose,-22.19973523,0,0.902175973,0,,
columbia,lab,control,0,0,glass,-20.21150834,0,,,0.472630987,
columbia,lab,control,0,0,glass,-22.07586197,2.150786902,,,0.632759386,
columbia,lab,control,0,0,glass,-21.29066537,1.912684992,,,0.307629005,
columbia,lab,N,1,0,glass,-10.06235392,3.326153764,0.47480331,2.455649147,1.376640988,2.922764562
columbia,lab,N,1,0,glass,-19.11463602,0,0.901945262,0,0.642481103,1.364060068
columbia,lab,N,1,0,glass,-18.49852223,0.428389555,0.872873251,0.316273546,0.539517105,1.145455852
columbia,lab,N,1,0,glass,-13.75837224,1.885947644,0.649204026,1.392366695,0.358060416,0.760202772
columbia,lab,N,1,0,glass,-15.70637908,2.042009094,0.741122885,1.507584509,0.779078236,1.654071235
