nds.id,nutrient,N,P,top,cr.area,gpp.area,cr.nrr,gpp.nrr
F4,C,0,0,glass,-1.657087536,3.10741525,,
G8,C,0,0,glass,-0.994744821,2.509769897,,
H1,C,0,0,glass,0.03549188,4.430252767,,
H3,C,0,0,glass,-1.967272596,4.368370229,,
H4,C,0,0,glass,-2.351479091,4.651573634,,
G3,C,0,0,sponge,-6.865024199,8.700148785,,
G7,C,0,0,sponge,-5.129045311,2.922565646,,
H5,C,0,0,sponge,-6.752853256,4.709956217,,
I6,C,0,0,sponge,-7.311686875,7.886111852,,
I8,C,0,0,sponge,-11.03606537,10.87475987,,
G2,N,1,0,glass,-1.837735085,7.533157215,,1.975404386
G5,N,1,0,glass,-1.736319393,6.441205675,,1.68906417
H8,N,1,0,glass,-3.980558226,5.134065698,,1.346295532
J4,N,1,0,glass,-1.334289299,-5.753184339,,-1.508645744
J5,N,1,0,glass,-4.005376368,9.798866078,,2.56953658
F2,N,1,0,sponge,-15.30963622,-1.918601183,2.06358809,
G1,N,1,0,sponge,-17.8140281,-0.268621451,2.401155434,
H2,N,1,0,sponge,-14.59013025,2.282423431,1.966605775,
H6,N,1,0,sponge,-16.48056675,0.958461328,2.221417985,
H7,N,1,0,sponge,-14.77012385,8.480621841,1.990867139,
F6,N+P,1,1,glass,-0.585539146,3.746127543,,0.982339352
F7,N+P,1,1,glass,-0.485301786,4.748084498,,1.245080472
I2,N+P,1,1,glass,-2.017491848,3.951154103,,1.036103047
I5,N+P,1,1,glass,-1.104389392,5.626924511,,1.475536888
J2,N+P,1,1,glass,-0.598609597,5.362002106,,1.406066829
F5,N+P,1,1,sponge,-16.00050295,-0.375675973,2.156710116,
I1,N+P,1,1,sponge,-16.46170316,2.507449866,2.21887536,
J1,N+P,1,1,sponge,-16.34875234,8.698649883,2.203650702,
J7,N+P,1,1,sponge,-14.59201718,11.34231247,1.966860115,
J8,N+P,1,1,sponge,-14.18933731,5.32358558,1.912582837,
F1,P,0,1,glass,0.882552645,5.988303838,,1.570300649
F3,P,0,1,glass,-0.671897487,5.161864042,,1.353585034
F8,P,0,1,glass,0.364402601,4.380121339,,1.148590246
G6,P,0,1,glass,-1.483489647,8.351135229,,2.189901085
J3,P,0,1,glass,-1.925032103,8.083077379,,2.119608824
G4,P,0,1,sponge,-8.036809949,12.45499841,1.08328278,
I3,P,0,1,sponge,-7.173746931,6.313070223,0.966950391,
I4,P,0,1,sponge,-6.224410251,7.089648785,0.838989162,
I7,P,0,1,sponge,-6.667967136,6.956122517,0.898776259,
J6,P,0,1,sponge,-10.94775016,17.4793737,1.475648834,
