nds.id,nutrient,N,P,top,cr.area,gpp.area,cr.nrr,gpp.nrr
A1,N+P,1,1,glass,-1.728814705,1.186737707,,0.409150625
A2,C,0,0,glass,-4.389758755,0.621155478,,
A3,P,0,1,glass,-2.732121478,1.484957698,,0.511967697
A4,N,1,0,sponge,-10.90360768,9.732669153,0.988388705,
A5,C,0,0,sponge,-8.184875677,0,,
A6,P,0,1,sponge,-11.02030786,1.92304755,0.998967327,
A7,P,0,1,sponge,-10.75857566,1.081340583,0.975241863,
A8,N,1,0,glass,-4.32210009,4.069454943,,1.403022779
B1,N,1,0,glass,-3.93150484,4.710198999,,1.623931603
B2,N+P,1,1,sponge,-12.69819822,3.961374208,1.151064498,
B3,C,0,0,glass,-4.956845191,4.365881431,,
B4,N,1,0,sponge,-17.16834386,4.442691518,1.556273635,
B5,N+P,1,1,sponge,-14.607775,2.499859169,1.324163547,
B6,C,0,0,sponge,-10.31122725,4.659254651,,
B7,P,0,1,glass,-3.168341814,2.908178475,,1.002650405
B8,N+P,1,1,glass,-2.15212648,2.250220262,,0.775806669
C1,C,0,0,glass,-3.974904313,2.391539288,,
C2,N+P,1,1,sponge,-13.47938872,2.995743063,1.221877745,
C3,N+P,1,1,glass,-3.211963848,3.631416528,,1.252000619
C4,C,0,0,glass,-5.567553662,2.312529992,,
C5,P,0,1,glass,-3.168341814,3.605611703,,1.24310391
C6,N,1,0,sponge,-18.3488095,2.287603116,1.66328032,
C7,N,1,0,sponge,-14.24833835,3.842417028,1.291581383,
C8,N,1,0,glass,-5.567553662,4.488523706,,1.547504786
D1,P,0,1,sponge,-11.42977035,3.904325707,1.036084226,
D2,C,0,0,glass,-3.691806217,4.811347741,,
D3,N+P,1,1,glass,-3.560940116,4.911631003,,1.693379157
D4,N+P,1,1,glass,-4.084404519,5.943624005,,2.049178572
D5,P,0,1,glass,-3.410711174,4.807631934,,1.657523479
D6,P,0,1,sponge,-9.313039393,3.08203118,0.844207093,
D7,C,0,0,sponge,-12.65479875,5.511687649,,
D8,P,0,1,sponge,-11.09241775,2.93774706,1.005503934,
E1,N,1,0,sponge,-14.43417711,0,1.30842727,
E2,N+P,1,1,sponge,-12.39440192,1.33063219,1.123526013,
E3,N,1,0,glass,-4.061703257,1.870092296,,0.64475025
E4,N+P,1,1,sponge,-11.87360825,1.388957328,1.076317182,
E5,C,0,0,sponge,-10.57162409,2.741259007,,
E6,N,1,0,glass,-4.235301146,2.991737915,,1.031459127
E7,C,0,0,sponge,-13.43598925,4.22621179,,
E8,P,0,1,glass,-3.342829948,2.729362758,,0.941000251
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
