stream,season,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,chla.nrr,gpp.nrr,cr.es,gpp.es,chla.es,type,position,river_mile,Si.mgL,oP.mgPL,NH4.mgNL,NO3.mgNL,DOC.mgL,TDN.mgL,DIN.mgNL,N.P.ratio,N.Si.ratio,P.Si.ratio
ahtanum,fall,A1,Si,0,0,1,sponge,-9.469852038,3.122831252,NA,0.559032052931186,NA,NA,-0.581548467701336,NA,NA,trib,3,107,39.85120196,0.07375,0.254,0.43375,4.77,0.3,0.68775,20.6491525423729,0.0345158974472247,0.00167154062988283
ahtanum,fall,A2,P,0,1,0,sponge,-14.22761113,5.523216386,NA,0.839895980042185,NA,NA,-0.174477228095865,NA,NA,trib,3,107,39.85120196,0.07375,0.254,0.43375,4.77,0.3,0.68775,20.6491525423729,0.0345158974472247,0.00167154062988283
ahtanum,fall,A5,P,0,1,0,sponge,-11.31099131,0,NA,0.667719692698762,NA,NA,-0.403886815219758,NA,NA,trib,3,107,39.85120196,0.07375,0.254,0.43375,4.77,0.3,0.68775,20.6491525423729,0.0345158974472247,0.00167154062988283
ahtanum,fall,A6,control,0,0,0,sponge,-13.62759973,0,NA,0.804475616199314,NA,NA,-0.217564622270297,NA,NA,trib,3,107,39.85120196,0.07375,0.254,0.43375,4.77,0.3,0.68775,20.6491525423729,0.0345158974472247,0.00167154062988283
ahtanum,fall,A7,Si,0,0,1,sponge,-9.459993952,0,NA,0.55845010233339,NA,NA,-0.582590006749925,NA,NA,trib,3,107,39.85120196,0.07375,0.254,0.43375,4.77,0.3,0.68775,20.6491525423729,0.0345158974472247,0.00167154062988283
ahtanum,fall,A8,NPSi,1,1,1,sponge,-10.29608293,0,NA,0.607806790899265,NA,NA,-0.497898225644348,NA,NA,trib,3,107,39.85120196,0.07375,0.254,0.43375,4.77,0.3,0.68775,20.6491525423729,0.0345158974472247,0.00167154062988283
ahtanum,fall,B1,NSi,1,0,1,sponge,-5.86117618,0,NA,0.346001747371416,NA,NA,-1.06131145373076,NA,NA,trib,3,107,39.85120196,0.07375,0.254,0.43375,4.77,0.3,0.68775,20.6491525423729,0.0345158974472247,0.00167154062988283
ahtanum,fall,B2,NPSi,1,1,1,sponge,-8.724847234,0,NA,0.51505231984217,NA,NA,-0.663486791551968,NA,NA,trib,3,107,39.85120196,0.07375,0.254,0.43375,4.77,0.3,0.68775,20.6491525423729,0.0345158974472247,0.00167154062988283
ahtanum,fall,B4,N,1,0,0,sponge,-9.16293976,1.611125649,NA,0.540914156246882,NA,NA,-0.614494688794644,NA,NA,trib,3,107,39.85120196,0.07375,0.254,0.43375,4.77,0.3,0.68775,20.6491525423729,0.0345158974472247,0.00167154062988283
ahtanum,fall,B6,N,1,0,0,sponge,-14.23751152,3.711423937,NA,0.840480427964318,NA,NA,-0.17378161258625,NA,NA,trib,3,107,39.85120196,0.07375,0.254,0.43375,4.77,0.3,0.68775,20.6491525423729,0.0345158974472247,0.00167154062988283
ahtanum,fall,B7,control,0,0,0,sponge,-16.46448186,0,NA,0.97194476299209,NA,NA,-0.0284563043339193,NA,NA,trib,3,107,39.85120196,0.07375,0.254,0.43375,4.77,0.3,0.68775,20.6491525423729,0.0345158974472247,0.00167154062988283
ahtanum,fall,C2,N,1,0,0,sponge,-12.15657202,2.510695814,NA,0.717636704953385,NA,NA,-0.331791819945055,NA,NA,trib,3,107,39.85120196,0.07375,0.254,0.43375,4.77,0.3,0.68775,20.6491525423729,0.0345158974472247,0.00167154062988283
ahtanum,fall,C4,control,0,0,0,sponge,-17.44295145,0,NA,1.0297065803292,NA,NA,0.0292738881905967,NA,NA,trib,3,107,39.85120196,0.07375,0.254,0.43375,4.77,0.3,0.68775,20.6491525423729,0.0345158974472247,0.00167154062988283
ahtanum,fall,C6,NSi,1,0,1,sponge,-13.9005659,0,NA,0.820589578464356,NA,NA,-0.197732198951898,NA,NA,trib,3,107,39.85120196,0.07375,0.254,0.43375,4.77,0.3,0.68775,20.6491525423729,0.0345158974472247,0.00167154062988283
