id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr,chla.nrr,site.date
5,U5,N+P,1,1,0,sponge,-12.92791584,3.042163611,0,1.81533683718465,NA,NA,cle_fall
6,U6,N+Si,1,0,1,sponge,-2.350137741,3.290581126,0,0.330006140703282,NA,NA,cle_fall
7,U7,P+Si,0,1,1,sponge,-5.435323018,5.343329057,0,0.763227593580395,NA,NA,cle_fall
8,U8,N,1,0,0,sponge,-11.25310097,4.142129973,0,1.58015947630112,NA,NA,cle_fall
10,V2,N,1,0,0,sponge,-13.23505705,3.615254451,0,1.85846557963866,NA,NA,cle_fall
12,V4,C,0,0,0,sponge,-8.601964571,6.925399018,0,1.20788712977061,NA,NA,cle_fall
13,V5,P,0,1,0,sponge,-7.209763658,5.846587977,0,1.0123943965714,NA,NA,cle_fall
16,V8,N+P+Si,1,1,1,sponge,-12.6992383,3.963313884,0,1.78322595656503,NA,NA,cle_fall
18,W2,N+Si,1,0,1,sponge,-4.371084088,4.111301918,0,0.613787254000107,NA,NA,cle_fall
19,W3,Si,0,0,1,sponge,-1.476271126,2.634205048,0,0.207297865322417,NA,NA,cle_fall
21,W5,P,0,1,0,sponge,-7.277851339,3.814893919,0,1.02195526291733,NA,NA,cle_fall
22,W6,Si,0,0,1,sponge,-1.860683535,3.953104289,0,0.261277022934925,NA,NA,cle_fall
23,W7,Si,0,0,1,sponge,-3.203782991,4.677122015,0,0.449874933739353,NA,NA,cle_fall
25,X1,P,0,1,0,sponge,-6.508792122,5.13730861,0,0.913964033404774,NA,NA,cle_fall
29,X5,N,1,0,0,sponge,-10.33364074,1.032770002,0,1.45104894939926,NA,NA,cle_fall
30,X6,Si,0,0,1,sponge,-1.963082962,2.507063056,0,0.275655941721242,NA,NA,cle_fall
31,X7,P+Si,0,1,1,sponge,-6.940171369,4.014116323,0,0.974538270394553,NA,NA,cle_fall
32,X8,N+P+Si,1,1,1,sponge,-15.76319173,1.581330134,0,2.21346603530129,NA,NA,cle_fall
33,Y1,N+P+Si,1,1,1,sponge,-13.50087882,5.5913369,0,1.89579224985983,NA,NA,cle_fall
34,Y2,C,0,0,0,sponge,-7.132528456,6.58466139,0,1.00154903610856,NA,NA,cle_fall
36,Y4,P+Si,0,1,1,sponge,-8.195876665,5.451547045,0,1.15086430072217,NA,NA,cle_fall
38,Y6,P,0,1,0,sponge,-6.19006178,4.995274688,0,0.869207946025955,NA,NA,cle_fall
39,Y7,Si,0,0,1,sponge,-2.34208119,2.882409314,0,0.32887484050053,NA,NA,cle_fall
44,Z4,N+P+Si,1,1,1,sponge,-13.22499893,3.811607102,0,1.85705321928802,NA,NA,cle_fall
46,Z6,N+Si,1,0,1,sponge,-5.459407213,5.303717062,0,0.766609494183597,NA,NA,cle_fall
49,AA1,N+Si,1,0,1,sponge,-7.705380066,6.37075336,0,1.08198881021785,NA,NA,cle_fall
51,AA3,N+P,1,1,0,sponge,-14.89535366,5.999574464,0,2.09160428769401,NA,NA,cle_fall
53,AA5,P+Si,0,1,1,sponge,-8.155391912,5.587968604,0,1.14517943516651,NA,NA,cle_fall
57,BB1,C,0,0,0,sponge,-5.366442223,6.144085674,0,0.753555358234371,NA,NA,cle_fall
58,BB2,N+P,1,1,0,sponge,-14.76280193,4.733436906,0,2.07299138509782,NA,NA,cle_fall
63,BB7,C,0,0,0,sponge,-7.658642173,6.3339011,0,1.07542587927791,NA,NA,cle_fall
64,BB8,N+P,1,1,0,sponge,-15.79103558,4.300595742,0,2.21737586633822,NA,NA,cle_fall
66,CC2,N+P+Si,1,1,1,sponge,-14.35150847,5.510072177,0,2.01523759260167,NA,NA,cle_fall
70,CC6,P,0,1,0,sponge,-6.412298356,5.827622916,0,0.900414387031266,NA,NA,cle_fall
71,CC7,N,1,0,0,sponge,-15.59181205,7.730180659,0,2.18940091528509,NA,NA,cle_fall
72,CC8,P+Si,0,1,1,sponge,NA,NA,NA,NA,NA,NA,cle_fall
74,DD2,N+Si,1,0,1,sponge,-1.192885482,1.776692939,0,0.167504877415521,NA,NA,cle_fall
75,DD3,N+P,1,1,0,sponge,-10.64960623,3.693879421,0,1.49541679649658,NA,NA,cle_fall
76,DD4,C,0,0,0,sponge,-6.847909446,6.280418443,0,0.96158285905337,NA,NA,cle_fall
79,DD7,N,1,0,0,sponge,-11.67810098,0,0,1.63983794137665,NA,NA,cle_fall
1,U1,P,0,1,0,glass,-2.790878495,2.991282395,0.180177974,NA,0.515148321500047,0.237255534378737,cle_fall
2,U2,N,1,0,0,glass,-3.89273038,4.184599835,0.49359214,NA,0.720657329028149,0.649954399758344,cle_fall
3,U3,Si,0,0,1,glass,-2.100687562,3.718807554,0.383801853,NA,0.64044019134636,0.505384269272916,cle_fall
4,U4,Si,0,0,1,glass,-2.746804419,4.18761819,0.430797018,NA,0.721177139700168,0.567266766549148,cle_fall
9,V1,N+P,1,1,0,glass,-2.868008127,2.730767907,0.115794435,NA,0.47028341625273,0.152476298540292,cle_fall
11,V3,N+Si,1,0,1,glass,-2.60218636,4.104289517,0.257984693,NA,0.706826563472216,0.339710203419478,cle_fall
14,V6,C,0,0,0,glass,-4.994582264,8.86949446,1.005607604,NA,1.52747369865859,1.32416834403045,cle_fall
15,V7,C,0,0,0,glass,-4.507242358,6.098885479,0.664350517,NA,1.05032899026167,0.874806356328689,cle_fall
17,W1,N,1,0,0,glass,-4.457342482,4.108953057,0.502607987,NA,0.707629702222093,0.661826325889903,cle_fall
20,W4,Si,0,0,1,glass,-6.740611556,8.963209862,0.512866029,NA,1.54361304147681,0.675333954943327,cle_fall
24,W8,N,1,0,0,glass,-3.970263832,6.983469263,1.077406876,NA,1.20266895398942,1.41871250094479,cle_fall
26,X2,P,0,1,0,glass,-4.457342482,3.585488654,0.42522703,NA,0.617480470902034,0.559932293582862,cle_fall
27,X3,N+P+Si,1,1,1,glass,-4.367802519,5.552861111,0.739757064,NA,0.956294559696541,0.974100516469153,cle_fall
28,X4,Si,0,0,1,glass,-2.77751561,4.314616622,0.657559389,NA,0.743048370977861,0.865863905334794,cle_fall
35,Y3,P,0,1,0,glass,-5.177513373,4.304568994,0.37330052,NA,0.741318003190484,0.491556278440896,cle_fall
37,Y5,N,1,0,0,glass,-4.580762432,5.882848457,0.795775095,NA,1.01312384057363,1.04786418238622,cle_fall
40,Y8,N+P,1,1,0,glass,-4.48880247,4.996657417,0.355091034,NA,0.860507080769388,0.467578312456596,cle_fall
41,Z1,N+Si,1,0,1,glass,-2.204882858,5.199764216,0.471052521,NA,0.895485432116285,0.62027458245427,cle_fall
42,Z2,P,0,1,0,glass,-5.270462153,4.93610952,0.181429526,NA,0.850079731094197,0.238903558451662,cle_fall
43,Z3,N+P,1,1,0,glass,-3.339302936,3.047060682,0.027203322,NA,0.524754265416352,0.0358209083757755,cle_fall
45,Z5,N+Si,1,0,1,glass,-1.850950931,4.546481349,0.475527693,NA,0.782979313348522,0.626167418857774,cle_fall
