id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr,chla.nrr,site.date,gpp.es,cr.es,chla.es
1,U1,Si,0,0,1,sponge,-2.210282903,1.050696863,0,0.459643458613469,NA,NA,cle_summer,NA,-0.777304180007254,NA
2,U2,N+Si,1,0,1,sponge,-4.585030035,2.36891228,0,0.953488379371513,NA,NA,cle_summer,NA,-0.0476280413557169,NA
4,U4,Si,0,0,1,sponge,-1.870654213,0.666101933,0,0.389015347839016,NA,NA,cle_summer,NA,-0.944136481542989,NA
5,U5,N+P,1,1,0,sponge,-10.66322036,1.744836624,0,2.21748966142546,NA,NA,cle_summer,NA,0.796375772924872,NA
8,U8,N+P,1,1,0,sponge,-10.18412873,0,0,2.1178592776827,NA,NA,cle_summer,NA,0.750405803840033,NA
9,V1,P,0,1,0,sponge,-3.712943981,2.176880645,0,0.772132115191455,NA,NA,cle_summer,NA,-0.258599609931368,NA
12,V4,N+P,1,1,0,sponge,-11.5585573,1.02523555,0,2.40368110649678,NA,NA,cle_summer,NA,0.877001356666349,NA
14,V6,N,1,0,0,sponge,-11.4941004,2.654694955,0,2.39027685294748,NA,NA,cle_summer,NA,0.871409197288047,NA
15,V7,N,1,0,0,sponge,-10.88694366,3.396626584,0,2.26401445300071,NA,NA,cle_summer,NA,0.817139544154797,NA
17,W1,Si,0,0,1,sponge,-4.01180502,1.597251756,0,0.834282313894221,NA,NA,cle_summer,NA,-0.181183428035206,NA
18,W2,P+Si,0,1,1,sponge,-2.935162047,0.020082096,0,0.610387038257821,NA,NA,cle_summer,NA,-0.493662034070542,NA
19,W3,P+Si,0,1,1,sponge,-4.727681462,2.187455257,0,0.983153720036018,NA,NA,cle_summer,NA,-0.0169897925908008,NA
21,W5,N+Si,1,0,1,sponge,-2.935162047,1.594003375,0,0.610387038257821,NA,NA,cle_summer,NA,-0.493662034070542,NA
26,X2,N,1,0,0,sponge,-13.32974172,3.818415873,0,2.77201103003105,NA,NA,cle_summer,NA,1.01957306040742,NA
28,X4,N+P+Si,1,1,1,sponge,-13.61855749,1.438492136,0,2.83207224628745,NA,NA,cle_summer,NA,1.0410086862008,NA
29,X5,P,0,1,0,sponge,-5.24245936,2.795828416,0,1.09020530747459,NA,NA,cle_summer,NA,0.0863660339856636,NA
30,X6,P+Si,0,1,1,sponge,-4.504668333,2.289447299,0,0.936776613381191,NA,NA,cle_summer,NA,-0.0653104313770346,NA
31,X7,N+Si,1,0,1,sponge,-5.63305461,2.151514387,0,1.17143226325673,NA,NA,cle_summer,NA,0.15822715677055,NA
32,X8,N+Si,1,0,1,sponge,-5.21650916,3.846249805,0,1.08480878576078,NA,NA,cle_summer,NA,0.0814037371394672,NA
35,Y3,P,0,1,0,sponge,-1.734335358,0.161515531,0,0.360666908867072,NA,NA,cle_summer,NA,-1.01980043670873,NA
36,Y4,P+Si,0,1,1,sponge,-3.77230224,0.978661593,0,0.784476071445654,NA,NA,cle_summer,NA,-0.242739208936882,NA
40,Y8,C,0,0,0,sponge,-3.777958022,1.945687824,0,0.785652230025225,NA,NA,cle_summer,NA,-0.241241039903865,NA
41,Z1,N+P,1,1,0,sponge,-4.575453568,0,0,0.951496887509904,NA,NA,cle_summer,NA,-0.0497188633916888,NA
44,Z4,P,0,1,0,sponge,-4.375403238,2.463885725,0,0.909895052082792,NA,NA,cle_summer,NA,-0.0944260135035028,NA
47,Z7,Si,0,0,1,sponge,-1.920171116,0.606852258,0,0.399312726750945,NA,NA,cle_summer,NA,-0.918010392766377,NA
49,AA1,C,0,0,0,sponge,-4.5988191,2.851906546,0,0.956355909821594,NA,NA,cle_summer,NA,-0.0446251446053275,NA
51,AA3,C,0,0,0,sponge,-5.394241472,3.05533051,0,1.12176943658252,NA,NA,cle_summer,NA,0.114907292741915,NA
53,AA5,C,0,0,0,sponge,-4.403090109,2.54569896,0,0.915652726418214,NA,NA,cle_summer,NA,-0.0881181058227942,NA
54,AA6,Si,0,0,1,sponge,-1.543488961,0.708418674,0,0.32097909430635,NA,NA,cle_summer,NA,-1.13637928474446,NA
56,AA8,C,0,0,0,sponge,-5.869340625,4.177807402,0,1.22056955740545,NA,NA,cle_summer,NA,0.199317600136787,NA
61,BB5,N+P,1,1,0,sponge,-14.6132734,3.219035628,0,3.038930228399,NA,NA,cle_summer,NA,1.11150555493435,NA
62,BB6,N+P+Si,1,1,1,sponge,-16.70339198,4.046342614,0,3.4735846935444,NA,NA,cle_summer,NA,1.24518711362147,NA
65,CC1,P,0,1,0,sponge,-6.586346465,3.368921589,0,1.36967582959184,NA,NA,cle_summer,NA,0.314574091105049,NA
66,CC2,N+Si,1,0,1,sponge,-4.337555423,1.808237436,0,0.902024339892985,NA,NA,cle_summer,NA,-0.10311377492329,NA
67,CC3,N,1,0,0,sponge,-13.52826664,5.261782699,0,2.81329564600754,NA,NA,cle_summer,NA,1.03435662388115,NA
69,CC5,N+P+Si,1,1,1,sponge,-14.53499286,4.241279026,0,3.02265125429171,NA,NA,cle_summer,NA,1.10613434503113,NA
72,CC8,N,1,0,0,sponge,-12.73407117,4.935558625,0,2.64813726191541,NA,NA,cle_summer,NA,0.973856472802092,NA
73,DD1,N+P+Si,1,1,1,sponge,-15.06503637,3.392206217,0,3.13287743023568,NA,NA,cle_summer,NA,1.14195188903294,NA
74,DD2,P+Si,0,1,1,sponge,-5.808184245,2.641650639,0,1.20785166958153,NA,NA,cle_summer,NA,0.188843301891788,NA
80,DD8,N+P+Si,1,1,1,sponge,-16.16525907,5.356069748,0,3.36167627150014,NA,NA,cle_summer,NA,1.21243973989813,NA
3,U3,N+P+Si,1,1,1,glass,-4.1780302,4.157085748,1.597449524,NA,1.57857741401165,3.69916303415518,cle_summer,0.456524070582846,NA,1.30810658707643
6,U6,P,0,1,0,glass,-2.828442341,2.601835059,0.539473531,NA,0.987999360152014,1.2492416904563,cle_summer,-0.0120732288538978,NA,0.222536719594118
7,U7,C,0,0,0,glass,-2.540789801,3.366197993,0.455302169,NA,1.27825222883546,1.05432874568591,cle_summer,0.245493698638068,NA,0.0529043044153728
10,V2,N+Si,1,0,1,glass,-2.170950821,3.466875824,1.418086334,NA,1.31648279701288,3.28381740215376,cle_summer,0.274963632654933,NA,1.18900658777689
11,V3,P,0,1,0,glass,-2.294230481,0.972833468,0.294050272,NA,0.369415747779139,0.680922858609006,cle_summer,-0.995832581429561,NA,-0.384306255887665
13,V5,N,1,0,0,glass,-4.066651221,3.939577187,1.872640813,NA,1.49598250917622,4.3364147458971,cle_summer,0.402783187756809,NA,1.46704791129205
16,V8,Si,0,0,1,glass,-1.432285008,0.931041983,0.36600256,NA,0.353546194366452,0.847540482511148,cle_summer,-1.0397411250502,NA,-0.165416673893532
20,W4,C,0,0,0,glass,-3.001155925,1.706285825,0.321013337,NA,0.647930889202632,0.74336037030313,cle_summer,-0.433971240782716,NA,-0.296574331252442
22,W6,C,0,0,0,glass,-3.378886024,2.037727352,0.395734744,NA,0.773789757723554,0.916390354964144,cle_summer,-0.256455073138872,NA,-0.0873128533772758
