nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla_mgL,chla_ug_cm2,notes,cr.nrr,chla.nrr,gpp.nrr,site.date,gpp.es,cr.es,chla.es
A1,Si,0,0,1,sponge,-0.215472672,0,NA,NA,bit of a bubble during GPP incubation,0.00991682443167433,NA,NA,mab_fall,NA,-4.61352252670875,NA
A2,P,0,1,0,sponge,-20.03762732,0,NA,NA,,0.922203406656418,NA,NA,mab_fall,NA,-0.0809894651625505,NA
A5,P,0,1,0,sponge,-11.21960577,0,NA,NA,,0.516366458822631,NA,NA,mab_fall,NA,-0.660938574050506,NA
A6,control,0,0,0,sponge,-23.22284223,0,NA,NA,,1.06879840984838,NA,NA,mab_fall,NA,0.0665350360075806,NA
A7,Si,0,0,1,sponge,-0.215472672,0,NA,NA,,0.00991682443167433,NA,NA,mab_fall,NA,-4.61352252670875,NA
A8,NPSi,1,1,1,sponge,-13.58228075,0,NA,NA,,0.625105227169875,NA,NA,mab_fall,NA,-0.469835279945474,NA
B1,NSi,1,0,1,sponge,-0.215472672,0.637417857,NA,NA,,0.00991682443167433,NA,NA,mab_fall,NA,-4.61352252670875,NA
B2,NPSi,1,1,1,sponge,-8.555832787,0,NA,NA,,0.393770081504544,NA,NA,mab_fall,NA,-0.931988089496322,NA
B4,N,1,0,0,sponge,-23.73183913,0,NA,NA,,1.09222427098759,NA,NA,mab_fall,NA,0.0882162325981409,NA
B6,N,1,0,0,sponge,-23.80613114,0,NA,NA,,1.0956434554856,NA,NA,mab_fall,NA,0.091341821261679,NA
B7,control,0,0,0,sponge,-19.57728657,0,NA,NA,,0.901016875881438,NA,NA,mab_fall,NA,-0.104231291381129,NA
C1,N,1,0,0,sponge,-23.71403289,0,NA,NA,,1.09140476402075,NA,NA,mab_fall,NA,0.0874656408152147,NA
C4,control,0,0,0,sponge,-18.32018837,0,NA,NA,,0.84316071237327,NA,NA,mab_fall,NA,-0.17059769576576,NA
C6,NSi,1,0,1,sponge,-0.430945344,0,NA,NA,,0.0198336488633487,NA,NA,mab_fall,NA,-3.92037534614881,NA
C8,NPSi,1,1,1,sponge,-20.31313246,0,NA,NA,,0.934883140369489,NA,NA,mab_fall,NA,-0.0673337410665898,NA
D1,NP,1,1,0,sponge,-18.3146652,0.609974574,NA,NA,,0.842906516299643,NA,NA,mab_fall,NA,-0.170899221198709,NA
D3,PSi,0,1,1,sponge,-17.04522823,0,NA,NA,,0.784482478384679,NA,NA,mab_fall,NA,-0.242731041813504,NA
D4,P,0,1,0,sponge,-20.86478281,0,NA,NA,,0.960272066110484,NA,NA,mab_fall,NA,-0.0405386324726516,NA
D6,NP,1,1,0,sponge,-16.29658652,0,NA,NA,,0.750027304411163,NA,NA,mab_fall,NA,-0.287645667232909,NA
D8,Si,0,0,1,sponge,-2.862413846,0.318595986,NA,NA,,0.13173854158905,NA,NA,mab_fall,NA,-2.02693606620395,NA
E2,NSi,1,0,1,sponge,-0.215472672,0,NA,NA,,0.00991682443167433,NA,NA,mab_fall,NA,-4.61352252670875,NA
E5,Si,0,0,1,sponge,-0.215472672,0.691439409,NA,NA,,0.00991682443167433,NA,NA,mab_fall,NA,-4.61352252670875,NA
F1,PSi,0,1,1,sponge,-23.43831532,6.115008659,NA,NA,,1.07871525351792,NA,NA,mab_fall,NA,0.07577075294812,NA
F2,NPSi,1,1,1,sponge,-21.00053521,0,NA,NA,,0.966519877976754,NA,NA,mab_fall,NA,-0.0340534135749915,NA
F8,NSi,1,0,1,sponge,-5.077485168,4.879909544,NA,NA,,0.233684060712286,NA,NA,mab_fall,NA,-1.45378524381859,NA
G2,NP,1,1,0,sponge,-12.41099426,0,NA,NA,,0.571198426030276,NA,NA,mab_fall,NA,-0.560018623509796,NA
G4,control,0,0,0,sponge,-22.89731989,0,NA,NA,,1.05381670537327,NA,NA,mab_fall,NA,0.0524185311757181,NA
H1,N,1,0,0,sponge,-22.74588203,0,NA,NA,,1.04684699243478,NA,NA,mab_fall,NA,0.0457827821782791,NA
H2,PSi,0,1,1,sponge,-19.87500695,0,NA,NA,,0.914719034539364,NA,NA,mab_fall,NA,-0.0891383269382542,NA
H5,NPSi,1,1,1,sponge,-18.22055902,0,NA,NA,,0.838575412701524,NA,NA,mab_fall,NA,-0.176050764134488,NA
H7,NP,1,1,0,sponge,-14.26582244,0,NA,NA,,0.656564264961266,NA,NA,mab_fall,NA,-0.420734699761732,NA
I2,NP,1,1,0,sponge,-14.3123367,0,NA,NA,,0.658705017873028,NA,NA,mab_fall,NA,-0.417479465521742,NA
I3,P,0,1,0,sponge,-21.60302448,0,NA,NA,,0.994248592978522,NA,NA,mab_fall,NA,-0.00576801005397815,NA
I6,NSi,1,0,1,sponge,-7.627089414,4.957292569,NA,NA,,0.351025983672398,NA,NA,mab_fall,NA,-1.04689503069949,NA
I8,PSi,0,1,1,sponge,-18.11467613,0,NA,NA,,0.833702302711742,NA,NA,mab_fall,NA,-0.181878891530591,NA
J1,Si,0,0,1,sponge,-10.55228438,8.462491769,NA,NA,,0.485653937356657,NA,NA,mab_fall,NA,-0.722258971771096,NA
J5,N,1,0,0,sponge,-23.97625707,0,NA,NA,,1.10347326036724,NA,NA,mab_fall,NA,0.0984627147647308,NA
J6,control,0,0,0,sponge,-24.62231598,0,NA,NA,,1.13320720631742,NA,NA,mab_fall,NA,0.125051848217522,NA
J7,PSi,0,1,1,sponge,-25.52429737,0,NA,NA,,1.17471962180029,NA,NA,mab_fall,NA,0.161029499377463,NA
J8,P,0,1,0,sponge,-21.28599665,0,NA,NA,,0.979657836290525,NA,NA,mab_fall,NA,-0.0205519149257208,NA
A3,PSi,0,1,1,glass,-14.61933086,0,0.948836864,2.445784164,,NA,0.779878309115433,0,mab_fall,-Inf,NA,-0.248617385424516
A4,NP,1,1,0,glass,-2.516086058,0,1.128550846,2.909026717,,NA,0.927590778703553,0,mab_fall,-Inf,NA,-0.0751646146769589
B3,N,1,0,0,glass,-16.7860679,0,1.666269118,4.295084622,,NA,1.36955802634474,0,mab_fall,-Inf,NA,0.314488079283225
B5,control,0,0,0,glass,-16.05939519,0,1.36088316,3.507901735,,NA,1.1185518795578,0,mab_fall,-Inf,NA,0.112034884026424
B8,PSi,0,1,1,glass,-13.04169733,0,0.896103358,2.30985482,,NA,0.736535013121351,0,mab_fall,-Inf,NA,-0.305798504329802
C2,P,0,1,0,glass,-16.70006907,0,0.779946,2.01043999,,NA,0.641061694264551,0,mab_fall,-Inf,NA,-0.444629579790328
C3,NPSi,1,1,1,glass,-8.243516942,0,0.833516113,2.14852583,,NA,0.685092624302081,0,mab_fall,-Inf,NA,-0.378201231901793
C5,P,0,1,0,glass,NA,NA,1.203434471,3.102051664,accidentally dropped so no gpp or cr,NA,0.989139942157641,NA,mab_fall,NA,NA,-0.0109194587267026
C7,P,0,1,0,glass,-14.03015015,0,1.417828499,3.654687779,,NA,1.16535701203083,0,mab_fall,-Inf,NA,0.153027488167168
D2,NP,1,1,0,glass,-9.112976235,2.519925796,1.109729563,2.860511743,,NA,0.912120985233299,0.74229684423529,mab_fall,-0.298006056200975,NA,-0.0919826384592276
D5,N,1,0,0,glass,-24.27780303,2.241070505,1.185672145,3.056266326,,NA,0.974540537800013,0.660154186369656,mab_fall,-0.415281855533967,NA,-0.0257891623363382
D7,control,0,0,0,glass,-20.98056133,0,1.29220931,3.330883515,,NA,1.06210672297847,0,mab_fall,-Inf,NA,0.0602544102174867
E1,NP,1,1,0,glass,-6.979514211,4.768203076,1.026863768,2.646911433,,NA,0.844011030544209,1.40457393690167,mab_fall,0.339734009039994,NA,-0.169589715106407
E3,Si,0,0,1,glass,-14.53479624,7.608285884,0.859423771,2.215307109,,NA,0.706386928073314,2.24117972469579,mab_fall,0.807002390039387,NA,-0.347592134856084
E4,NSi,1,0,1,glass,-2.591997629,2.170314981,1.176942947,3.033765373,,NA,0.967365740678739,0.639311667014211,mab_fall,-0.447363201705697,NA,-0.0331786330318546
E6,NSi,1,0,1,glass,-2.591997629,3.16606462,1.485062679,3.827995013,,NA,1.22061885998897,0.932630548011185,mab_fall,-0.0697461393957304,NA,0.199357992417183
E7,Si,0,0,1,glass,-13.28784571,8.965290597,1.1688616,3.012934364,,NA,0.96072343253266,2.64091384292707,mab_fall,0.971125009885118,NA,-0.0400687027608942
E8,P,0,1,0,glass,-20.94866755,5.961501837,0.805725687,2.076891403,,NA,0.662250814862999,1.75608504327085,mab_fall,0.563086924148908,NA,-0.41211092038451
F3,NP,1,1,0,glass,-10.73073816,5.018817166,0.88607046,2.283993362,,NA,0.728288663981812,1.47839755838418,mab_fall,0.390958770378064,NA,-0.317057792918795
F4,NPSi,1,1,1,glass,-15.50256305,2.724004583,1.217834368,3.139169784,,NA,1.00097566220573,0.802412518992828,mab_fall,-0.220132440520891,NA,0.000975186556713063
F5,control,0,0,0,glass,-22.33500691,4.841294962,1.192955275,3.075039799,,NA,0.980526766918252,1.42610468054624,mab_fall,0.35494672781553,NA,-0.0196653344646547
F6,control,0,0,0,glass,-24.76873676,9.300333516,1.238285678,3.191886421,,NA,1.01778522468918,2.73960774171245,mab_fall,1.00781475019265,NA,0.0176289181574037
F7,N,1,0,0,glass,-25.22294709,7.345880067,1.492668934,3.847601396,,NA,1.22687067609236,2.16388260341656,mab_fall,0.771904109705155,NA,0.204466761716229
G1,control,0,0,0,glass,-23.7028404,2.83221279,0.998903781,2.574839935,,NA,0.821029853863544,0.834287509400862,mab_fall,-0.181177200538376,NA,-0.197195807385041
G3,NSi,1,0,1,glass,-15.90848388,2.496052895,0.801884968,2.066991314,,NA,0.659094009457576,0.735264581974564,mab_fall,-0.30752486906933,NA,-0.416889099938252
G5,N,1,0,0,glass,-22.71216805,3.6870614,1.273464809,3.282566459,,NA,1.0467000389017,1.08610104554116,mab_fall,0.0825942609598343,NA,0.0456423950447429
G6,NSi,1,0,1,glass,-7.048134161,3.938033957,0.73887382,1.904569643,,NA,0.607303201418318,1.1600302609754,mab_fall,0.148446091825767,NA,-0.498727104532618
G7,N,1,0,0,glass,-23.78442594,4.067868339,0.996197202,2.567863279,,NA,0.818805232915937,1.19827569351346,mab_fall,0.180883601359289,NA,-0.199909034258002
G8,Si,0,0,1,glass,-13.54844889,7.248245776,1.070207427,2.758636893,,NA,0.879636521996996,2.13512238110625,mab_fall,0.75852396639902,NA,-0.128246500020949
H3,NPSi,1,1,1,glass,-19.93251807,1.562008767,1.556611069,4.012422838,,NA,1.27942669039032,0.460122349734443,mab_fall,-0.776262847181218,NA,0.246412079462637
H4,PSi,0,1,1,glass,-21.85847201,0.025222514,1.034318058,2.666126101,,NA,0.850137941908925,0.00742981899530522,mab_fall,-4.90225378188094,NA,-0.16235665806576
H6,NPSi,1,1,1,glass,-15.39023818,0,1.466721285,3.780717033,,NA,1.20554350230062,0,mab_fall,-Inf,NA,0.186930504508617
H8,PSi,0,1,1,glass,-20.23127716,1.682309544,0.767933138,1.979474848,,NA,0.631187951953216,0.495559459536605,mab_fall,-0.702067933346613,NA,-0.460151597159232
I1,NSi,1,0,1,glass,-11.67588222,4.17207064,0.658909542,1.698448475,,NA,0.541578093561769,1.22897066053079,mab_fall,0.206176957663298,NA,-0.613268005835465
I4,PSi,0,1,1,glass,-19.12361742,0,1.651182978,4.256197598,,NA,1.35715826230585,0,mab_fall,-Inf,NA,0.30539300065949
I5,P,0,1,0,glass,-23.86126303,0.965040124,1.554944251,4.008126339,,NA,1.27805668136641,0.284272751103514,mab_fall,-1.25782111049195,NA,0.245340706588745
I7,NPSi,1,1,1,glass,-19.98929222,4.449878159,1.541526529,3.973539937,,NA,1.26702824103746,1.31080467524102,mab_fall,0.270641204544292,NA,0.236674190780775
J2,Si,0,0,1,glass,-19.41548848,5.795016098,1.297864013,3.345459448,,NA,1.06675449776953,1.7070431870122,mab_fall,0.534762743440832,NA,0.064620859406617
J3,Si,0,0,1,glass,-13.40754476,6.705270358,1.164291449,3.00115404,,NA,0.956967083425007,1.97517761609828,mab_fall,0.680658326511086,NA,-0.0439862837058788
J4,NP,1,1,0,glass,-16.12205287,4.994154593,1.130891109,2.915059134,,NA,0.929514313592317,1.47113268172087,mab_fall,0.386032635866341,NA,-0.0730930727005647
