nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla_mgL,chla_ug_cm2,notes,cr.nrr,chla.nrr,gpp.nrr,site.date,gpp.es,cr.es,chla.es
K2,control,0,0,0,sponge,-11.46387147,0,NA,NA,,1.24981713914914,NA,NA,mab_summer,NA,0.222997251932289,NA
K3,N,1,0,0,sponge,-7.604608677,0,NA,NA,,0.829071599931054,NA,NA,mab_summer,NA,-0.187448758540179,NA
K4,control,0,0,0,sponge,-6.697897702,0,NA,NA,,0.730219923185098,NA,NA,mab_summer,NA,-0.314409525573658,NA
K6,PSi,0,1,1,sponge,-9.491646557,0,NA,NA,,1.03480072824687,NA,NA,mab_summer,NA,0.0342088750856459,NA
K7,NSi,1,0,1,sponge,-7.488706742,0,NA,NA,,0.816435709411641,NA,NA,mab_summer,NA,-0.202807108910366,NA
K8,control,0,0,0,sponge,-8.155867255,0,NA,NA,,0.889171054176539,NA,NA,mab_summer,NA,-0.117465650079908,NA
L1,control,0,0,0,sponge,-8.447982408,0,NA,NA,,0.921018107397607,NA,NA,mab_summer,NA,-0.082275582336376,NA
L2,PSi,0,1,1,sponge,-8.138076308,0,NA,NA,,0.887231444984262,NA,NA,mab_summer,NA,-0.119649400625168,NA
L3,P,0,1,0,sponge,-7.830229386,0,NA,NA,,0.853669278803598,NA,NA,mab_summer,NA,-0.158211421552711,NA
L5,PSi,0,1,1,sponge,-7.694752655,0,NA,NA,,0.838899299848165,NA,NA,mab_summer,NA,-0.175664603737264,NA
L7,NP,1,1,0,sponge,-10.92935948,0,NA,NA,,1.19154343572086,NA,NA,mab_summer,NA,0.175249471546724,NA
M1,NP,1,1,0,sponge,-8.014348359,0,NA,NA,,0.87374234475694,NA,NA,mab_summer,NA,-0.134969746837946,NA
M2,Si,0,0,1,sponge,-8.788513033,0,NA,NA,,0.958143524639411,NA,NA,mab_summer,NA,-0.0427576952813463,NA
M4,NP,1,1,0,sponge,-7.842800267,0,NA,NA,,0.85503978461999,NA,NA,mab_summer,NA,-0.156607279408657,NA
M7,Si,0,0,1,sponge,-9.193607927,0,NA,NA,,1.00230788419525,NA,NA,mab_summer,NA,0.0023052251209591,NA
N1,N,1,0,0,sponge,-9.074446336,0,NA,NA,,0.989316618622375,NA,NA,mab_summer,NA,-0.0107408584291719,NA
N3,P,0,1,0,sponge,-7.851037352,0,NA,NA,,0.855937810216018,NA,NA,mab_summer,NA,-0.155557557096453,NA
N6,NP,1,1,0,sponge,-9.517986638,0,NA,NA,,1.03767238332138,NA,NA,mab_summer,NA,0.036980111919825,NA
