id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr,chla.nrr,site_date,gpp.es,cr.es,chla.es
52,AA4,NP,1,1,0,sponge,-7.461530463,0.634846571,NA,0.751952934478929,NA,NA,reec_fall,NA,-0.285081544120037,NA
56,AA8,NPSi,1,1,1,sponge,-12.62745485,2.82439804,NA,1.2725608742794,NA,NA,reec_fall,NA,0.241031306631844,NA
57,BB1,PSi,0,1,1,sponge,-13.36544405,4.3468507,NA,1.3469334372952,NA,NA,reec_fall,NA,0.297830480687716,NA
60,BB4,P,0,1,0,sponge,-12.12533971,3.729918271,NA,1.22195906345231,NA,NA,reec_fall,NA,0.200455360558421,NA
66,CC2,PSi,0,1,1,sponge,-8.60682614,0,NA,0.867372746732825,NA,NA,reec_fall,NA,-0.14228646756626,NA
68,CC4,N,1,0,0,sponge,-15.48919335,4.730555549,NA,1.56095916916771,NA,NA,reec_fall,NA,0.445300484347962,NA
69,CC5,N,1,0,0,sponge,-10.03743056,1.459107038,NA,1.01154520532318,NA,NA,reec_fall,NA,0.0114790679994291,NA
71,CC7,NP,1,1,0,sponge,-8.568161156,2.644319912,NA,0.863476193830635,NA,NA,reec_fall,NA,-0.14678895116672,NA
73,DD1,Si,0,0,1,sponge,-8.800151062,2.746298066,NA,0.886855511445329,NA,NA,reec_fall,NA,-0.120073205719048,NA
75,DD3,N,1,0,0,sponge,-2.043751223,2.521518792,NA,0.2059637412325,NA,NA,reec_fall,NA,-1.5800551391192,NA
79,DD7,PSi,0,1,1,sponge,-9.125916676,1.608239497,NA,0.91968529222748,NA,NA,reec_fall,NA,-0.0837237411253764,NA
80,DD8,P,0,1,0,sponge,-10.74249792,2.018253855,NA,1.08259999401383,NA,NA,reec_fall,NA,0.0793655498513002,NA
1,U1,NP,1,1,0,sponge,-6.030489808,0.753796064,NA,0.60773651330074,NA,NA,reec_fall,NA,-0.498013857227953,NA
4,U4,NPSi,1,1,1,sponge,-6.770668996,1.623141644,NA,0.682329777406111,NA,NA,reec_fall,NA,-0.382242193424943,NA
5,U5,NPSi,1,1,1,sponge,-8.756652955,3.325582384,NA,0.882471889430365,NA,NA,reec_fall,NA,-0.12502834401871,NA
6,U6,P,0,1,0,sponge,-8.320705256,0.94027506,NA,0.838538255014754,NA,NA,reec_fall,NA,-0.176095075605429,NA
7,U7,NSi,1,0,1,sponge,-0.381495142,0,NA,0.03844605244713,NA,NA,reec_fall,NA,-3.25849925547589,NA
8,U8,Si,0,0,1,sponge,-10.02196457,2.778894,NA,1.0099865845251,NA,NA,reec_fall,NA,0.00993704811653767,NA
10,V2,Si,0,0,1,sponge,-1.326639204,0.025760667,NA,0.133695124262953,NA,NA,reec_fall,NA,-2.01219326328077,NA
11,V3,C,0,0,0,sponge,-7.427544119,3.204437382,NA,0.748527882309038,NA,NA,reec_fall,NA,-0.289646824902374,NA
12,V4,PSi,0,1,1,sponge,-7.047798737,2.217810857,NA,0.710258165959865,NA,NA,reec_fall,NA,-0.342126761010357,NA
13,V5,NSi,1,0,1,sponge,-4.617428294,1.951768564,NA,0.465331981506558,NA,NA,reec_fall,NA,-0.765004189404015,NA
16,V8,Si,0,0,1,sponge,-5.153158774,0,NA,0.519321455720115,NA,NA,reec_fall,NA,-0.655232212366626,NA
17,W1,NSi,1,0,1,sponge,-2.292296705,0.446937588,NA,0.231011485186391,NA,NA,reec_fall,NA,-1.46528785027471,NA
19,W3,NSi,1,0,1,sponge,-4.007783005,1.2519427,NA,0.403893572010272,NA,NA,reec_fall,NA,-0.906603871344382,NA
22,W6,NP,1,1,0,sponge,-5.191303602,0.298627595,NA,0.523165588702219,NA,NA,reec_fall,NA,-0.647857251831236,NA
23,W7,P,0,1,0,sponge,-6.259358774,2.986929729,NA,0.630801310991811,NA,NA,reec_fall,NA,-0.460764345595142,NA
24,W8,NP,1,1,0,sponge,-5.725331188,0.191307425,NA,0.576983449847015,NA,NA,reec_fall,NA,-0.549941695992832,NA
25,X1,N,1,0,0,sponge,-8.776917394,1.181027974,NA,0.884514084988928,NA,NA,reec_fall,NA,-0.122716841270615,NA
28,X4,PSi,0,1,1,sponge,-3.741800154,1.032577033,NA,0.377088536994694,NA,NA,reec_fall,NA,-0.975275272966393,NA
29,X5,NSi,1,0,1,sponge,-4.807300985,0,NA,0.484466839681145,NA,NA,reec_fall,NA,-0.724706292344179,NA
30,X6,C,0,0,0,sponge,-9.218847559,3.266890444,NA,0.929050616207873,NA,NA,reec_fall,NA,-0.0735920570369522,NA
31,X7,NPSi,1,1,1,sponge,-9.755280675,2.479386354,NA,0.983110900184211,NA,NA,reec_fall,NA,-0.0170333471066819,NA
32,X8,NSi,1,0,1,sponge,-6.297503601,1.160691546,NA,0.634645443873138,NA,NA,reec_fall,NA,-0.454688792133559,NA
35,Y3,C,0,0,0,sponge,-12.74397946,6.609661499,NA,1.28430391049202,NA,NA,reec_fall,NA,0.250216867675355,NA
36,Y4,N,1,0,0,sponge,-9.295480861,3.292534273,NA,0.936773513889985,NA,NA,reec_fall,NA,-0.0653137400594778,NA
37,Y5,C,0,0,0,sponge,-10.26456567,2.586634047,NA,1.03443526967856,NA,NA,reec_fall,NA,0.0338556446445755,NA
42,Z2,P,0,1,0,sponge,-10.4240804,1.992267625,NA,1.05051073434508,NA,NA,reec_fall,NA,0.0492764595706322,NA
45,Z5,C,0,0,0,sponge,-9.959407049,1.560798932,NA,1.00368220612406,NA,NA,reec_fall,NA,0.0036754433991659,NA
47,Z7,NPSi,1,1,1,sponge,-10.25339714,2.240344574,NA,1.03330973531949,NA,NA,reec_fall,NA,0.0327669857746399,NA
49,AA1,Si,0,0,1,glass,-0.003955405,1.315073509,0.095811724,NA,0.579675546623321,0.167933711108735,reec_fall,-0.545286734339141,NA,-1.78418595417848
50,AA2,NSi,1,0,1,glass,-0.275846162,1.897913149,0.01611041,NA,0.836587334898678,0.0282374726790563,reec_fall,-0.178424358866209,NA,-3.56710536472965
51,AA3,N,1,0,0,glass,-0.508895383,1.500866329,0.059483986,NA,0.661571770488468,0.104260377576757,reec_fall,-0.413136804731249,NA,-2.26086387815672
53,AA5,NPSi,1,1,1,glass,-2.645179905,2.567033866,0.588312345,NA,1.13153124087007,1.03116269348136,reec_fall,0.12357179584735,NA,0.030686994216259
