id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr,chla.nrr,site.date
3,K3,P,0,1,0,sponge,NA,NA,NA,NA,NA,NA,ring_fall
5,K5,P,0,1,0,sponge,-3.81310032,2.324119355,NA,NA,NA,NA,ring_fall
9,L1,C,0,0,0,sponge,-10.30715468,3.22807088,NA,NA,NA,NA,ring_fall
11,L3,C,0,0,0,sponge,-10.57277065,5.184997275,NA,NA,NA,NA,ring_fall
13,L5,N,1,0,0,sponge,-14.3835915,6.79124876,NA,NA,NA,NA,ring_fall
14,L6,NPSi,1,1,1,sponge,-13.11972047,2.921402487,NA,NA,NA,NA,ring_fall
15,L7,PSi,0,1,1,sponge,-8.327108356,3.291571515,NA,NA,NA,NA,ring_fall
16,L8,C,0,0,0,sponge,-11.79767735,4.466440781,NA,NA,NA,NA,ring_fall
17,M1,NP,1,1,0,sponge,NA,NA,NA,NA,NA,NA,ring_fall
18,M2,N,1,0,0,sponge,-12.06987884,0.192173425,NA,NA,NA,NA,ring_fall
28,N4,N,1,0,0,sponge,-15.15482905,4.298802033,NA,NA,NA,NA,ring_fall
30,N6,NPSi,1,1,1,sponge,-12.65694832,1.36014873,NA,NA,NA,NA,ring_fall
32,N8,NP,1,1,0,sponge,NA,NA,NA,NA,NA,NA,ring_fall
33,O1,NP,1,1,0,sponge,-3.408038579,2.639035002,NA,NA,NA,NA,ring_fall
34,O2,NSi,1,0,1,sponge,-1.990322487,4.009493891,NA,NA,NA,NA,ring_fall
36,O4,Si,0,0,1,sponge,-14.50736816,3.923386718,NA,NA,NA,NA,ring_fall
38,O6,NP,1,1,0,sponge,-11.96217707,5.249992755,NA,NA,NA,NA,ring_fall
40,O8,P,0,1,0,sponge,-12.60737045,3.475919173,NA,NA,NA,NA,ring_fall
43,P3,NPSi,1,1,1,sponge,-6.29410348,5.507281614,NA,NA,NA,NA,ring_fall
44,P4,N,1,0,0,sponge,-9.683331012,3.783434716,NA,NA,NA,NA,ring_fall
46,P6,C,0,0,0,sponge,-12.91285942,1.148337488,NA,NA,NA,NA,ring_fall
48,P8,PSi,0,1,1,sponge,-11.47762794,3.981497647,NA,NA,NA,NA,ring_fall
50,Q2,N,1,0,0,sponge,-15.28670962,3.008661266,NA,NA,NA,NA,ring_fall
54,Q6,NPSi,1,1,1,sponge,-14.84947482,4.699537366,NA,NA,NA,NA,ring_fall
55,Q7,NP,1,1,0,sponge,-14.19514431,1.721436465,NA,NA,NA,NA,ring_fall
57,R1,Si,0,0,1,sponge,-1.043101187,1.509823196,NA,NA,NA,NA,ring_fall
58,R2,PSi,0,1,1,sponge,-12.62475111,2.847624488,NA,NA,NA,NA,ring_fall
60,R4,Si,0,0,1,sponge,-9.873566056,2.988485514,NA,NA,NA,NA,ring_fall
61,R5,PSi,0,1,1,sponge,-11.35277226,2.00534272,NA,NA,NA,NA,ring_fall
62,R6,C,0,0,0,sponge,NA,NA,NA,NA,NA,NA,ring_fall
64,R8,NSi,1,0,1,sponge,-9.289164003,3.306280635,NA,NA,NA,NA,ring_fall
67,S3,P,0,1,0,sponge,-12.31939687,0,NA,NA,NA,NA,ring_fall
68,S4,P,0,1,0,sponge,-12.23412071,3.068102869,NA,NA,NA,NA,ring_fall
69,S5,NSi,1,0,1,sponge,-5.454666321,3.687354329,NA,NA,NA,NA,ring_fall
71,S7,NPSi,1,1,1,sponge,-13.19347747,4.073590204,NA,NA,NA,NA,ring_fall
73,T1,NSi,1,0,1,sponge,-8.404807662,2.354202658,NA,NA,NA,NA,ring_fall
74,T2,Si,0,0,1,sponge,-4.786457637,2.014475684,NA,NA,NA,NA,ring_fall
75,T3,Si,0,0,1,sponge,-5.611695362,2.829920707,NA,NA,NA,NA,ring_fall
78,T6,PSi,0,1,1,sponge,-13.39056014,4.985800062,NA,NA,NA,NA,ring_fall
79,T7,NSi,1,0,1,sponge,-15.46987707,6.201533591,NA,NA,NA,NA,ring_fall
1,K1,C,0,0,0,glass,NA,NA,NA,NA,NA,NA,ring_fall
2,K2,C,0,0,0,glass,0,1.761277252,0.006286168,NA,0.538609649289123,0.904229598559255,ring_fall
4,K4,Si,0,0,1,glass,0,2.850266175,0.010040259,NA,0.87162930376472,1.44423428788428,ring_fall
6,K6,NPSi,1,1,1,glass,-0.291676479,1.854954865,0.005114832,NA,0.567256851895571,0.735739561217268,ring_fall
7,K7,NPSi,1,1,1,glass,-1.938056456,3.000964457,0.006220892,NA,0.917713785196774,0.894840016340715,ring_fall
8,K8,NPSi,1,1,1,glass,-1.114866468,2.728181892,0.005990808,NA,0.834295163000865,0.861743738456493,ring_fall
10,L2,N,1,0,0,glass,-3.035643108,4.263878166,0.01351346,NA,1.30392073195345,1.94383454450256,ring_fall
12,L4,N,1,0,0,glass,-0.909617764,3.784913846,0.012810779,NA,1.15745043369447,1.84275786972307,ring_fall
19,M3,C,0,0,0,glass,-2.270625212,3.995451751,0.009830841,NA,1.22183424779605,1.41411069683945,ring_fall
20,M4,PSi,0,1,1,glass,-1.113768881,3.081632464,0.009269802,NA,0.942382568552595,1.33340842007146,ring_fall
21,M5,NP,1,1,0,glass,0,1.248146128,0.002030151,NA,0.381690927706172,0.292025702104155,ring_fall
22,M6,C,0,0,0,glass,-1.112688716,3.46941157,0.002305266,NA,1.0609678554784,0.331599433828733,ring_fall
23,M7,PSi,0,1,1,glass,NA,NA,NA,NA,NA,NA,ring_fall
24,M8,NSi,1,0,1,glass,-0.093013295,1.841456993,0.001110623,NA,0.5631291178345,0.159756816782605,ring_fall
25,N1,Si,0,0,1,glass,-0.775137266,3.436686243,0.008029845,NA,1.05096024487744,1.15504764124074,ring_fall
26,N2,NP,1,1,0,glass,-0.841567391,2.983926111,0.008061779,NA,0.912503351942665,1.15964116594457,ring_fall
27,N3,NP,1,1,0,glass,-0.370075525,2.034552416,0.004323883,NA,0.622178911354098,0.621966035477765,ring_fall
29,N5,P,0,1,0,glass,-3.205507709,2.289422725,0.006864107,NA,0.700119853127359,0.987362844435238,ring_fall
31,N7,NSi,1,0,1,glass,-0.437585816,1.511613158,0.005050014,NA,0.4622608007721,0.726415859699998,ring_fall
35,O3,N,1,0,0,glass,-15.77996371,0,0.00963262,NA,0,1.38559773071191,ring_fall
37,O5,PSi,0,1,1,glass,-4.125667647,2.553291618,0.00971205,NA,0.780812618423483,1.39702328551948,ring_fall
39,O7,NP,1,1,0,glass,-2.040955205,2.942141285,0.011711302,NA,0.89972528962913,1.68460434179713,ring_fall
41,P1,NPSi,1,1,1,glass,-12.93964766,1.798466977,0.007601927,NA,0.549982500847083,1.09349406498311,ring_fall
42,P2,N,1,0,0,glass,-9.749786454,5.479076061,0.013651722,NA,1.67553588300341,1.96372274869246,ring_fall
45,P5,P,0,1,0,glass,-0.911212694,3.570411,0.008010234,NA,1.09185411572444,1.15222671016519,ring_fall
47,P7,Si,0,0,1,glass,-1.307369553,1.886223594,0.002341355,NA,0.576819025676719,0.336790631706742,ring_fall
49,Q1,NSi,1,0,1,glass,0,2.338705589,0.000499306,NA,0.715190862569433,0.0718223349961737,ring_fall
51,Q3,PSi,0,1,1,glass,-2.23053352,4.399098662,0.011400275,NA,1.34527200918397,1.63986487264023,ring_fall
52,Q4,C,0,0,0,glass,-2.417195245,3.854035952,0.009385566,NA,1.17858840798472,1.35006041461688,ring_fall
53,Q5,NP,1,1,0,glass,-1.239400338,2.356111605,0.006068371,NA,0.720513731619513,0.872900735907571,ring_fall
56,Q8,P,0,1,0,glass,0,2.56238893,0.004214774,NA,0.783594633589028,0.606271324921317,ring_fall
59,R3,NPSi,1,1,1,glass,-3.398691001,3.452957645,0.008438082,NA,1.05593614183785,1.21377021732001,ring_fall
63,R7,PSi,0,1,1,glass,-0.653000329,2.31898632,0.006942058,NA,0.709160586218412,0.998575653484773,ring_fall
65,S1,NSi,1,0,1,glass,0,1.474355704,0.001101469,NA,0.450867237260416,0.158440065823164,ring_fall
66,S2,Si,0,0,1,glass,-1.815409463,2.735541621,0.007503908,NA,0.836545814368247,1.07939458800108,ring_fall
70,S6,P,0,1,0,glass,-3.919695515,1.872788607,0.011061714,NA,0.572710522243737,1.59116479381354,ring_fall
72,S8,N,1,0,0,glass,-1.993345336,0.916068087,0.004274451,NA,0.28013937641206,0.614855522759049,ring_fall
76,T4,NSi,1,0,1,glass,-1.675946211,3.10392036,0.006558959,NA,0.949198347178203,0.943469036070403,ring_fall
77,T5,Si,0,0,1,glass,-0.72562972,1.936606508,0.008336261,NA,0.592226437320109,1.19912384421084,ring_fall
80,T8,P,0,1,0,glass,-6.90057092,3.884702143,0.006348099,NA,1.18796632185989,0.913138021507604,ring_fall
