id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr,chla.nrr,site.date
3,K3,PSi,0,1,1,sponge,-7.213210858,2.1079188,NA,0.954818137546182,NA,NA,ring_summer
4,K4,PSi,0,1,1,sponge,-7.758973699,2.169783503,NA,1.02706117461304,NA,NA,ring_summer
6,K6,NP,1,1,0,sponge,-19.3294589,1.829609595,NA,2.55865498874253,NA,NA,ring_summer
7,K7,PSi,0,1,1,sponge,-8.52028444,4.008118502,NA,1.12783644905401,NA,NA,ring_summer
9,L1,NP,1,1,0,sponge,-12.72135335,0.94590797,NA,1.6839350951792,NA,NA,ring_summer
10,L2,N,1,0,0,sponge,-13.15918999,1.877686378,NA,1.74189185997981,NA,NA,ring_summer
11,L3,C,0,0,0,sponge,-7.197810032,4.182505889,NA,0.952779518644354,NA,NA,ring_summer
12,L4,NPSi,1,1,1,sponge,-14.93083298,1.987108217,NA,1.97640557286156,NA,NA,ring_summer
16,L8,NSi,1,0,1,sponge,-3.571022978,1.854747482,NA,0.472698993015987,NA,NA,ring_summer
17,M1,C,0,0,0,sponge,-7.223558633,6.422407801,NA,0.956187880292894,NA,NA,ring_summer
22,M6,NP,1,1,0,sponge,-14.63568426,3.200706826,NA,1.9373365151732,NA,NA,ring_summer
25,N1,C,0,0,0,sponge,-8.88246294,3.660774736,NA,1.17577828905245,NA,NA,ring_summer
27,N3,N,1,0,0,sponge,-12.11159076,4.668715662,NA,1.60322036328094,NA,NA,ring_summer
30,N6,PSi,0,1,1,sponge,-8.890142369,5.464298604,NA,1.17679482083553,NA,NA,ring_summer
32,N8,NSi,1,0,1,sponge,-6.612305636,4.634136773,NA,0.875275862100917,NA,NA,ring_summer
33,O1,P,0,1,0,sponge,-8.214956389,6.367152224,NA,1.08741994567769,NA,NA,ring_summer
36,O4,NP,1,1,0,sponge,-16.54254923,1.869560247,NA,2.18974966308335,NA,NA,ring_summer
37,O5,NPSi,1,1,1,sponge,-17.08122404,3.065720091,NA,2.26105445216445,NA,NA,ring_summer
39,O7,NSi,1,0,1,sponge,-4.937106322,5.780892089,NA,0.653528471029139,NA,NA,ring_summer
