id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr,chla.nrr,site.date,gpp.es,cr.es,chla.es
5,A5,C,0,0,0,sponge,-10.41981482,5.464938697,0,1.01710661409245,NA,NA,roza_fall,NA,0.0169619435212479,NA
20,C4,C,0,0,0,sponge,-9.846672269,4.401032395,0,0.961160602621976,NA,NA,roza_fall,NA,-0.0396137636606578,NA
23,C7,C,0,0,0,sponge,-10.10802288,6.208982377,0,0.986671750337862,NA,NA,roza_fall,NA,-0.0134178679759592,NA
45,F5,C,0,0,0,sponge,-9.304650426,4.314953303,0,0.908252368548591,NA,NA,roza_fall,NA,-0.0962330000685461,NA
70,I6,C,0,0,0,sponge,-11.54366412,4.536081621,0,1.12680861705695,NA,NA,roza_fall,NA,0.119389404361222,NA
18,C2,N,1,0,0,sponge,-15.68437284,4.954038131,0,1.53099451660466,NA,NA,roza_fall,NA,0.425917535091509,NA
46,F6,N,1,0,0,sponge,-14.40842836,5.880176578,0,1.40644608726676,NA,NA,roza_fall,NA,0.341066017083904,NA
53,G5,N,1,0,0,sponge,-12.88017847,6.339634373,0,1.25726943701368,NA,NA,roza_fall,NA,0.228942255893703,NA
56,G8,N,1,0,0,sponge,-16.05201786,6.144386189,0,1.56688135220968,NA,NA,roza_fall,NA,0.449087243985025,NA
74,J2,N,1,0,0,sponge,-13.3524743,3.205663318,0,1.30337152431558,NA,NA,roza_fall,NA,0.264954387443774,NA
27,D3,N+P,1,1,0,sponge,-14.08028283,1.187665397,0,1.37441490487883,NA,NA,roza_fall,NA,0.318028116833137,NA
44,F4,N+P,1,1,0,sponge,-13.18339633,3.1156769,0,1.2868673613765,NA,NA,roza_fall,NA,0.252210862989388,NA
52,G4,N+P,1,1,0,sponge,NA,NA,NA,NA,NA,NA,roza_fall,NA,NA,NA
54,G6,N+P,1,1,0,sponge,-13.26464385,5.922276719,0,1.29479815394797,NA,NA,roza_fall,NA,0.258354817325942,NA
72,I8,N+P,1,1,0,sponge,-14.77019039,3.982031654,0,1.44175866813281,NA,NA,roza_fall,NA,0.365863665725456,NA
7,A7,N+P+Si,1,1,1,sponge,-13.36346009,4.993519943,0,1.30444387731446,NA,NA,roza_fall,NA,0.265776802296186,NA
12,B4,N+P+Si,1,1,1,sponge,-12.70083289,5.393636138,0,1.23976302458914,NA,NA,roza_fall,NA,0.214920252150945,NA
14,B6,N+P+Si,1,1,1,sponge,-11.19493855,4.978594498,0,1.09276856069535,NA,NA,roza_fall,NA,0.0887144399250721,NA
22,C6,N+P+Si,1,1,1,sponge,-10.79998449,5.900352609,0,1.05421601502846,NA,NA,roza_fall,NA,0.0527973769650655,NA
50,G2,N+P+Si,1,1,1,sponge,-12.16875552,5.382456753,0,1.18782549771513,NA,NA,roza_fall,NA,0.172124322706259,NA
2,A2,N+Si,1,0,1,sponge,-2.611118946,2.950298154,0,0.25487845955392,NA,NA,roza_fall,NA,-1.36696847664783,NA
10,B2,N+Si,1,0,1,sponge,-5.952821096,11.45759577,0,0.581071143186656,NA,NA,roza_fall,NA,-0.54288208007982,NA
19,C3,N+Si,1,0,1,sponge,-3.549193055,3.35926929,0,0.34644643818454,NA,NA,roza_fall,NA,-1.06002705185483,NA
30,D6,N+Si,1,0,1,sponge,-10.10802288,4.252896087,0,0.986671750337862,NA,NA,roza_fall,NA,-0.0134178679759592,NA
47,F7,N+Si,1,0,1,sponge,-2.027041155,2.437606988,0,0.197865029408276,NA,NA,roza_fall,NA,-1.62017015038517,NA
9,B1,P,0,1,0,sponge,-9.659475459,4.578636644,0,0.942887810170564,NA,NA,roza_fall,NA,-0.0588079746134138,NA
35,E3,P,0,1,0,sponge,-5.147060915,4.728025036,0,0.502418688836471,NA,NA,roza_fall,NA,-0.688321465402839,NA
39,E7,P,0,1,0,sponge,-10.95865253,5.304241774,0,1.06970403623775,NA,NA,roza_fall,NA,0.0673820085655624,NA
58,H2,P,0,1,0,sponge,-13.84134192,0,0,1.35109122934942,NA,NA,roza_fall,NA,0.300912583973857,NA
80,J8,P,0,1,0,sponge,-11.61585736,9.234856042,0,1.13385559660171,NA,NA,roza_fall,NA,0.125623857339754,NA
24,C8,P+Si,0,1,1,sponge,-11.59529733,5.886201376,0,1.13184867585886,NA,NA,roza_fall,NA,0.123852292275301,NA
25,D1,P+Si,0,1,1,sponge,-8.994178522,5.500199762,0,0.877946357117164,NA,NA,roza_fall,NA,-0.130169783890988,NA
26,D2,P+Si,0,1,1,sponge,-14.45911765,4.059725061,0,1.41139400745664,NA,NA,roza_fall,NA,0.344577873760528,NA
69,I5,P+Si,0,1,1,sponge,-17.16564172,6.597093149,0,1.67558522201772,NA,NA,roza_fall,NA,0.516162490535095,NA
73,J1,P+Si,0,1,1,sponge,NA,NA,NA,NA,NA,NA,roza_fall,NA,NA,NA
8,A8,Si,0,0,1,sponge,-8.058971793,3.57466107,0,0.786658271288239,NA,NA,roza_fall,NA,-0.23996134177876,NA
51,G3,Si,0,0,1,sponge,-3.805823517,3.63553318,0,0.371496839250861,NA,NA,roza_fall,NA,-0.990214922933569,NA
60,H4,Si,0,0,1,sponge,-7.944931811,0.645079158,0,0.775526516840881,NA,NA,roza_fall,NA,-0.254213103731703,NA
68,I4,Si,0,0,1,sponge,-7.388289364,5.393816598,0,0.721191125635886,NA,NA,roza_fall,NA,-0.326851092726067,NA
78,J6,Si,0,0,1,sponge,-7.695173892,3.397136746,0,0.751146963487469,NA,NA,roza_fall,NA,-0.286153955966774,NA
16,B8,C,0,0,0,glass,-2.972185216,5.07493871,0.31312905,NA,1.2714970047428,1.4579305694602,roza_fall,0.240194950189338,NA,0.37701801205491
33,E1,C,0,0,0,glass,-3.302985638,3.560803106,0.260622113,NA,0.892138948365324,1.21345798360136,roza_fall,-0.114133386823277,NA,0.193474121441177
41,F1,C,0,0,0,glass,-2.310584373,2.137218253,0.054318025,NA,0.535467867191473,0.252905021492587,roza_fall,-0.624614396139401,NA,-1.37474126985847
71,I7,C,0,0,0,glass,-5.335045369,4.808450723,0.277323668,NA,1.20472995658067,1.29122051503056,roza_fall,0.186255439405239,NA,0.255587906751941
76,J4,C,0,0,0,glass,-5.137224519,4.375138096,0.16848903,NA,1.09616594451446,0.784485845231212,roza_fall,0.0918185862931231,NA,-0.242726750016809
79,J7,C,0,0,0,glass,NA,NA,NA,NA,NA,NA,roza_fall,NA,NA,NA
15,B7,N,1,0,0,glass,-3.278578071,5.830839275,0.275724574,NA,1.46088358834568,1.28377512462031,roza_fall,0.379041450159135,NA,0.249805053341026
29,D5,N,1,0,0,glass,-3.870072074,5.056842031,0.500131466,NA,1.26696298483455,2.32861484116643,roza_fall,0.236622686101312,NA,0.845273602029321
32,D8,N,1,0,0,glass,-3.066699622,4.482821302,0.440186289,NA,1.12314535879198,2.04950976918412,roza_fall,0.1161331053069,NA,0.717600627569151
37,E5,N,1,0,0,glass,-2.483772782,4.516612369,0.263227676,NA,1.13161151827345,1.2255894991805,roza_fall,0.123642739143427,NA,0.203421952066454
66,I2,N,1,0,0,glass,-5.772512049,5.042979844,0.239078805,NA,1.26348989279209,1.11315222372218,roza_fall,0.233877648441019,NA,0.107195831784332
17,C1,N+P,1,1,0,glass,-1.979783952,2.188284975,0.052574631,NA,0.54826234369167,0.244787769493089,roza_fall,-0.601001377224103,NA,-1.40736369081311
28,D4,N+P,1,1,0,glass,-3.909409076,3.932023678,0.206416252,NA,0.98514614950981,0.961075198306257,roza_fall,-0.014965273679687,NA,-0.0397026230146806
42,F2,N+P,1,1,0,glass,-4.489115325,4.351340404,0.282732638,NA,1.09020356825203,1.31640470893494,roza_fall,0.0863644386678455,NA,0.274904315211415
61,H5,N+P,1,1,0,glass,-3.845242019,3.77228359,0.102325353,NA,0.945124179780573,0.476427403236799,roza_fall,-0.056438952946351,NA,-0.741439921667466
63,H7,N+P,1,1,0,glass,-4.465083222,3.126861829,0.091721594,NA,0.783417431620195,0.42705624333551,roza_fall,-0.24408960675952,NA,-0.850839557014116
13,B5,N+P+Si,1,1,1,glass,-3.196590929,4.094582891,0.225923029,NA,1.02587443495995,1.05189885871063,roza_fall,0.0255453561791873,NA,0.0505969677835383
21,C5,N+P+Si,1,1,1,glass,-3.549193055,4.326774467,0.235061102,NA,1.08404871257808,1.09444577657934,roza_fall,0.0807028398104346,NA,0.0902480950261322
40,E8,N+P+Si,1,1,1,glass,-3.96458648,5.072503523,0.254608719,NA,1.27088688250224,1.18545958824709,roza_fall,0.23971498942862,NA,0.170130537580503
57,H1,N+P+Si,1,1,1,glass,-4.950579988,5.452133858,0.318913743,NA,1.36600110189386,1.48486413170759,roza_fall,0.311887567805568,NA,0.395323274269249
75,J3,N+P+Si,1,1,1,glass,-5.532866219,4.62539659,0.293651314,NA,1.1588667855917,1.36724212411067,roza_fall,0.147442618659029,NA,0.312795662841003
31,D7,N+Si,1,0,1,glass,-1.743497937,2.611250435,0.070269948,NA,0.654233931967199,0.327177262229673,roza_fall,-0.424290297342788,NA,-1.11725316863132
36,E4,N+Si,1,0,1,glass,-1.270925906,2.334241319,0.067033641,NA,0.584830874825559,0.312108999136683,roza_fall,-0.536432576410862,NA,-1.16440279597601
38,E6,N+Si,1,0,1,glass,-1.6223524,2.901017092,0.102318092,NA,0.72683331838419,0.476393595981085,roza_fall,-0.319058100934925,NA,-0.741510884116354
49,G1,N+Si,1,0,1,glass,-1.295742538,3.365504378,0.069146407,NA,0.843207963801358,0.321946049188463,roza_fall,-0.170541656503684,NA,-1.1333712965798
62,H6,N+Si,1,0,1,glass,-1.75853432,3.345341071,0.095015076,NA,0.838156162011971,0.442390713541219,roza_fall,-0.176550845011609,NA,-0.815561820085605
11,B3,P,0,1,0,glass,-3.766845446,2.882446263,0.076378635,NA,0.722180502892534,0.355619342313154,roza_fall,-0.325480167328825,NA,-1.03389438336509
43,F3,P,0,1,0,glass,NA,NA,NA,NA,NA,NA,roza_fall,NA,NA,NA
55,G7,P,0,1,0,glass,-3.701067501,3.331074593,0.106336703,NA,0.834581777160882,0.495104270776889,roza_fall,-0.180824545281984,NA,-0.70298689056251
59,H3,P,0,1,0,glass,-5.812927198,5.036544478,0.314391445,NA,1.26187754847406,1.46380828748487,roza_fall,0.232600729676039,NA,0.381041455792731
64,H8,P,0,1,0,glass,-6.112763911,4.719968688,0.318577952,NA,1.18256128639469,1.48330068697498,roza_fall,0.167682667858858,NA,0.394269798486932
1,A1,P+Si,0,1,1,glass,-2.163205977,3.230401558,0.306295234,NA,0.809358721322072,1.42611228478662,roza_fall,-0.211513046948763,NA,0.354952059976776
3,A3,P+Si,0,1,1,glass,-2.307380495,3.760835411,0.295887506,NA,0.94225590370079,1.37765384629353,roza_fall,-0.0594783813190577,NA,0.320381940958176
34,E2,P+Si,0,1,1,glass,-3.314212487,2.931220237,0.204340696,NA,0.73440054443278,0.951411398217998,roza_fall,-0.308700698346093,NA,-0.0498087145869408
67,I3,P+Si,0,1,1,glass,-5.139498322,4.863771914,0.29883612,NA,1.21859036607029,1.39138260920498,roza_fall,0.197694753065152,NA,0.330297935654663
77,J5,P+Si,0,1,1,glass,-4.499166517,4.931271148,0.227220819,NA,1.23550191491014,1.05794137604889,roza_fall,0.211477296352362,NA,0.0563249217391814
4,A4,Si,0,0,1,glass,-3.041212592,3.472420186,0.567134623,NA,0.869995110878383,2.64058190663238,roza_fall,-0.139267687029317,NA,0.970999312048417
6,A6,Si,0,0,1,glass,-2.341209153,0.607868071,0.444200362,NA,0.152297884904956,2.0681993150271,roza_fall,-1.88191690686652,NA,0.726678332575906
48,F8,Si,0,0,1,glass,-1.942084386,4.187162204,0.257113544,NA,1.04906965482511,1.19712206714723,roza_fall,0.0479037283775815,NA,0.17992039894309
65,I1,Si,0,0,1,glass,-3.876823103,4.576302435,0.349422691,NA,1.14656652452453,1.62691396046437,roza_fall,0.136771845639934,NA,0.486684944517972
