id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr,chla.nrr,site.date,gpp.es,cr.es,chla.es
1,A1,N+P+Si,1,1,1,sponge,-11.86204362,3.550335206,0,1.20808704672078,NA,NA,roza_summer,NA,0.18903815546022,NA
4,A4,N+Si,1,0,1,sponge,-8.315695744,4.290363329,0,0.846910080136553,NA,NA,roza_summer,NA,-0.166160752732509,NA
5,A5,N+P,1,1,0,sponge,-11.54923192,2.479210254,0,1.17622881259698,NA,NA,roza_summer,NA,0.162313399085276,NA
7,A7,Si,0,0,1,sponge,-6.965337204,4.32449316,0,0.709383131757082,NA,NA,roza_summer,NA,-0.343359515108177,NA
8,A8,N+P,1,1,0,sponge,-13.96292256,3.419524176,0,1.42205056898124,NA,NA,roza_summer,NA,0.352099892620219,NA
9,B1,P,0,1,0,sponge,-7.343917768,3.543124195,0,0.747939580389383,NA,NA,roza_summer,NA,-0.29043307915063,NA
10,B2,N+P+Si,1,1,1,sponge,-13.02881893,2.052874239,0,1.32691700415476,NA,NA,roza_summer,NA,0.282858209426336,NA
12,B4,P+Si,0,1,1,sponge,-9.112128327,4.436940746,0,0.928022569512871,NA,NA,roza_summer,NA,-0.0746992258959107,NA
16,B8,P+Si,0,1,1,sponge,-6.568565842,4.09329448,0,0.668974045574514,NA,NA,roza_summer,NA,-0.402010015459232,NA
17,C1,Si,0,0,1,sponge,-5.779321832,3.831813395,0,0.588593674727171,NA,NA,roza_summer,NA,-0.53001918954161,NA
23,C7,P,0,1,0,sponge,-6.415687917,2.133277872,0,0.653404229205718,NA,NA,roza_summer,NA,-0.425559307222528,NA
26,D2,Si,0,0,1,sponge,-5.705524881,1.337912449,0,0.581077841583523,NA,NA,roza_summer,NA,-0.542870552475433,NA
27,D3,N+P+Si,1,1,1,sponge,-14.76961137,3.417851958,0,1.50420760138774,NA,NA,roza_summer,NA,0.408266248839583,NA
30,D6,P,0,1,0,sponge,-5.542061441,3.15027563,0,0.564429945925522,NA,NA,roza_summer,NA,-0.571939002428151,NA
31,D7,P+Si,0,1,1,sponge,-6.531822638,3.019274781,0,0.665231942592143,NA,NA,roza_summer,NA,-0.407619513285082,NA
35,E3,N,1,0,0,sponge,-14.00650161,7.103120445,0,1.42648886709411,NA,NA,roza_summer,NA,0.355216087290532,NA
36,E4,N+P,1,1,0,sponge,-16.87433873,8.449964145,0,1.71856306507931,NA,NA,roza_summer,NA,0.541488514382043,NA
37,E5,Si,0,0,1,sponge,-9.486012588,6.424064755,0,0.966100724269047,NA,NA,roza_summer,NA,-0.0344871807756426,NA
38,E6,N+Si,1,0,1,sponge,-9.30471254,6.208340047,0,0.947636263458149,NA,NA,roza_summer,NA,-0.0537845386896041,NA
42,F2,P+Si,0,1,1,sponge,-10.58863328,6.81912206,0,1.0783968696993,NA,NA,roza_summer,NA,0.0754755584447806,NA
43,F3,N,1,0,0,sponge,-15.56336833,6.349062531,0,1.58504759256798,NA,NA,roza_summer,NA,0.460614433735217,NA
44,F4,C,0,0,0,sponge,-9.008516277,6.714123755,0,0.917470224613537,NA,NA,roza_summer,NA,-0.0861351523173023,NA
45,F5,N+P+Si,1,1,1,sponge,-14.9093339,3.65313822,0,1.51843760964225,NA,NA,roza_summer,NA,0.417681917825371,NA
47,F7,N+Si,1,0,1,sponge,-5.741216797,5.314710268,0,0.584712876386425,NA,NA,roza_summer,NA,-0.53663436183259,NA
48,F8,P+Si,0,1,1,sponge,-10.45005953,5.045566396,0,1.06428385867409,NA,NA,roza_summer,NA,0.0623021398069373,NA
49,G1,C,0,0,0,sponge,-9.261715749,6.647621066,0,0.943257265376395,NA,NA,roza_summer,NA,-0.0584162176745158,NA
52,G4,P,0,1,0,sponge,-8.398974172,3.410037851,0,0.855391552078575,NA,NA,roza_summer,NA,-0.156195959227604,NA
61,H5,C,0,0,0,sponge,-9.289211859,4.997247245,0,0.946057600241983,NA,NA,roza_summer,NA,-0.0554518235788142,NA
62,H6,N,1,0,0,sponge,-10.19037271,3.538429479,0,1.03783611547771,NA,NA,roza_summer,NA,0.037137887382327,NA
63,H7,C,0,0,0,sponge,-9.02987355,4.945379584,0,0.919645351066544,NA,NA,roza_summer,NA,-0.0837671712297872,NA
67,I3,N+P,1,1,0,sponge,-11.20767501,3.997685729,0,1.14144302931143,NA,NA,roza_summer,NA,0.132293277123255,NA
68,I4,N,1,0,0,sponge,-11.75594876,3.726075477,0,1.19728184062007,NA,NA,roza_summer,NA,0.180053854683415,NA
