site.date,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla_mgL,chla_ug_cm2,notes,cr.nrr,chla.nrr,gpp.nrr
toppenish_summer,K2,control,0,0,0,sponge,-13.44060238,1.423534687,NA,NA,,0.703054140588834,NA,NA
toppenish_summer,K3,N,1,0,0,sponge,-15.55488418,2.066802799,NA,NA,very thin,0.813648482407434,NA,NA
toppenish_summer,K4,control,0,0,0,sponge,-19.19341565,6.848448414,NA,NA,,1.0039736288051,NA,NA
toppenish_summer,K6,PSi,0,1,1,sponge,-20.4718186,3.849838492,NA,NA,,1.07084462624461,NA,NA
toppenish_summer,K7,NSi,1,0,1,sponge,-21.01268139,0.478816724,NA,NA,thin,1.09913620226547,NA,NA
toppenish_summer,K8,control,0,0,0,sponge,-18.75089156,2.064954328,NA,NA,,0.980825976267755,NA,NA
toppenish_summer,L1,control,0,0,0,sponge,-22.41501409,9.566503878,NA,NA,,1.17248974575584,NA,NA
toppenish_summer,L2,PSi,0,1,1,sponge,-20.89376018,20.41952022,NA,NA,,1.09291564408433,NA,NA
toppenish_summer,L3,P,0,1,0,sponge,-20.49470778,17.21512977,NA,NA,,1.07204191877055,NA,NA
toppenish_summer,L5,PSi,0,1,1,sponge,-20.57447039,1.145901503,NA,NA,,1.07621415983826,NA,NA
toppenish_summer,L7,NP,1,1,0,sponge,-22.34054463,0,NA,NA,,1.16859438000361,NA,NA
toppenish_summer,M1,NP,1,1,0,sponge,-17.16342416,0,NA,NA,,0.897788364033906,NA,NA
toppenish_summer,M2,Si,0,0,1,sponge,-16.05011075,0,NA,NA,LOTS of growth,0.839552908468441,NA,NA
toppenish_summer,M4,NP,1,1,0,sponge,-19.51375246,0,NA,NA,,1.02072988081569,NA,NA
toppenish_summer,M7,Si,0,0,1,sponge,-15.07711218,0,NA,NA,,0.788657074034455,NA,NA
toppenish_summer,N1,N,1,0,0,sponge,-26.39009997,0,NA,NA,very thin,1.38041945813903,NA,NA
toppenish_summer,N3,P,0,1,0,sponge,-18.2541627,12.78950163,NA,NA,,0.954842968073671,NA,NA
toppenish_summer,N6,NP,1,1,0,sponge,-20.63959037,0,NA,NA,,1.07962047082639,NA,NA
toppenish_summer,O1,N,1,0,0,sponge,-21.47994099,2.065467038,NA,NA,,1.12357772558579,NA,NA
toppenish_summer,O4,NSi,1,0,1,sponge,-27.48131585,0.039773329,NA,NA,,1.43749903099001,NA,NA
toppenish_summer,O5,PSi,0,1,1,sponge,-26.21803599,0,NA,NA,,1.37141909564299,NA,NA
toppenish_summer,O6,NPSi,1,1,1,sponge,-28.50021311,0,NA,NA,,1.49079574472537,NA,NA
toppenish_summer,P1,Si,0,0,1,sponge,-13.13020204,0,NA,NA,sparse growth,0.686817647751138,NA,NA
toppenish_summer,P4,PSi,0,1,1,sponge,-18.99370313,2.616003676,NA,NA,sparse growth,0.993527020078515,NA,NA
toppenish_summer,P8,P,0,1,0,sponge,-21.47180812,3.210770134,NA,NA,,1.12315230953919,NA,NA
toppenish_summer,Q1,N,1,0,0,sponge,-20.86421551,2.047210428,NA,NA,,1.09137021464683,NA,NA
toppenish_summer,Q2,Si,0,0,1,sponge,-22.24510781,7.709049356,NA,NA,,1.16360224873087,NA,NA
toppenish_summer,Q3,NSi,1,0,1,sponge,-21.21665486,0,NA,NA,sparse growth,1.109805693751,NA,NA
toppenish_summer,Q4,NSi,1,0,1,sponge,-21.85845797,5.341134956,NA,NA,,1.14337727939657,NA,NA
toppenish_summer,Q7,control,0,0,0,sponge,-21.78730691,5.877576506,NA,NA,very thing,1.1396554932797,NA,NA
toppenish_summer,R2,NP,1,1,0,sponge,-23.12021446,3.714242941,NA,NA,sparse growth,1.209377529953,NA,NA
toppenish_summer,R3,N,1,0,0,sponge,-23.38420678,0.850113307,NA,NA,very thin,1.22318650133778,NA,NA
toppenish_summer,R4,NPSi,1,1,1,sponge,-32.65972419,7.512178401,NA,NA,,1.7083724131618,NA,NA
