id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,chla.nrr,cr.nrr,gpp.nrr,site_date,cr.es,gpp.es,chla.es
3,A3,C,0,0,0,sponge,-7.407330501,0,NA,NA,0.966649092934198,NA,wenas_fall,-0.0339197315641781,NA,NA
5,A5,N,1,0,0,sponge,-0.0238,2.171893141,NA,NA,0.00310587578193359,NA,wenas_fall,-5.7744595479937,NA,NA
6,A6,NSi,1,0,1,sponge,-5.691341673,1.833998644,NA,NA,0.742714297011769,NA,wenas_fall,-0.297443834442659,NA,NA
9,B1,NSi,1,0,1,sponge,-0.0238,1.684808503,NA,NA,0.00310587578193359,NA,wenas_fall,-5.7744595479937,NA,NA
11,B3,N,1,0,0,sponge,-5.040361026,2.195331357,NA,NA,0.657761984993922,NA,wenas_fall,-0.418912138028314,NA,NA
14,B6,Si,0,0,1,sponge,-6.593684744,0.554398723,NA,NA,0.860469149583806,NA,wenas_fall,-0.15027751570617,NA,NA
17,C1,C,0,0,0,sponge,-7.495707608,3.074640706,NA,NA,0.978182215468175,NA,wenas_fall,-0.0220593119170522,NA,NA
18,C2,Si,0,0,1,sponge,-6.94335069,0,NA,NA,0.906100199728693,NA,wenas_fall,-0.0986053833273805,NA,NA
20,C4,N,1,0,0,sponge,-8.379478679,0,NA,NA,1.09351344093844,NA,wenas_fall,0.0893958527266738,NA,NA
21,C5,NSi,1,0,1,sponge,-3.671956799,0.197727384,NA,NA,0.479186625811785,NA,wenas_fall,-0.735665141978166,NA,NA
22,C6,PSi,0,1,1,sponge,-3.297795025,0,NA,NA,0.430358895039016,NA,wenas_fall,-0.843135778786874,NA,NA
23,C7,Si,0,0,1,sponge,-4.365685068,0.199513316,NA,NA,0.569717459002113,NA,wenas_fall,-0.562614727007644,NA,NA
26,D2,NSi,1,0,1,sponge,-0.0238,0,NA,NA,0.00310587578193359,NA,wenas_fall,-5.7744595479937,NA,NA
27,D3,PSi,0,1,1,sponge,-4.476156452,0.820077833,NA,NA,0.584133862202209,NA,wenas_fall,-0.537625106320233,NA,NA
28,D4,PSi,0,1,1,sponge,-5.640074063,1.194751434,NA,NA,0.736023926074936,NA,wenas_fall,-0.306492652527653,NA,NA
31,D7,PSi,0,1,1,sponge,-2.969262736,0,NA,NA,0.387485765627743,NA,wenas_fall,-0.94807616472733,NA,NA
32,D8,NPSi,1,1,1,sponge,-5.780038987,0,NA,NA,0.754289206233414,NA,wenas_fall,-0.281979421871742,NA,NA
33,E1,NPSi,1,1,1,sponge,-9.658341728,0.591689154,NA,NA,1.26040376750562,NA,wenas_fall,0.231432120031411,NA,NA
34,E2,NP,1,1,0,sponge,-5.98593203,1.262620122,NA,NA,0.781158038835192,NA,wenas_fall,-0.24697779515088,NA,NA
36,E4,PSi,0,1,1,sponge,-1.452922916,0,NA,NA,0.189604962093308,NA,wenas_fall,-1.66281251812547,NA,NA
37,E5,P,0,1,0,sponge,-4.439332657,1.283369054,NA,NA,0.579328394425344,NA,wenas_fall,-0.545885787018882,NA,NA
38,E6,NP,1,1,0,sponge,-5.077344924,0,NA,NA,0.662588346049372,NA,wenas_fall,-0.411601377485064,NA,NA
43,F3,Si,0,0,1,sponge,-5.460911553,0,NA,NA,0.712643400829582,NA,wenas_fall,-0.338774122768058,NA,NA
44,F4,NPSi,1,1,1,sponge,-7.81415338,0,NA,NA,1.01973906467464,NA,wenas_fall,0.0195467756225031,NA,NA
46,F6,Si,0,0,1,sponge,-6.315255748,2.263086568,NA,NA,0.824134448925635,NA,wenas_fall,-0.193421596210931,NA,NA
47,F7,P,0,1,0,sponge,-4.940875956,2.028306313,NA,NA,0.644779284591528,NA,wenas_fall,-0.438847215179978,NA,NA
48,F8,NP,1,1,0,sponge,-6.630668642,2.415699528,NA,NA,0.865295510639256,NA,wenas_fall,-0.144684199595944,NA,NA
49,G1,P,0,1,0,sponge,-3.380769165,0.346099572,NA,NA,0.441186935877367,NA,wenas_fall,-0.818286602473265,NA,NA
52,G4,NP,1,1,0,sponge,-5.376311677,1.528788893,NA,NA,0.701603203097524,NA,wenas_fall,-0.354387272516222,NA,NA
55,G7,NP,1,1,0,sponge,-4.964112285,0.444555853,NA,NA,0.647811601881534,NA,wenas_fall,-0.434155362739439,NA,NA
56,G8,C,0,0,0,sponge,-8.062240059,1.393455811,NA,NA,1.05211412383962,NA,wenas_fall,0.0508015911689723,NA,NA
62,H6,C,0,0,0,sponge,-8.201251513,2.639897743,NA,NA,1.07025497713332,NA,wenas_fall,0.0678969164720172,NA,NA
63,H7,P,0,1,0,sponge,-5.835184621,1.310352966,NA,NA,0.761485655356102,NA,wenas_fall,-0.272483944176805,NA,NA
64,H8,C,0,0,0,sponge,-7.147945674,3.908509942,NA,NA,0.932799636951831,NA,wenas_fall,-0.0695648525885675,NA,NA
66,I2,NPSi,1,1,1,sponge,-6.690207743,0,NA,NA,0.873065302734802,NA,wenas_fall,-0.135744923265657,NA,NA
71,I7,NPSi,1,1,1,sponge,-8.461957314,0,NA,NA,1.1042768188785,NA,wenas_fall,0.099190658162224,NA,NA
74,J2,N,1,0,0,sponge,-10.80984912,1.574580341,NA,NA,1.41067431042706,NA,wenas_fall,0.344067824417914,NA,NA
75,J3,NSi,1,0,1,sponge,-0.06098348,0,NA,NA,0.00795828208529544,NA,wenas_fall,-4.83354212084822,NA,NA
76,J4,N,1,0,0,sponge,-8.257960156,0.611999607,NA,NA,1.07765539734004,NA,wenas_fall,0.0747877528662004,NA,NA
78,J6,P,0,1,0,sponge,-2.806197367,0.519689236,NA,NA,0.366205900902988,NA,wenas_fall,-1.00455953299119,NA,NA
1,A1,PSi,0,1,1,glass,-3.73968056,0.633504919,0.418548,0.634273673235736,NA,0.247072792812722,wenas_fall,NA,-1.39807227802814,-0.455274756428725
2,A2,Si,0,0,1,glass,-0.04753479,0.232636419,0.793405,1.20233737519615,NA,0.090730360615054,wenas_fall,NA,-2.39986324121295,0.184267474930052
4,A4,NPSi,1,1,1,glass,-0.713244955,2.433801303,1.405512,2.12993314749301,NA,0.949205076469898,wenas_fall,NA,-0.052130406278595,0.756090593075263
7,A7,N,1,0,0,glass,-0.0238,2.384753763,0.312856,0.474106492717297,NA,0.930076081058903,wenas_fall,NA,-0.0724888885906753,-0.746323314341225
8,A8,N,1,0,0,glass,-0.04753479,2.352263032,1.261974,1.91241359296423,NA,0.917404394686888,wenas_fall,NA,-0.0862069064589585,0.64836610554848
10,B2,P,0,1,0,glass,-0.0238,0.859167968,0.578019,0.875938325664073,NA,0.335083474464689,wenas_fall,NA,-1.0933756006901,-0.132459595017325
12,B4,NP,1,1,0,glass,-2.673391551,1.172411122,0.809306,1.22643397983438,NA,0.45725120918475,wenas_fall,NA,-0.782522347242817,0.204110755166832
13,B5,NSi,1,0,1,glass,-8.294944054,0.208688275,0.737301,1.11731656476768,NA,0.0813903623872561,wenas_fall,NA,-2.50849841117422,0.110929886172949
15,B7,NSi,1,0,1,glass,-0.536010431,3.730832429,1.282102,1.9429158543414,NA,1.45505924279856,wenas_fall,NA,0.375046616494592,0.664189862376411
16,B8,C,0,0,0,glass,-0.0238,3.747059582,0.970157,1.47018990415762,NA,1.46138798294068,wenas_fall,NA,0.379386657363672,0.385391578948566
19,C3,C,0,0,0,glass,-1.415939018,3.403647389,0.90098,1.36535808106103,NA,1.32745404325733,wenas_fall,NA,0.283262854519513,0.311416724681951
24,C8,P,0,1,0,glass,-0.683305609,1.370352736,0.521585,0.790417428478122,NA,0.534450274129718,wenas_fall,NA,-0.626516585343018,-0.235194082591528
25,D1,N,1,0,0,glass,-0.278243868,3.712115924,1.237474,1.87528593975773,NA,1.44775963229302,wenas_fall,NA,0.370017280386393,0.628761148999371
29,D5,PSi,0,1,1,glass,-1.01471976,0,0.680419,1.03111676192309,NA,0,wenas_fall,NA,-Inf,0.0306424497602157
30,D6,NPSi,1,1,1,glass,-2.673391551,2.707128836,1.303991,1.97608676050618,NA,1.05580534886797,wenas_fall,NA,0.0543038395699337,0.68111850550054
35,E3,C,0,0,0,glass,-1.009116139,2.665526644,0.488607,0.740442091847752,NA,1.03958010821665,wenas_fall,NA,0.0388168895281234,-0.30050784975317
39,E7,NP,1,1,0,glass,-0.787212751,0.875615291,0.307268,0.465638356957381,NA,0.34149808294842,wenas_fall,NA,-1.07441321360807,-0.764346004176785
40,E8,PSi,0,1,1,glass,-0.793776993,0,0.560928,0.8500383778701,NA,0,wenas_fall,NA,-Inf,-0.162473780081613
41,F1,NP,1,1,0,glass,-1.37895512,1.969576704,0.49435,0.74914511684224,NA,0.768153178169964,wenas_fall,NA,-0.263766114979979,-0.288822566778607
42,F2,C,0,0,0,glass,-2.303552571,3.889423056,0.976976,1.48052351506436,NA,1.51691105791731,wenas_fall,NA,0.416676068401902,0.392395751624427
45,F5,NPSi,1,1,1,glass,-2.117825572,4.055598194,1.411213,2.138572525082,NA,1.58172090265618,wenas_fall,NA,0.458513433210209,0.760138562106488
50,G2,NSi,1,0,1,glass,-0.0238,3.230694701,0.361545,0.547890505246744,NA,1.26000089117119,wenas_fall,NA,0.231112428241858,-0.601679819942287
51,G3,NP,1,1,0,glass,-0.317500953,0.100921256,0.712665,1.07998281520052,NA,0.0393602256687255,wenas_fall,NA,-3.23499947336113,0.0769451291581592
53,G5,NPSi,1,1,1,glass,-4.355510072,2.118103708,1.079533,1.63593987138678,NA,0.826080087000149,wenas_fall,NA,-0.191063552533947,0.492217484074067
54,G6,N,1,0,0,glass,-0.885836479,4.714319917,1.564384,2.37069006668581,NA,1.83862848286081,wenas_fall,NA,0.60901990393027,0.863181080144025
57,H1,Si,0,0,1,glass,-0.0238,0.645407824,0.957635,1.45121388483305,NA,0.251715036136699,wenas_fall,NA,-1.37945764029895,0.372400368161692
58,H2,PSi,0,1,1,glass,-1.585243084,1.973088999,1.191998,1.80637095374879,NA,0.769523005788986,wenas_fall,NA,-0.261984429088402,0.591319834649789
59,H3,N,1,0,0,glass,-0.148624111,2.624732284,1.006992,1.52601019419278,NA,1.02366992953624,wenas_fall,NA,0.023394140219144,0.422656613175981
60,H4,PSi,0,1,1,glass,-2.001106471,0.533386243,0.695478,1.05393738762255,NA,0.208025580786209,wenas_fall,NA,-1.57009422229372,0.0525330438219662
