site.date,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,notes
Ahtanum_fall_2018,A1,Si,0,0,1,cellulose,-9.469852038,3.122831252,NA,
Ahtanum_fall_2018,A2,P,0,1,0,cellulose,-14.22761113,5.523216386,NA,
Ahtanum_fall_2018,A3,PSi,0,1,1,glass,-13.43465128,6.202816444,0.344707987,
Ahtanum_fall_2018,A4,NP,1,1,0,glass,-8.921988871,2.459784463,0.072575234,
Ahtanum_fall_2018,A5,P,0,1,0,cellulose,-11.31099131,0,NA,
Ahtanum_fall_2018,A6,control,0,0,0,cellulose,-13.62759973,0,NA,
Ahtanum_fall_2018,A7,Si,0,0,1,cellulose,-9.459993952,0,NA,
Ahtanum_fall_2018,A8,NPSi,1,1,1,cellulose,-10.29608293,0,NA,
Ahtanum_fall_2018,B1,NSi,1,0,1,cellulose,-5.86117618,0,NA,
Ahtanum_fall_2018,B2,NPSi,1,1,1,cellulose,-8.724847234,0,NA,
Ahtanum_fall_2018,B3,N,1,0,0,glass,-12.52164913,7.552502295,0.522750707,
Ahtanum_fall_2018,B4,N,1,0,0,cellulose,-9.16293976,1.611125649,NA,
Ahtanum_fall_2018,B5,control,0,0,0,glass,-20.66947773,2.551311983,0.072575234,
Ahtanum_fall_2018,B6,N,1,0,0,cellulose,-14.23751152,3.711423937,NA,
Ahtanum_fall_2018,B7,control,0,0,0,cellulose,-16.46448186,0,NA,
Ahtanum_fall_2018,B8,PSi,0,1,1,glass,-10.58674047,3.423246524,0.072575234,
Ahtanum_fall_2018,C1,P,0,1,0,glass,-13.28831105,4.789114438,1.217968735,
Ahtanum_fall_2018,C2,N,1,0,0,cellulose,-12.15657202,2.510695814,NA,
Ahtanum_fall_2018,C3,NPSi,1,1,1,glass,-16.19633902,7.390880708,0.50476138,
Ahtanum_fall_2018,C4,control,0,0,0,cellulose,-17.44295145,0,NA,
Ahtanum_fall_2018,C5,P,0,1,0,glass,-15.99952219,4.733223223,1.685452042,
Ahtanum_fall_2018,C6,NSi,1,0,1,cellulose,-13.9005659,0,NA,
Ahtanum_fall_2018,C7,P,0,1,0,glass,-15.59446045,3.372613316,0.337817743,final GPP may be off because probe slipped
Ahtanum_fall_2018,C8,NPSi,1,1,1,cellulose,-13.24910494,0,NA,
Ahtanum_fall_2018,D1,NP,1,1,0,cellulose,-9.694613186,0,NA,
Ahtanum_fall_2018,D2,NP,1,1,0,glass,-10.88326598,2.420848144,0.453948981,
Ahtanum_fall_2018,D3,PSi,0,1,1,cellulose,-13.65853462,0,NA,bit of biofilm fell off during GPP to CR transition
Ahtanum_fall_2018,D4,P,0,1,0,cellulose,-19.50427145,10.42006557,NA,
Ahtanum_fall_2018,D5,N,1,0,0,glass,-13.48377268,3.56327905,1.085472119,
Ahtanum_fall_2018,D6,NP,1,1,0,cellulose,-9.602492595,0,NA,
Ahtanum_fall_2018,D7,control,0,0,0,glass,-14.51724171,2.198356194,1.898403371,
Ahtanum_fall_2018,D8,Si,0,0,1,cellulose,-5.838456371,2.933915276,NA,
Ahtanum_fall_2018,E1,NP,1,1,0,glass,-9.440758526,3.23526653,0.072575234,
Ahtanum_fall_2018,E2,NSi,1,0,1,cellulose,-15.33209091,5.634973433,NA,
Ahtanum_fall_2018,E3,Si,0,0,1,glass,-10.96501902,3.38651229,1.186098211,
Ahtanum_fall_2018,E4,NSi,1,0,1,glass,-9.358798694,4.352421922,0.190361495,
Ahtanum_fall_2018,E5,Si,0,0,1,cellulose,-8.342014106,0.614873364,NA,
Ahtanum_fall_2018,E6,NSi,1,0,1,glass,-13.17513715,6.73374668,0.155977416,
Ahtanum_fall_2018,E7,Si,0,0,1,glass,-11.74453273,4.59263531,0.97396515,
Ahtanum_fall_2018,E8,P,0,1,0,glass,-11.90501889,5.073468624,NA,
Ahtanum_fall_2018,F1,PSi,0,1,1,cellulose,-16.21642947,2.08055934,NA,
Ahtanum_fall_2018,F2,NPSi,1,1,1,cellulose,-13.51070664,1.994529287,NA,
Ahtanum_fall_2018,F3,NP,1,1,0,glass,-10.31109051,3.75299694,0.072575234,
Ahtanum_fall_2018,F4,NPSi,1,1,1,glass,-12.4571745,3.761459656,0.072575234,
Ahtanum_fall_2018,F5,control,0,0,0,glass,-20.54726082,10.60598113,2.297773137,
Ahtanum_fall_2018,F6,control,0,0,0,glass,-21.53178589,9.214948817,1.558003516,
Ahtanum_fall_2018,F7,N,1,0,0,glass,-16.92420859,5.273344914,1.431087914,
Ahtanum_fall_2018,F8,NSi,1,0,1,cellulose,-13.41929936,0.83001863,0,
Ahtanum_fall_2018,G1,control,0,0,0,glass,-19.94895862,7.934836729,1.323151954,
Ahtanum_fall_2018,G2,NP,1,1,0,cellulose,-17.3039925,6.349373742,NA,
Ahtanum_fall_2018,G3,NSi,1,0,1,glass,-14.91541617,5.712801619,NA,
Ahtanum_fall_2018,G4,control,0,0,0,cellulose,-19.55876153,1.547692605,NA,
Ahtanum_fall_2018,G5,N,1,0,0,glass,-16.05782653,4.931316354,0.689434177,
Ahtanum_fall_2018,G6,NSi,1,0,1,glass,-11.45024923,5.324988684,0.072575234,
Ahtanum_fall_2018,G7,N,1,0,0,glass,-13.85249039,4.790738045,1.353583164,
Ahtanum_fall_2018,G8,Si,0,0,1,glass,-16.18958049,8.455538083,0.199496732,
Ahtanum_fall_2018,H1,N,1,0,0,cellulose,-13.85641067,0.171026751,NA,
Ahtanum_fall_2018,H2,PSi,0,1,1,cellulose,-19.16786138,5.12722372,NA,
Ahtanum_fall_2018,H3,NPSi,1,1,1,glass,-14.28515163,4.541812569,0.781340459,
Ahtanum_fall_2018,H4,PSi,0,1,1,glass,-16.72642059,8.357051883,1.104099276,
Ahtanum_fall_2018,H5,NPSi,1,1,1,cellulose,-15.27691715,7.865527371,NA,
Ahtanum_fall_2018,H6,NPSi,1,1,1,glass,-17.17539552,9.244495707,0.147748569,
Ahtanum_fall_2018,H7,NP,1,1,0,cellulose,-14.29642169,0.953349167,NA,
Ahtanum_fall_2018,H8,PSi,0,1,1,glass,-18.12425514,6.420441962,0.725316316,
Ahtanum_fall_2018,I1,NSi,1,0,1,glass,-13.40712705,4.885479279,0.360297058,
Ahtanum_fall_2018,I2,NP,1,1,0,cellulose,-14.00246188,0,NA,
Ahtanum_fall_2018,I3,P,0,1,0,cellulose,-17.6858155,5.198394336,NA,
Ahtanum_fall_2018,I4,PSi,0,1,1,glass,-20.60552313,9.335491403,0.072575234,
Ahtanum_fall_2018,I5,P,0,1,0,glass,-18.70228783,9.173477879,1.350805246,
Ahtanum_fall_2018,I6,NSi,1,0,1,cellulose,-16.18958049,4.853581095,NA,
Ahtanum_fall_2018,I7,NPSi,1,1,1,glass,-15.5064925,10.60000154,0.264299432,
Ahtanum_fall_2018,I8,PSi,0,1,1,cellulose,-19.60211676,3.266937491,NA,
Ahtanum_fall_2018,J1,Si,0,0,1,cellulose,-18.38130568,2.556504205,NA,
Ahtanum_fall_2018,J2,Si,0,0,1,glass,-20.74416584,11.36879507,0.799913064,
Ahtanum_fall_2018,J3,Si,0,0,1,glass,-20.07468879,9.641902887,0.355076922,
Ahtanum_fall_2018,J4,NP,1,1,0,glass,-18.89215971,8.600206531,0.261219384,
Ahtanum_fall_2018,J5,N,1,0,0,cellulose,-18.25096011,10.95070301,NA,unsure of final P value
Ahtanum_fall_2018,J6,control,0,0,0,cellulose,-17.6048312,0,NA,
Ahtanum_fall_2018,J7,PSi,0,1,1,cellulose,-17.65192514,2.586018749,NA,
Ahtanum_fall_2018,J8,P,0,1,0,cellulose,-21.14525481,3.517928591,NA,
