nds.id,nutrient,N,P,Si,top,cr.area,gpp.area
A6,control,0,0,0,cellulose,-18.99983955,0
B7,control,0,0,0,cellulose,-29.21608707,13.20109349
C4,control,0,0,0,cellulose,-15.46875786,0
G4,control,0,0,0,cellulose,-19.08669567,0
J6,control,0,0,0,cellulose,-19.40890388,3.445056534
B5,control,0,0,0,glass,-29.21608707,19.77985486
D7,control,0,0,0,glass,-15.79730793,1.915315636
F5,control,0,0,0,glass,-13.32619444,3.32830169
F6,control,0,0,0,glass,-12.0470521,3.454091474
G1,control,0,0,0,glass,-14.66929389,3.295749157
B4,N,1,0,0,cellulose,-13.02077603,6.936778921
B6,N,1,0,0,cellulose,,
C2,N,1,0,0,cellulose,-15.06800528,1.357673332
H1,N,1,0,0,cellulose,-18.70004583,1.84402865
J5,N,1,0,0,cellulose,,
B3,N,1,0,0,glass,-8.089589626,0
D5,N,1,0,0,glass,-14.28507744,2.230831384
F7,N,1,0,0,glass,-13.07036597,2.95251263
G5,N,1,0,0,glass,-15.19510928,3.394721176
G7,N,1,0,0,glass,-13.86097433,3.665547846
D1,NP,1,1,0,cellulose,-34.14329545,9.244878875
D6,NP,1,1,0,cellulose,-22.82334901,0
G2,NP,1,1,0,cellulose,-24.62867676,1.346316852
H7,NP,1,1,0,cellulose,-23.27540231,0
I2,NP,1,1,0,cellulose,-11.03936134,0.603595907
A4,NP,1,1,0,glass,-13.56556335,3.12366062
D2,NP,1,1,0,glass,-22.00931361,6.303584157
E1,NP,1,1,0,glass,-15.2302215,5.786296965
F3,NP,1,1,0,glass,-18.63463514,0
J4,NP,1,1,0,glass,-12.51364834,0
A8,NPSi,1,1,1,cellulose,-25.39868381,1.757355392
B2,NPSi,1,1,1,cellulose,-13.02077603,1.165167719
C8,NPSi,1,1,1,cellulose,-31.85601842,6.426831283
F2,NPSi,1,1,1,cellulose,-19.33195863,0
H5,NPSi,1,1,1,cellulose,-16.94831543,4.596835924
C3,NPSi,1,1,1,glass,-15.16496155,5.267797019
F4,NPSi,1,1,1,glass,-17.41944992,1.296992349
H3,NPSi,1,1,1,glass,-18.31192022,5.941695403
H6,NPSi,1,1,1,glass,-14.87044147,1.173578319
I7,NPSi,1,1,1,glass,,
B1,NSi,1,0,1,cellulose,-21.11449065,0
C6,NSi,1,0,1,cellulose,-21.09559377,2.526769387
E2,NSi,1,0,1,cellulose,-28.08418073,3.928883418
F8,NSi,1,0,1,cellulose,,
I6,NSi,1,0,1,cellulose,-17.98725242,0.006364752
E4,NSi,1,0,1,glass,-14.53711585,3.598623004
E6,NSi,1,0,1,glass,-13.02488535,0.082505338
G3,NSi,1,0,1,glass,-17.8623045,7.744451163
G6,NSi,1,0,1,glass,-16.42884694,2.542008746
I1,NSi,1,0,1,glass,-13.0936231,6.696200477
A2,P,0,1,0,cellulose,-16.56778567,0
A5,P,0,1,0,cellulose,-22.1969525,0
D4,P,0,1,0,cellulose,-21.07111913,0
I3,P,0,1,0,cellulose,-29.28569211,4.939383601
J8,P,0,1,0,cellulose,-14.76910576,0
C1,P,0,1,0,glass,,
C5,P,0,1,0,glass,-15.54800907,7.452670898
C7,P,0,1,0,glass,-18.32180142,7.653540654
E8,P,0,1,0,glass,-14.31705246,1.328493615
I5,P,0,1,0,glass,-13.15806474,2.710116314
D3,PSi,0,1,1,cellulose,-30.47854568,6.976351298
F1,PSi,0,1,1,cellulose,,
H2,PSi,0,1,1,cellulose,-20.43997013,0
I8,PSi,0,1,1,cellulose,-17.08900482,0
J7,PSi,0,1,1,cellulose,-18.25089244,4.121736511
A3,PSi,0,1,1,glass,-15.46432287,7.756586888
B8,PSi,0,1,1,glass,-16.92698012,3.635677558
H4,PSi,0,1,1,glass,-16.03924557,2.689578203
H8,PSi,0,1,1,glass,-15.56469353,5.27700212
I4,PSi,0,1,1,glass,-16.8054616,6.565071993
A1,Si,0,0,1,cellulose,-7.082205834,0
A7,Si,0,0,1,cellulose,-11.67684777,0
D8,Si,0,0,1,cellulose,,
E5,Si,0,0,1,cellulose,-12.66657701,0
J1,Si,0,0,1,cellulose,-5.36062624,0
E3,Si,0,0,1,glass,-15.48225991,4.641165899
E7,Si,0,0,1,glass,-13.61877438,0.18564649
G8,Si,0,0,1,glass,-5.940601005,0
J2,Si,0,0,1,glass,-8.90491647,0.628690368
J3,Si,0,0,1,glass,-9.296896073,0.321596192
