stream,season,type,position,river_mile,Si.mgL,oP.mgPL,NH4.mgNL,NO3.mgNL,DOC.mgL,TDN.mgL
cleelum,fall,mainstem,1,176,9.14380164,0.02375,0.02655,0.0145,4.737,0
cleelum,summer,mainstem,1,176,6.237037,0.0045,0,0.01725,1.242,0
reecer,fall,trib,1,153,35.41758656,0.1825,0.00255,0.387,14.11,0.4055
reecer,summer,trib,1,153,24.3407145,0.07425,0.01265,0.1755,8.9345,0.319
ringer,fall,mainstem,2,149,12.4343508,0.0355,0,0.193,6.68,0.1145
ringer,summer,mainstem,2,149,9.781977965,0.00675,0,0.057,1.5345,0.0045
roza,fall,mainstem,3,130,16.47612726,0.02075,0.01415,0.2985,8.8235,0.2665
roza,summer,mainstem,3,130,11.93514752,0.01375,0.001,0.1095,1.975,0
wenas,fall,trib,2,122,44.08741888,0.02425,2.00E-04,0.127,17.38,0.1935
wenas,summer,trib,2,122,43.19160021,0.04475,0.0237,0.0365,6.35,0.262
ahtanum,fall,trib,3,107,39.85120196,0.07375,0.254,0.43375,4.77,0.3
ahtanum,summer,trib,3,107,39.95577618,0.0875,0.590825,0.5005,4.918,0.761
century,fall,mainstem,4,107,17.05968084,0.05675,0.304825,0.4675,5.3115,0.0965
century,summer,mainstem,4,107,12.89724558,0.0245,0.3565,0.14,4.6945,0.1575
toppenish,summer,trib,4,86,18.92728024,0.066,0.44765,1.967,6.5405,0.9405
satus,fall,trib,5,70,30.48295305,0.05475,0.29945,0.301,11.746,0.275
satus,summer,trib,5,70,27.47415782,0.0765,0.535075,1.034,14.155,0.856
mabton,fall,mainstem,5,61,23.17677971,0.07525,0.369575,1.4595,9.673,0
mabton,summer,mainstem,5,61,18.05383733,0.0515,0.536766667,1.097333333,9.500333333,0.970666667
kiona,fall,mainstem,6,27,23.52240837,0.071,0.28495,1.64,4.203,0.4935
kiona,summer,mainstem,6,27,16.11261467,0.03325,0,1.0845,4.677,0.5685
