id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr
1,U1,P,0,1,0,glass,-2.790878495,2.991282395,0.180177974,,
2,U2,N,1,0,0,glass,-3.89273038,4.184599835,0.49359214,,
3,U3,Si,0,0,1,glass,-2.100687562,3.718807554,0.383801853,,
4,U4,Si,0,0,1,glass,-2.746804419,4.18761819,0.430797018,,
5,U5,N+P,1,1,0,sponge,-12.92791584,3.042163611,0,,
6,U6,N+Si,1,0,1,sponge,-2.350137741,3.290581126,0,,
7,U7,P+Si,0,1,1,sponge,-5.435323018,5.343329057,0,,
8,U8,N,1,0,0,sponge,-11.25310097,4.142129973,0,,
9,V1,N+P,1,1,0,glass,-2.868008127,2.730767907,0.115794435,,
10,V2,N,1,0,0,sponge,-13.23505705,3.615254451,0,,
11,V3,N+Si,1,0,1,glass,-2.60218636,4.104289517,0.257984693,,
12,V4,C,0,0,0,sponge,-8.601964571,6.925399018,0,,
13,V5,P,0,1,0,sponge,-7.209763658,5.846587977,0,,
14,V6,C,0,0,0,glass,-4.994582264,8.86949446,1.005607604,,
15,V7,C,0,0,0,glass,-4.507242358,6.098885479,0.664350517,,
16,V8,N+P+Si,1,1,1,sponge,-12.6992383,3.963313884,0,,
17,W1,N,1,0,0,glass,-4.457342482,4.108953057,0.502607987,,
18,W2,N+Si,1,0,1,sponge,-4.371084088,4.111301918,0,,
19,W3,Si,0,0,1,sponge,-1.476271126,2.634205048,0,,
20,W4,Si,0,0,1,glass,-6.740611556,8.963209862,0.512866029,,
21,W5,P,0,1,0,sponge,-7.277851339,3.814893919,0,,
22,W6,Si,0,0,1,sponge,-1.860683535,3.953104289,0,,
23,W7,Si,0,0,1,sponge,-3.203782991,4.677122015,0,,
24,W8,N,1,0,0,glass,-3.970263832,6.983469263,1.077406876,,
25,X1,P,0,1,0,sponge,-6.508792122,5.13730861,0,,
26,X2,P,0,1,0,glass,-4.457342482,3.585488654,0.42522703,,
27,X3,N+P+Si,1,1,1,glass,-4.367802519,5.552861111,0.739757064,,
28,X4,Si,0,0,1,glass,-2.77751561,4.314616622,0.657559389,,
29,X5,N,1,0,0,sponge,-10.33364074,1.032770002,0,,
30,X6,Si,0,0,1,sponge,-1.963082962,2.507063056,0,,
31,X7,P+Si,0,1,1,sponge,-6.940171369,4.014116323,0,,
32,X8,N+P+Si,1,1,1,sponge,-15.76319173,1.581330134,0,,
33,Y1,N+P+Si,1,1,1,sponge,-13.50087882,5.5913369,0,,
34,Y2,C,0,0,0,sponge,-7.132528456,6.58466139,0,,
35,Y3,P,0,1,0,glass,-5.177513373,4.304568994,0.37330052,,
36,Y4,P+Si,0,1,1,sponge,-8.195876665,5.451547045,0,,
37,Y5,N,1,0,0,glass,-4.580762432,5.882848457,0.795775095,,
38,Y6,P,0,1,0,sponge,-6.19006178,4.995274688,0,,
39,Y7,Si,0,0,1,sponge,-2.34208119,2.882409314,0,,
40,Y8,N+P,1,1,0,glass,-4.48880247,4.996657417,0.355091034,,
41,Z1,N+Si,1,0,1,glass,-2.204882858,5.199764216,0.471052521,,
42,Z2,P,0,1,0,glass,-5.270462153,4.93610952,0.181429526,,
43,Z3,N+P,1,1,0,glass,-3.339302936,3.047060682,0.027203322,,
44,Z4,N+P+Si,1,1,1,sponge,-13.22499893,3.811607102,0,,
45,Z5,N+Si,1,0,1,glass,-1.850950931,4.546481349,0.475527693,,
46,Z6,N+Si,1,0,1,sponge,-5.459407213,5.303717062,0,,
47,Z7,N,1,0,0,glass,-3.405493898,6.305463673,1.086067143,,
48,Z8,N+P,1,1,0,glass,-5.722094469,5.990103345,0.266738534,,
49,AA1,N+Si,1,0,1,sponge,-7.705380066,6.37075336,0,,
50,AA2,P+Si,0,1,1,glass,-3.031590753,7.244548753,0.708571215,,
51,AA3,N+P,1,1,0,sponge,-14.89535366,5.999574464,0,,
52,AA4,Si,0,0,1,glass,-2.531010039,6.653879057,0.878246474,,
53,AA5,P+Si,0,1,1,sponge,-8.155391912,5.587968604,0,,
54,AA6,P+Si,0,1,1,glass,-3.50714243,7.711802762,1.088205307,,
55,AA7,N+Si,1,0,1,glass,-1.255550814,4.556593242,0.303267455,,
56,AA8,N+P,1,1,0,glass,,,,,
57,BB1,C,0,0,0,sponge,-5.366442223,6.144085674,0,,
58,BB2,N+P,1,1,0,sponge,-14.76280193,4.733436906,0,,
59,BB3,N+Si,1,0,1,glass,-1.229500185,3.390943075,0.312629526,,
60,BB4,N+P+Si,1,1,1,glass,-3.545707577,6.599836772,0.955161901,,
61,BB5,P+Si,0,1,1,glass,-3.228247462,6.525413701,1.040758649,,
62,BB6,C,0,0,0,glass,-3.919610722,6.366339279,0.875556223,,
63,BB7,C,0,0,0,sponge,-7.658642173,6.3339011,0,,
64,BB8,N+P,1,1,0,sponge,-15.79103558,4.300595742,0,,
65,CC1,C,0,0,0,glass,-4.380238625,4.323342228,0.677001712,,
66,CC2,N+P+Si,1,1,1,sponge,-14.35150847,5.510072177,0,,
67,CC3,N+P+Si,1,1,1,glass,-4.947325061,6.162398242,1.046557893,,
68,CC4,P,0,1,0,glass,-5.041578378,4.388446241,0.533370415,,
69,CC5,P+Si,0,1,1,glass,-3.960667767,6.210325505,0.713528293,,
70,CC6,P,0,1,0,sponge,-6.412298356,5.827622916,0,,
71,CC7,N,1,0,0,sponge,-15.59181205,7.730180659,0,,
72,CC8,P+Si,0,1,1,sponge,,,,,
73,DD1,N+P+Si,1,1,1,glass,-4.709455006,5.12845319,0.429470608,,
74,DD2,N+Si,1,0,1,sponge,-1.192885482,1.776692939,0,,
75,DD3,N+P,1,1,0,sponge,-10.64960623,3.693879421,0,,
76,DD4,C,0,0,0,sponge,-6.847909446,6.280418443,0,,
77,DD5,N+P+Si,1,1,1,glass,-4.522010234,5.688440742,0.689365166,,
78,DD6,C,0,0,0,glass,-3.001475123,3.375152279,0.574613123,,
79,DD7,N,1,0,0,sponge,-11.67810098,0,0,,
80,DD8,P+Si,0,1,1,glass,-5.232188313,7.029531351,0.589196619,,
