id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla
1,U1,NSi,1,0,1,glass,-0.526245859,2.345630052,0.76266172
2,U2,NSi,1,0,1,glass,-1.658626046,3.513453141,0.545820482
3,U3,N,1,0,0,glass,-7.081059998,0,1.362382019
4,U4,control,0,0,0,cellulose,-11.27494756,0,
5,U5,PSi,0,1,1,glass,-5.692690447,0,1.018653876
6,U6,NPSi,1,1,1,glass,-4.770331109,0,1.349142041
7,U7,control,0,0,0,glass,-9.690098691,0,1.958750059
8,U8,PSi,0,1,1,glass,-6.114443062,0,1.509205173
9,V1,NP,1,1,0,glass,-7.003344368,0,1.510664828
10,V2,NP,1,1,0,cellulose,-9.626781622,0,
11,V3,NSi,1,0,1,cellulose,-2.114211304,0,
12,V4,NPSi,1,1,1,glass,-4.76593509,0,1.659768177
13,V5,PSi,0,1,1,cellulose,-11.17204881,0,
14,V6,PSi,0,1,1,glass,-9.336504161,0,1.96042825
15,V7,NSi,1,0,1,cellulose,-2.000798878,0,
16,V8,Si,0,0,1,glass,-3.6335688,4.037995104,0.868185708
17,W1,control,0,0,0,cellulose,-10.57387916,0,
18,W2,N,1,0,0,cellulose,-8.51040118,0,
19,W3,NP,1,1,0,glass,-7.578759177,0,0.961191298
20,W4,NP,1,1,0,cellulose,-5.593956648,0,
21,W5,PSi,0,1,1,cellulose,-9.529198648,0,
22,W6,NP,1,1,0,glass,-7.248213511,0,0.970081174
23,W7,NSi,1,0,1,cellulose,-1.474307594,0,
24,W8,P,0,1,0,cellulose,-11.73777339,0,
25,X1,control,0,0,0,cellulose,,,
26,X2,Si,0,0,1,glass,-6.134626015,4.208700532,0.594615843
27,X3,N,1,0,0,cellulose,,,
28,X4,NP,1,1,0,cellulose,-11.83675269,0,
29,X5,NPSi,1,1,1,cellulose,-9.968623446,0,
30,X6,N,1,0,0,glass,-8.077887388,0,1.629902975
31,X7,P,0,1,0,glass,-9.50137617,0,0.96839886
32,X8,N,1,0,0,glass,-7.162340565,0,2.244747609
33,Y1,Si,0,0,1,cellulose,,,
34,Y2,NSi,1,0,1,cellulose,,,
35,Y3,NPSi,1,1,1,cellulose,,,
36,Y4,PSi,0,1,1,cellulose,,,
37,Y5,NP,1,1,0,cellulose,,,
38,Y6,NPSi,1,1,1,glass,-6.26937355,0,2.366261828
39,Y7,control,0,0,0,cellulose,,,
40,Y8,NPSi,1,1,1,cellulose,,,
41,Z1,NSi,1,0,1,glass,,,
42,Z2,PSi,0,1,1,cellulose,-8.63073991,0,
43,Z3,control,0,0,0,glass,-9.422083619,0,1.394576896
44,Z4,P,0,1,0,cellulose,-7.670287551,0,
45,Z5,NPSi,1,1,1,cellulose,-8.214454157,0,
46,Z6,NSi,1,0,1,glass,-4.459783775,0,0.660287949
47,Z7,NPSi,1,1,1,glass,-7.19695457,0,0.96839886
48,Z8,control,0,0,0,glass,-8.51040118,0,1.247580563
49,AA1,NSi,1,0,1,cellulose,-3.716495481,0.432101743,
50,AA2,Si,0,0,1,cellulose,-7.602941967,3.953992663,
51,AA3,NP,1,1,0,glass,-7.38321213,0,1.832428049
52,AA4,P,0,1,0,cellulose,,,
53,AA5,P,0,1,0,glass,,,
54,AA6,P,0,1,0,cellulose,,,
55,AA7,N,1,0,0,glass,,,
56,AA8,NPSi,1,1,1,cellulose,,,
57,AB1,control,0,0,0,glass,-8.883958118,0,2.644680717
58,AB2,PSi,0,1,1,cellulose,-11.39821569,0,
59,AB3,control,0,0,0,glass,-12.54709459,0,2.153968611
60,AB4,Si,0,0,1,cellulose,-8.791845633,3.705344739,
61,AB5,Si,0,0,1,glass,-6.039942152,1.76992122,0.832927205
62,AB6,Si,0,0,1,cellulose,-6.282561607,4.751863254,
63,AB7,NPSi,1,1,1,glass,-7.198624312,0,1.257616722
64,AB8,Si,0,0,1,glass,-6.50133607,0,1.298462323
65,AC1,P,0,1,0,glass,-7.892355363,0,1.950012745
66,AC2,P,0,1,0,glass,-8.317401174,0,2.061626875
67,AC3,Si,0,0,1,glass,-5.887410952,0,1.492938678
68,AC4,NP,1,1,0,glass,-8.62552399,0,1.142592607
69,AC5,N,1,0,0,cellulose,-12.28892737,0,
70,AC6,N,1,0,0,cellulose,-11.43950389,0,
71,AC7,N,1,0,0,cellulose,-14.08073468,0,
72,AC8,PSi,0,1,1,glass,-8.846143076,0,0.800369259
73,AD1,NP,1,1,0,cellulose,-13.50058571,0,
74,AD2,P,0,1,0,glass,-9.301913716,0,0.830544397
75,AD3,control,0,0,0,cellulose,-23.35003404,3.84771438,
76,AD4,PSi,0,1,1,glass,-13.03631975,0,0.829727509
77,AD5,NSi,1,0,1,glass,-9.784095319,0.998590063,0.743991331
78,AD6,N,1,0,0,glass,-10.19247335,0,1.067655402
79,AD7,P,0,1,0,cellulose,-12.28892737,0,
80,AD8,Si,0,0,1,cellulose,-9.667358776,3.550312691,
