nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,Notes
K1,NP,1,1,0,glass,-1.535552234,0,0.995798317,
K2,NPSi,1,1,1,cellulose,-9.353243826,0,,
K3,PSi,0,1,1,cellulose,-12.35070071,0.601972137,,
K4,PSi,0,1,1,glass,-7.381687393,3.765028016,0.283725814,
K6,NPSi,1,1,1,glass,-6.293203948,0.473106308,0.48273782,
K7,NPSi,1,1,1,cellulose,-6.615717561,0,,
L1,control,0,0,0,cellulose,-12.35070071,1.64735875,,
L2,NP,1,1,0,glass,-7.583258401,1.604658341,0.265038931,
L3,P,0,1,0,cellulose,-14.95167994,2.613770652,,
L4,Si,0,0,1,cellulose,-5.027490145,1.832792675,,
L5,N,1,0,0,cellulose,-13.47802747,7.869266386,,
L6,PSi,0,1,1,cellulose,-14.73750791,0.358279575,,
L7,Si,0,0,1,glass,-4.891859586,,0.187829777,dumped out water before measuring final DO so no GPP
L8,NP,1,1,0,cellulose,-14.51635474,3.941184498,,
M1,Si,0,0,1,cellulose,-6.998233707,0.696647583,,
M2,N,1,0,0,cellulose,-7.670824597,0,,
M3,control,0,0,0,glass,-0.121211657,1.03077901,0.096654941,
M4,NSi,1,0,1,glass,-7.473003747,1.545231467,0.30538561,
M5,P,0,1,0,glass,-7.354311237,1.318864317,0.560751021,
M6,control,0,0,0,cellulose,-14.37749587,0,,
M7,P,0,1,0,cellulose,-13.89215484,5.236625013,,
M8,Si,0,0,1,cellulose,-8.182448932,0,,
N1,PSi,0,1,1,cellulose,-15.40697477,1.459842209,,
N2,NSi,1,0,1,glass,-6.87684364,1.056746,0.41337122,
N3,P,0,1,0,glass,-7.456818405,2.345578811,0.258874569,
N4,NSi,1,0,1,cellulose,-8.191453107,0,,
N5,NSi,1,0,1,cellulose,-9.047156448,0,,
N6,NSi,1,0,1,glass,-7.661515381,0.86617355,0.590665703,
N7,P,0,1,0,cellulose,-16.94616586,0,,
N8,NP,1,1,0,cellulose,-15.01311104,0,,
O1,control,0,0,0,glass,-7.353595143,2.027411497,0.153981449,
O3,NSi,1,0,1,glass,-7.289618473,1.796686085,0.592018151,
O4,NP,1,1,0,cellulose,-13.29124317,0,,
O5,PSi,0,1,1,cellulose,-13.21495351,0,,
O6,N,1,0,0,cellulose,-12.59373775,0.339390155,,
O7,NPSi,1,1,1,glass,-13.33905135,0,0.45544557,
P1,NP,1,1,0,glass,-12.99879949,5.521631094,0.168326477,
P2,P,0,1,0,cellulose,-16.6444388,8.417954638,,sponge partially eaten
P3,Si,0,0,1,cellulose,-2.110739906,0,,
P4,PSi,0,1,1,glass,-4.668149182,0,0.127526233,
P5,P,0,1,0,cellulose,-25.45246241,7.656394631,,
P6,control,0,0,0,glass,-4.922881039,0.659491265,0.228807324,
P7,control,0,0,0,cellulose,-15.41836829,0.924086665,,
P8,N,1,0,0,glass,-5.254447271,0.71307395,0.454530193,
Q1,N,1,0,0,glass,-5.201360986,1.014922949,0.609661835,
Q2,N,1,0,0,glass,-3.932878167,0,0.136902661,
Q3,PSi,0,1,1,glass,-7.340316924,3.548210514,0.074912678,
Q4,control,0,0,0,glass,-10.57375881,0.330386961,1.239016429,
Q5,N,1,0,0,cellulose,-8.314172405,0,,
Q6,NPSi,1,1,1,cellulose,-14.60143507,0,,
Q7,PSi,0,1,1,glass,-11.1899893,2.874711343,0.371152553,
Q8,NSi,1,0,1,cellulose,-12.33597119,0,,
R1,Si,0,0,1,glass,-7.596812314,0,0.296470994,
R2,NSi,1,0,1,cellulose,-6.11101144,0,,
R3,NP,1,1,0,glass,-14.94587739,1.133286342,0.259818809,
R4,NP,1,1,0,cellulose,-14.961791,4.371270297,,
R5,P,0,1,0,glass,-14.28982606,6.975379026,0.013116492,
R6,NSi,1,0,1,glass,-11.93702063,2.323574529,0.319314183,
R7,control,0,0,0,cellulose,-15.17990117,0,,
R8,Si,0,0,1,glass,-8.75168405,2.529261573,0.345530247,
S1,PSi,0,1,1,glass,-14.90517517,7.406964607,0.227537342,
S2,N,1,0,0,cellulose,-9.586669236,0,,
S3,control,0,0,0,glass,-7.727803765,4.034280263,0.172561126,
S4,Si,0,0,1,glass,-10.05477629,5.039328321,1.058427414,
S5,NPSi,1,1,1,cellulose,-12.28081452,0,,
S6,Si,0,0,1,cellulose,-2.602214818,0,,
S7,NPSi,1,1,1,cellulose,-15.0499632,0,,
S8,NP,1,1,0,cellulose,-14.70486462,0,,
T1,N,1,0,0,glass,-4.288255707,0,0.472161506,
T2,NP,1,1,0,glass,-13.9479484,0,0.220137658,
T3,NPSi,1,1,1,glass,-13.19103218,0,0.123498221,
T4,NPSi,1,1,1,glass,-7.268367221,0,0.208293811,
T5,PSi,0,1,1,cellulose,-15.02410819,0,,
T6,control,0,0,0,cellulose,-8.197626508,0,,
T7,NPSi,1,1,1,glass,-12.08529205,0,0.221896641,
T8,Si,0,0,1,glass,-7.778756977,0,0.064468311,
