site.date,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla_mgL,chla_ug_cm2,notes
Mabton_fall_2018,A1,Si,0,0,1,cellulose,0,0,,,bit of a bubble during GPP incubation
Mabton_fall_2018,A2,P,0,1,0,cellulose,-20.03762732,0,,,
Mabton_fall_2018,A3,PSi,0,1,1,glass,-14.61933086,0,0.948836864,2.44578362,
Mabton_fall_2018,A4,NP,1,1,0,glass,-2.516086058,0,1.128550846,2.90902607,
Mabton_fall_2018,A5,P,0,1,0,cellulose,-11.21960577,0,,,
Mabton_fall_2018,A6,control,0,0,0,cellulose,-23.22284223,0,,,
Mabton_fall_2018,A7,Si,0,0,1,cellulose,0,0,,,
Mabton_fall_2018,A8,NPSi,1,1,1,cellulose,-13.58228075,0,,,
Mabton_fall_2018,B1,NSi,1,0,1,cellulose,0,4.541182364,,,
Mabton_fall_2018,B2,NPSi,1,1,1,cellulose,-8.555832787,0,,,
Mabton_fall_2018,B3,N,1,0,0,glass,-16.7860679,0,1.666269118,4.295083667,
Mabton_fall_2018,B4,N,1,0,0,cellulose,-23.73183913,0,,,
Mabton_fall_2018,B5,control,0,0,0,glass,-16.05939519,0,1.36088316,3.507900955,
Mabton_fall_2018,B6,N,1,0,0,cellulose,-23.80613114,0,,,
Mabton_fall_2018,B7,control,0,0,0,cellulose,-19.57728657,0,,,
Mabton_fall_2018,B8,PSi,0,1,1,glass,-13.04169733,0,0.896103358,2.309854306,
Mabton_fall_2018,C1,N,1,0,0,cellulose,-23.71403289,0,,,
Mabton_fall_2018,C2,P,0,1,0,glass,-16.70006907,0,0.779946,2.010439542,
Mabton_fall_2018,C3,NPSi,1,1,1,glass,-8.243516942,0,0.833516113,2.148525352,
Mabton_fall_2018,C4,control,0,0,0,cellulose,-18.32018837,0,,,
Mabton_fall_2018,C5,P,0,1,0,glass,,,1.203434471,3.102050973,accidentally dropped so no gpp or cr
Mabton_fall_2018,C6,NSi,1,0,1,cellulose,-0.430945344,0,,,
Mabton_fall_2018,C7,P,0,1,0,glass,-14.03015015,0,1.417828499,3.654686966,
Mabton_fall_2018,C8,NPSi,1,1,1,cellulose,-20.31313246,0,,,
Mabton_fall_2018,D1,NP,1,1,0,cellulose,-18.3146652,0.609974574,,,
Mabton_fall_2018,D2,NP,1,1,0,glass,-9.112976235,2.519925796,1.109729563,2.860511106,
Mabton_fall_2018,D3,PSi,0,1,1,cellulose,-17.04522823,0,,,
Mabton_fall_2018,D4,P,0,1,0,cellulose,-20.86478281,0,,,
Mabton_fall_2018,D5,N,1,0,0,glass,-24.27780303,2.241070505,1.185672145,3.056265646,
Mabton_fall_2018,D6,NP,1,1,0,cellulose,-16.29658652,0,,,
Mabton_fall_2018,D7,control,0,0,0,glass,-20.98056133,0,1.29220931,3.330882774,
Mabton_fall_2018,D8,Si,0,0,1,cellulose,-2.862413846,0.318595986,,,
Mabton_fall_2018,E1,NP,1,1,0,glass,-6.979514211,4.768203076,1.026863768,2.646910844,
Mabton_fall_2018,E2,NSi,1,0,1,cellulose,0,0,,,
Mabton_fall_2018,E3,Si,0,0,1,glass,-14.53479624,7.608285884,0.859423771,2.215306616,
