Site,stream,date,season,type,position,river_mile,Si_mgL,oP_mgL,NH4_mgNL,NO3_mgNL,doc.mg.l,tdn.mg.l,no_DOC_TDN
AC,ahtanum,7/18/2018,summer,trib,3,107,40.35596406,0.09,0.50285,0.471,5.619,1.18,
AC,ahtanum,7/30/2018,summer,trib,3,107,39.5555883,0.085,0.6788,0.53,4.217,0.342,
AC,ahtanum,11/3/2018,fall,trib,3,107,40.40847981,0.077,0.2564,0.3355,6.121,0.37,
AC,ahtanum,11/18/2018,fall,trib,3,107,39.29392411,0.0705,0.2516,0.532,3.419,0.23,
YAK,century,6/14/2018,summer,mainstem,4,107,13.0093411,0.028,0,0.094,NA,NA,*
YAK,century,6/28/2018,summer,mainstem,4,107,13.11465126,0.014,0,0.096,6.141,0.236,
YAK,century,7/10/2018,summer,mainstem,4,107,12.56774438,0.0315,1.0695,0.23,3.248,0.079,
YAK,century,11/18/2018,fall,mainstem,4,107,18.1212385,0.076,0.23705,0.549,4.589,0.119,
YAK,century,11/29/2018,fall,mainstem,4,107,15.99812318,0.0375,0.3726,0.386,6.034,0.074,
Mainstem,cleelum,6/15/2018,summer,mainstem,1,176,6.29863075,0.0045,0,0.03,1.124,0,
Mainstem3,cleelum,7/25/2018,summer,mainstem,1,176,6.17544325,0.0045,0,0.0045,1.36,0,
Cle Elum,cleelum,11/18/2018,fall,mainstem,1,176,7.706026,0.043,0.0531,0.023,5.351,0,
CleElum,cleelum,11/30/2018,fall,mainstem,1,176,10.58157728,0.0045,0,0.006,4.123,0,
YAK,kiona,6/12/2018,summer,mainstem,6,27,12.8479427,0.0205,0,0.355,5.307,0.924,
YAK,kiona,6/14/2018,summer,mainstem,6,27,19.37728663,0.046,0,1.814,4.047,0.213,
YAK,kiona,11/21/2018,fall,mainstem,6,27,23.21180807,0.0785,0.34415,1.547,5.781,0.633,
YAK,kiona,11/29/2018,fall,mainstem,6,27,23.83300866,0.0635,0.22575,1.733,2.625,0.354,
YAK,mabton,6/13/2018,summer,mainstem,5,61,15.08497789,0.0345,0.38745,0.471,6.071,0.32,
YAK,mabton,6/26/2018,summer,mainstem,5,61,19.3213127,0.0645,0.61045,1.4,11.16,1.38,
YAK,mabton,7/11/2018,summer,mainstem,5,61,19.7552214,0.0555,0.6124,1.421,11.27,1.212,
YAK,mabton,11/21/2018,fall,mainstem,5,61,23.58337665,0.0755,0.403,1.557,9.673,0,
YAK,mabton,11/29/2018,fall,mainstem,5,61,22.77018276,0.075,0.33615,1.362,NA,NA,*
Reecer,reecer,7/19/2018,summer,trib,1,153,24.19452422,0.084,0.0213,0.201,3.829,0.298,
Reecer,reecer,7/31/2018,summer,trib,1,153,24.48690477,0.0645,0.004,0.15,14.04,0.34,
Reecer,reecer,10/28/2018,fall,trib,1,153,34.26198641,0.339,0.0051,0.427,12.86,0.435,
Reecer,reecer,11/10/2018,fall,trib,1,153,36.57318671,0.026,0,0.347,15.36,0.376,
Mainstem,ringer,6/15/2018,summer,mainstem,2,149,10.97733168,0.0045,0,0.037,1.34,0,
Mainstem2,ringer,7/28/2018,summer,mainstem,2,149,8.58662425,0.009,0,0.077,1.729,0.009,
ringer,ringer,11/18/2018,fall,mainstem,2,149,12.07939077,0.0615,0,0.161,6.888,0.106,
ringer,ringer,11/30/2018,fall,mainstem,2,149,12.78931083,0.0095,0,0.225,6.472,0.123,
Mainstem1,roza,6/14/2018,summer,mainstem,3,130,12.6636017,0.0135,0,0.069,1.975,0,
Mainstem1,roza,7/26/2018,summer,mainstem,3,130,11.20669333,0.014,0.002,0.15,NA,NA,*
roza,roza,11/18/2018,fall,mainstem,3,130,16.71477383,0.027,0.0237,0.322,9.779,0.305,
roza,roza,11/30/2018,fall,mainstem,3,130,16.23748068,0.0145,0.0046,0.275,7.868,0.228,
SC,satus,7/19/2018,summer,trib,5,70,24.29822675,0.0735,0.57235,1.174,14.5,1.014,
SC,satus,8/2/2018,summer,trib,5,70,30.65008888,0.0795,0.4978,0.894,13.81,0.698,
SC,satus,11/3/2018,fall,trib,5,70,32.55583901,0.056,0.2781,0.264,13.94,0.291,
SC,satus,11/18/2018,fall,trib,5,70,28.41006708,0.0535,0.3208,0.338,9.552,0.259,
TC,toppenish,7/19/2018,summer,trib,4,86,18.24758353,0.068,0.4838,1.868,6.153,0.343,
TC,toppenish,8/1/2018,summer,trib,4,86,19.60697694,0.064,0.4115,2.066,6.928,1.538,
Wenas,wenas,7/19/2018,summer,trib,2,122,47.00522967,0.022,0.0274,0.027,6.151,0.186,
Wenas,wenas,7/31/2018,summer,trib,2,122,39.37797075,0.0675,0.02,0.046,6.549,0.338,
Wenas,wenas,10/28/2018,fall,trib,2,122,39.10541758,0.0215,0,0.096,14.34,0.177,
Wenas,wenas,11/10/2018,fall,trib,2,122,49.06942017,0.027,0.0004,0.158,20.42,0.21,
