stream,season,type,DOC_ave,TDN_ave,NO3,NH4,DIN,CRNRR.NO3,CRNRR.P,CRNRR.Si,GPPNRR.NO3,GPPNRR.P,GPPNRR.Si
ahtanum,fall,trib,4.77,0.3,0.43375,0.254,0.68775,,,,,,
ahtanum,summer,trib,4.918,0.761,0.5005,0.590825,1.091325,,,,,,
century,fall,mainstem,3.9185,0.099,0.4675,0.304825,0.772325,0.9,0.94,1.11,,3.77,17.7
century,summer,mainstem,6.0875,0.155,0.14,0.3565,0.4965,0.85,0.69,0.4,2.91,3.31,2.66
cleelum,fall,mainstem,4.737,0,0.0145,0.02655,0.04105,1.74,0.94,0.31,0.946,0.7,0.96
cleelum,summer,mainstem,1.242,0,0.03,0,0.03,2.69,1.03,0.59,1.48,0.743,0.621
kiona,fall,mainstem,4.203,0.4935,1.64,0.28495,1.92495,0.77,0.7,0.54,,,
kiona,summer,mainstem,4.677,0.5685,1.0845,0,1.0845,0.74,0.78,0.81,,,
mabton,fall,mainstem,9.673,0,1.4595,0.369575,1.829075,1.09,0.88,0.12,1.02,0.87,2.14
mabton,summer,mainstem,9.500333333,0.970666667,1.097333333,0.536766667,1.6341,0.79,1.34,0.38,0.27,2.19,1.17
reecer,fall,trib,14.11,0.4055,0.387,0.00255,0.38955,,,,,,
reecer,summer,trib,8.9345,0.319,0.1755,0.01265,0.18815,,,,,,
ringer,fall,mainstem,6.68,0.1145,0.193,0,0.193,1.17,0.9,0.63,0.883,0.867,0.786
ringer,summer,mainstem,1.5345,0.0045,0.037,0,0.037,1.74,1.02,0.67,1.14,0.7,0.59
roza,fall,mainstem,8.8235,0.2665,0.2985,0.01415,0.31265,1.41,1,0.68,1.25,1,0.8
roza,summer,mainstem,1.975,0,0.15,0.002,0.152,1.3,0.71,0.756,0.93,0.81,0.78
satus,fall,trib,11.746,0.275,0.301,0.29945,0.60045,,,,,,
satus,summer,trib,14.155,0.856,1.034,0.535075,1.569075,,,,,,
toppenish,summer,trib,6.5405,0.9405,1.967,0.44765,2.41465,,,,,,
wenas,fall,trib,17.38,0.1935,0.127,2.00E-04,0.1272,,,,,,
wenas,summer,trib,6.35,0.262,0.0365,0.0237,0.0602,,,,,,
