id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr,chla.nrr
52,AA4,NP,1,1,0,sponge,-7.461530463,0.634846571,NA,0.746729005849502,NA,NA
56,AA8,NPSi,1,1,1,sponge,-12.62745485,2.82439804,NA,1.26372020503134,NA,NA
57,BB1,PSi,0,1,1,sponge,-13.36544405,4.3468507,NA,1.33757609081461,NA,NA
60,BB4,P,0,1,0,sponge,-12.12533971,3.729918271,NA,1.21346993249363,NA,NA
66,CC2,PSi,0,1,1,sponge,-8.60682614,0,NA,0.861346979538788,NA,NA
68,CC4,N,1,0,0,sponge,-15.48919335,4.730555549,NA,1.5501149541653,NA,NA
69,CC5,N,1,0,0,sponge,-10.03743056,1.459107038,NA,1.0045178506634,NA,NA
71,CC7,NP,1,1,0,sponge,-8.568161156,2.644319912,NA,0.857477496567878,NA,NA
73,DD1,Si,0,0,1,sponge,-8.800151062,2.746298066,NA,0.880694394593494,NA,NA
75,DD3,N,1,0,0,sponge,-2.043751223,2.521518792,NA,0.204532880556102,NA,NA
79,DD7,PSi,0,1,1,sponge,-9.125916676,1.608239497,NA,0.913296102016446,NA,NA
80,DD8,P,0,1,0,sponge,-10.74249792,2.018253855,NA,1.07507901119212,NA,NA
1,U1,NP,1,1,0,sponge,-6.030489808,0.753796064,NA,0.60351447755168,NA,NA
4,U4,NPSi,1,1,1,sponge,-6.770668996,1.623141644,NA,0.677589531181296,NA,NA
5,U5,NPSi,1,1,1,sponge,-8.756652955,3.325582384,NA,0.87634122625122,NA,NA
6,U6,P,0,1,0,sponge,-8.320705256,0.94027506,NA,0.832712805313867,NA,NA
7,U7,NSi,1,0,1,sponge,-0.381495142,0,NA,0.0381789620151919,NA,NA
8,U8,Si,0,0,1,sponge,-10.02196457,2.778894,NA,1.00297005783531,NA,NA
10,V2,Si,0,0,1,sponge,-1.326639204,0.025760667,NA,0.132766324393668,NA,NA
11,V3,C,0,0,0,sponge,-7.427544119,3.204437382,NA,0.743327748025329,NA,NA
12,V4,PSi,0,1,1,sponge,-7.047798737,2.217810857,NA,0.705323897075053,NA,NA
13,V5,NSi,1,0,1,sponge,-4.617428294,1.951768564,NA,0.462099251173423,NA,NA
16,V8,Si,0,0,1,sponge,-5.153158774,0,NA,0.515713652497308,NA,NA
