id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr
1,K1,C,0,0,0,glass,,,,,
2,K2,C,0,0,0,glass,0,1.761277252,0.006286168,,
3,K3,P,0,1,0,sponge,,,,,
4,K4,Si,0,0,1,glass,0,2.850266175,0.010040259,,
5,K5,P,0,1,0,sponge,-3.81310032,2.324119355,0,,
6,K6,N+P+Si,1,1,1,glass,-0.291676479,1.854954865,0.005114832,,
7,K7,N+P+Si,1,1,1,glass,-1.938056456,3.000964457,0.006220892,,
8,K8,N+P+Si,1,1,1,glass,-1.114866468,2.728181892,0.005990808,,
9,L1,C,0,0,0,sponge,-10.30715468,3.22807088,0,,
10,L2,N,1,0,0,glass,-3.035643108,4.263878166,0.01351346,,
11,L3,C,0,0,0,sponge,-10.57277065,5.184997275,0,,
12,L4,N,1,0,0,glass,-0.909617764,3.784913846,0.012810779,,
13,L5,N,1,0,0,sponge,-14.3835915,6.79124876,0,,
14,L6,N+P+Si,1,1,1,sponge,-13.11972047,2.921402487,0,,
15,L7,P+Si,0,1,1,sponge,-8.327108356,3.291571515,0,,
16,L8,C,0,0,0,sponge,-11.79767735,4.466440781,0,,
17,M1,N+P,1,1,0,sponge,,,,,
18,M2,N,1,0,0,sponge,-12.06987884,0.192173425,0,,
19,M3,C,0,0,0,glass,-2.270625212,3.995451751,0.009830841,,
20,M4,P+Si,0,1,1,glass,-1.113768881,3.081632464,0.009269802,,
21,M5,N+P,1,1,0,glass,0,1.248146128,0.002030151,,
22,M6,C,0,0,0,glass,-1.112688716,3.46941157,0.002305266,,
23,M7,P+Si,0,1,1,glass,,,,,
24,M8,N+Si,1,0,1,glass,-0.093013295,1.841456993,0.001110623,,
25,N1,Si,0,0,1,glass,-0.775137266,3.436686243,0.008029845,,
26,N2,N+P,1,1,0,glass,-0.841567391,2.983926111,0.008061779,,
27,N3,N+P,1,1,0,glass,-0.370075525,2.034552416,0.004323883,,
28,N4,N,1,0,0,sponge,-15.15482905,4.298802033,0,,
29,N5,P,0,1,0,glass,-3.205507709,2.289422725,0.006864107,,
30,N6,N+P+Si,1,1,1,sponge,-12.65694832,1.36014873,0,,
31,N7,N+Si,1,0,1,glass,-0.437585816,1.511613158,0.005050014,,
32,N8,N+P,1,1,0,sponge,,,,,
33,O1,N+P,1,1,0,sponge,-3.408038579,2.639035002,0,,
34,O2,N+Si,1,0,1,sponge,-1.990322487,4.009493891,0,,
35,O3,N,1,0,0,glass,-15.77996371,0,0,,
36,O4,Si,0,0,1,sponge,-14.50736816,3.923386718,0,,
37,O5,P+Si,0,1,1,glass,-4.125667647,2.553291618,0.00971205,,
38,O6,N+P,1,1,0,sponge,-11.96217707,5.249992755,0,,
39,O7,N+P,1,1,0,glass,-2.040955205,2.942141285,0.011711302,,
40,O8,P,0,1,0,sponge,-12.60737045,3.475919173,0,,
41,P1,N+P+Si,1,1,1,glass,-12.93964766,1.798466977,0,,
42,P2,N,1,0,0,glass,-9.749786454,5.479076061,0,,
