id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr,chla.nrr,site.date,gpp.es,cr.es,chla.es
3,K3,P,0,1,0,sponge,NA,NA,NA,NA,NA,NA,ring_fall,NA,NA,NA
5,K5,P,0,1,0,sponge,-3.81310032,2.324119355,0,0.334552446757287,NA,NA,ring_fall,NA,-1.09496162020275,NA
9,L1,C,0,0,0,sponge,-10.30715468,3.22807088,0,0.904325490523632,NA,NA,ring_fall,NA,-0.100565927505553,NA
11,L3,C,0,0,0,sponge,-10.57277065,5.184997275,0,0.927630010521499,NA,NA,ring_fall,NA,-0.0751223212548723,NA
13,L5,N,1,0,0,sponge,-14.3835915,6.79124876,0,1.26198246194643,NA,NA,ring_fall,NA,0.2326838669911,NA
14,L6,N+P+Si,1,1,1,sponge,-13.11972047,2.921402487,0,1.15109339268844,NA,NA,ring_fall,NA,0.140712266924522,NA
15,L7,P+Si,0,1,1,sponge,-8.327108356,3.291571515,0,0.730600886711747,NA,NA,ring_fall,NA,-0.313887950945607,NA
16,L8,C,0,0,0,sponge,-11.79767735,4.466440781,0,1.03510044117998,NA,NA,ring_fall,NA,0.0344984666271464,NA
17,M1,N+P,1,1,0,sponge,NA,NA,NA,NA,NA,NA,ring_fall,NA,NA,NA
18,M2,N,1,0,0,sponge,-12.06987884,0.192173425,0,1.05898275920157,NA,NA,ring_fall,NA,0.0573087862238299,NA
28,N4,N,1,0,0,sponge,-15.15482905,4.298802033,0,1.32964902923559,NA,NA,ring_fall,NA,0.284915019616361,NA
30,N6,N+P+Si,1,1,1,sponge,-12.65694832,1.36014873,0,1.11049085352586,NA,NA,ring_fall,NA,0.104802127961704,NA
32,N8,N+P,1,1,0,sponge,NA,NA,NA,NA,NA,NA,ring_fall,NA,NA,NA
33,O1,N+P,1,1,0,sponge,-3.408038579,2.639035002,0,0.299013283040945,NA,NA,ring_fall,NA,-1.2072672816921,NA
34,O2,N+Si,1,0,1,sponge,-1.990322487,4.009493891,0,0.174626210165354,NA,NA,ring_fall,NA,-1.74510753134826,NA
36,O4,Si,0,0,1,sponge,-14.50736816,3.923386718,0,1.2728423347479,NA,NA,ring_fall,NA,0.241252458603872,NA
38,O6,N+P,1,1,0,sponge,-11.96217707,5.249992755,0,1.04953325941144,NA,NA,ring_fall,NA,0.0483455504971745,NA
