id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr,chla.nrr,site.date,gpp.es,cr.es,chla.es
3,K3,P+Si,0,1,1,sponge,-7.213210858,2.1079188,0,0.954818137546182,NA,NA,ring_summer,NA,-0.0462343885246754,NA
4,K4,P+Si,0,1,1,sponge,-7.758973699,2.169783503,0,1.02706117461304,NA,NA,ring_summer,NA,0.0267014954947526,NA
6,K6,N+P,1,1,0,sponge,-19.3294589,1.829609595,0,2.55865498874253,NA,NA,ring_summer,NA,0.939481725400694,NA
7,K7,P+Si,0,1,1,sponge,-8.52028444,4.008118502,0,1.12783644905401,NA,NA,ring_summer,NA,0.120301150590116,NA
9,L1,N+P,1,1,0,sponge,-12.72135335,0.94590797,0,1.6839350951792,NA,NA,ring_summer,NA,0.521133373022266,NA
10,L2,N,1,0,0,sponge,-13.15918999,1.877686378,0,1.74189185997981,NA,NA,ring_summer,NA,0.554971798420613,NA
11,L3,C,0,0,0,sponge,-7.197810032,4.182505889,0,0.952779518644354,NA,NA,ring_summer,NA,-0.0483717571372919,NA
12,L4,N+P+Si,1,1,1,sponge,-14.93083298,1.987108217,0,1.97640557286156,NA,NA,ring_summer,NA,0.681279827688761,NA
16,L8,N+Si,1,0,1,sponge,-3.571022978,1.854747482,0,0.472698993015987,NA,NA,ring_summer,NA,-0.749296471466606,NA
17,M1,C,0,0,0,sponge,-7.223558633,6.422407801,0,0.956187880292894,NA,NA,ring_summer,NA,-0.0448008577367085,NA
22,M6,N+P,1,1,0,sponge,-14.63568426,3.200706826,0,1.9373365151732,NA,NA,ring_summer,NA,0.661314099419787,NA
25,N1,C,0,0,0,sponge,-8.88246294,3.660774736,0,1.17577828905245,NA,NA,ring_summer,NA,0.161930301985169,NA
27,N3,N,1,0,0,sponge,-12.11159076,4.668715662,0,1.60322036328094,NA,NA,ring_summer,NA,0.472014333475034,NA
30,N6,P+Si,0,1,1,sponge,-8.890142369,5.464298604,0,1.17679482083553,NA,NA,ring_summer,NA,0.1627944892379,NA
32,N8,N+Si,1,0,1,sponge,-6.612305636,4.634136773,0,0.875275862100917,NA,NA,ring_summer,NA,-0.133216171339496,NA
33,O1,P,0,1,0,sponge,-8.214956389,6.367152224,0,1.08741994567769,NA,NA,ring_summer,NA,0.0838078681011806,NA
36,O4,N+P,1,1,0,sponge,-16.54254923,1.869560247,0,2.18974966308335,NA,NA,ring_summer,NA,0.783787228200264,NA
37,O5,N+P+Si,1,1,1,sponge,-17.08122404,3.065720091,0,2.26105445216445,NA,NA,ring_summer,NA,0.815831276227621,NA
39,O7,N+Si,1,0,1,sponge,-4.937106322,5.780892089,0,0.653528471029139,NA,NA,ring_summer,NA,-0.425369179875078,NA
40,O8,N+P,1,1,0,sponge,-16.25388571,2.439993791,0,2.1515390561886,NA,NA,ring_summer,NA,0.766183426135985,NA
46,P6,Si,0,0,1,sponge,-6.270876645,3.61755334,0,0.830080650189244,NA,NA,ring_summer,NA,-0.186232414009382,NA
47,P7,P,0,1,0,sponge,-6.823233564,3.71108354,0,0.903196550312335,NA,NA,ring_summer,NA,-0.101815085560162,NA
