id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr
5,A5,C,0,0,0,sponge,-10.41981482,5.464938697,0,,
16,B8,C,0,0,0,glass,-2.972185216,5.07493871,0.31312905,,
20,C4,C,0,0,0,sponge,-9.846672269,4.401032395,0,,
23,C7,C,0,0,0,sponge,-10.10802288,6.208982377,0,,
33,E1,C,0,0,0,glass,-3.302985638,3.560803106,0.260622113,,
41,F1,C,0,0,0,glass,-2.310584373,2.137218253,0.054318025,,
45,F5,C,0,0,0,sponge,-9.304650426,4.314953303,0,,
70,I6,C,0,0,0,sponge,-11.54366412,4.536081621,0,,
71,I7,C,0,0,0,glass,-5.335045369,4.808450723,0.277323668,,
76,J4,C,0,0,0,glass,-5.137224519,4.375138096,0.16848903,,
79,J7,C,0,0,0,glass,,,,,
15,B7,N,1,0,0,glass,-3.278578071,5.830839275,0.275724574,,
18,C2,N,1,0,0,sponge,-15.68437284,4.954038131,0,,
29,D5,N,1,0,0,glass,-3.870072074,5.056842031,0.500131466,,
32,D8,N,1,0,0,glass,-3.066699622,4.482821302,0.440186289,,
37,E5,N,1,0,0,glass,-2.483772782,4.516612369,0.263227676,,
46,F6,N,1,0,0,sponge,-14.40842836,5.880176578,0,,
53,G5,N,1,0,0,sponge,-12.88017847,6.339634373,0,,
56,G8,N,1,0,0,sponge,-16.05201786,6.144386189,0,,
66,I2,N,1,0,0,glass,-5.772512049,5.042979844,0.239078805,,
74,J2,N,1,0,0,sponge,-13.3524743,3.205663318,0,,
17,C1,N+P,1,1,0,glass,-1.979783952,2.188284975,0.052574631,,
27,D3,N+P,1,1,0,sponge,-14.08028283,1.187665397,0,,
28,D4,N+P,1,1,0,glass,-3.909409076,3.932023678,0.206416252,,
42,F2,N+P,1,1,0,glass,-4.489115325,4.351340404,0.282732638,,
44,F4,N+P,1,1,0,sponge,-13.18339633,3.1156769,0,,
52,G4,N+P,1,1,0,sponge,,,,,
54,G6,N+P,1,1,0,sponge,-13.26464385,5.922276719,0,,
61,H5,N+P,1,1,0,glass,-3.845242019,3.77228359,0.102325353,,
63,H7,N+P,1,1,0,glass,-4.465083222,3.126861829,0.091721594,,
72,I8,N+P,1,1,0,sponge,-14.77019039,3.982031654,0,,
7,A7,N+P+Si,1,1,1,sponge,-13.36346009,4.993519943,0,,
12,B4,N+P+Si,1,1,1,sponge,-12.70083289,5.393636138,0,,
13,B5,N+P+Si,1,1,1,glass,-3.196590929,4.094582891,0.225923029,,
14,B6,N+P+Si,1,1,1,sponge,-11.19493855,4.978594498,0,,
21,C5,N+P+Si,1,1,1,glass,-3.549193055,4.326774467,0.235061102,,
