id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr
1,A1,N+P+Si,1,1,1,sponge,-11.86204362,3.550335206,0,,
2,A2,N+Si,1,0,1,glass,-3.620641796,3.680743034,4.215328068,,
3,A3,N+P,1,1,0,glass,,,,,
4,A4,N+Si,1,0,1,sponge,-8.315695744,4.290363329,0,,
5,A5,N+P,1,1,0,sponge,-11.54923192,2.479210254,0,,
6,A6,Si,0,0,1,glass,-2.940610044,3.36421386,2.077172518,,
7,A7,Si,0,0,1,sponge,-6.965337204,4.32449316,0,,
8,A8,N+P,1,1,0,sponge,-13.96292256,3.419524176,0,,
9,B1,P,0,1,0,sponge,-7.343917768,3.543124195,0,,
10,B2,N+P+Si,1,1,1,sponge,-13.02881893,2.052874239,0,,
11,B3,P,0,1,0,glass,-3.264264254,3.970509329,1.550634385,,
12,B4,P+Si,0,1,1,sponge,-9.112128327,4.436940746,0,,
13,B5,N+P+Si,1,1,1,glass,-5.675240832,4.987694514,0.474874195,,
14,B6,C,0,0,0,glass,-3.595880282,5.51683857,2.14475157,,
15,B7,P,0,1,0,glass,-4.346090687,3.574762369,2.083342546,,
16,B8,P+Si,0,1,1,sponge,-6.568565842,4.09329448,0,,
17,C1,Si,0,0,1,sponge,-5.779321832,3.831813395,0,,
18,C2,C,0,0,0,glass,-4.450738363,3.659089222,1.686195758,,
19,C3,N+Si,1,0,1,glass,-2.886797344,3.603432565,3.52894052,,
20,C4,C,0,0,0,glass,-2.619576515,3.454423535,1.796404904,,
21,C5,N+Si,1,0,1,glass,-2.686376171,4.394540209,2.007507666,,
22,C6,P+Si,0,1,1,glass,-4.414206376,3.650338566,1.549095239,,
23,C7,P,0,1,0,sponge,-6.415687917,2.133277872,0,,
24,C8,N+P,1,1,0,glass,-3.302679787,1.007620156,1.747087252,,
25,D1,C,0,0,0,glass,-3.031265696,3.462139851,1.84701526,,
26,D2,Si,0,0,1,sponge,-5.705524881,1.337912449,0,,
27,D3,N+P+Si,1,1,1,sponge,-14.76961137,3.417851958,0,,
28,D4,N,1,0,0,glass,-4.156023255,3.855381801,2.297868619,,
29,D5,N,1,0,0,glass,-4.296236934,3.09730209,1.66198837,,
30,D6,P,0,1,0,sponge,-5.542061441,3.15027563,0,,
31,D7,P+Si,0,1,1,sponge,-6.531822638,3.019274781,0,,
32,D8,N+P+Si,1,1,1,glass,-4.091955581,3.173303568,1.37574973,,
33,E1,N+P+Si,1,1,1,glass,-6.003482896,4.860960876,1.81695822,,
34,E2,N,1,0,0,glass,-3.91383599,3.599741945,1.757168996,,
35,E3,N,1,0,0,sponge,-14.00650161,7.103120445,0,,
36,E4,N+P,1,1,0,sponge,-16.87433873,8.449964145,0,,
37,E5,Si,0,0,1,sponge,-9.486012588,6.424064755,0,,
38,E6,N+Si,1,0,1,sponge,-9.30471254,6.208340047,0,,
39,E7,P+Si,0,1,1,glass,-9.451372825,6.059973204,2.150520568,,
40,E8,N+P+Si,1,1,1,glass,-9.416332603,5.260795145,2.229639856,,
41,F1,N+P,1,1,0,glass,-5.028826236,4.229171922,1.112618447,,
42,F2,P+Si,0,1,1,sponge,-10.58863328,6.81912206,0,,
43,F3,N,1,0,0,sponge,-15.56336833,6.349062531,0,,
44,F4,C,0,0,0,sponge,-9.008516277,6.714123755,0,,
45,F5,N+P+Si,1,1,1,sponge,-14.9093339,3.65313822,0,,
46,F6,P,0,1,0,glass,-4.728562446,4.410072381,1.992553079,,
47,F7,N+Si,1,0,1,sponge,-5.741216797,5.314710268,0,,
48,F8,P+Si,0,1,1,sponge,-10.45005953,5.045566396,0,,
49,G1,C,0,0,0,sponge,-9.261715749,6.647621066,0,,
50,G2,C,0,0,0,glass,-4.957324724,3.525316972,1.744064969,,
51,G3,Si,0,0,1,glass,-4.532475739,4.594152996,1.952228342,,
52,G4,P,0,1,0,sponge,-8.398974172,3.410037851,0,,
53,G5,P+Si,0,1,1,glass,-5.511988676,1.996665547,1.85782289,,
54,G6,Si,0,0,1,glass,-5.762210851,2.020655556,2.114056019,,
55,G7,N+P,1,1,0,glass,-3.324430742,1.491202057,1.983087441,,
56,G8,N+Si,1,0,1,glass,-1.214403343,1.041435459,1.547240198,,
57,H1,N+P+Si,1,1,1,glass,-5.536810641,3.192596426,2.239136859,,
58,H2,N+P,1,1,0,glass,-3.687504375,2.573431507,1.864425312,,
59,H3,C,0,0,0,glass,-4.517386965,4.738148325,1.586576923,,
60,H4,Si,0,0,1,glass,-3.894975022,2.628358847,1.734507476,,
61,H5,C,0,0,0,sponge,-9.289211859,4.997247245,0,,
62,H6,N,1,0,0,sponge,-10.19037271,3.538429479,0,,
63,H7,C,0,0,0,sponge,-9.02987355,4.945379584,0,,
64,H8,P+Si,0,1,1,glass,-5.754573894,4.656411799,1.719622341,,
65,I1,N,1,0,0,glass,-2.963918474,3.132729958,0.862808509,,
66,I2,N+Si,1,0,1,glass,-1.861250403,0.774769785,0.87946131,,
67,I3,N+P,1,1,0,sponge,-11.20767501,3.997685729,0,,
68,I4,N,1,0,0,sponge,-11.75594876,3.726075477,0,,
69,I5,N+Si,1,0,1,sponge,-4.502113052,2.499879861,0,,
70,I6,Si,0,0,1,sponge,-9.198841209,2.873633191,0,,
71,I7,N+P+Si,1,1,1,sponge,-12.0900656,3.854761052,0,,
72,I8,N+Si,1,0,1,sponge,-0.535987053,0.527439753,0,,
73,J1,C,0,0,0,sponge,-12.5050069,6.808667276,0,,
74,J2,N,1,0,0,glass,-4.032440237,5.138417293,1.936480658,,
75,J3,N+P,1,1,0,sponge,-14.16477208,4.891042033,0,,
76,J4,P+Si,0,1,1,glass,-4.815228263,3.899202016,1.318422692,,
77,J5,P,0,1,0,glass,-2.911410471,2.502001223,1.183470705,,
78,J6,N,1,0,0,sponge,-12.48655092,4.174842508,0,,
79,J7,P,0,1,0,sponge,-7.372335815,3.32632184,0,,
80,J8,P,0,1,0,glass,-2.494548151,2.036735966,0.658005717,,
