site.date,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla_mgL,chla_ug_cm2,notes
Toppenish_summer_2018,K1,Si,0,0,1,glass,-13.18238791,8.393443476,0.509926329,1.314419569,
Toppenish_summer_2018,K2,control,0,0,0,cellulose,-13.44060238,1.423534687,,,
Toppenish_summer_2018,K3,N,1,0,0,cellulose,-15.55488418,2.066802799,,,very thin
Toppenish_summer_2018,K4,control,0,0,0,cellulose,-19.19341565,6.848448414,,,
Toppenish_summer_2018,K5,control,0,0,0,glass,-10.06306865,6.104597687,1.462655018,3.770235556,thick growth
Toppenish_summer_2018,K6,PSi,0,1,1,cellulose,-20.4718186,3.849838492,,,
Toppenish_summer_2018,K7,NSi,1,0,1,cellulose,-21.01268139,0.478816724,,,thin
Toppenish_summer_2018,K8,control,0,0,0,cellulose,-18.75089156,2.064954328,,,
Toppenish_summer_2018,L1,control,0,0,0,cellulose,-22.41501409,9.566503878,,,
Toppenish_summer_2018,L2,PSi,0,1,1,cellulose,-20.89376018,20.41952022,,,
Toppenish_summer_2018,L3,P,0,1,0,cellulose,-20.49470778,17.21512977,,,
Toppenish_summer_2018,L4,PSi,0,1,1,glass,-13.60167437,8.30578903,0.995299807,2.565550097,
Toppenish_summer_2018,L5,PSi,0,1,1,cellulose,-20.57447039,1.145901503,,,
Toppenish_summer_2018,L6,NSi,1,0,1,glass,-17.14912786,8.103244466,1.512825911,3.899559342,
Toppenish_summer_2018,L7,NP,1,1,0,cellulose,-22.34054463,0,,,
Toppenish_summer_2018,L8,N,1,0,0,glass,-11.86919614,6.454650384,1.589333164,4.096769458,
Toppenish_summer_2018,M1,NP,1,1,0,cellulose,-17.16342416,0,,,
Toppenish_summer_2018,M2,Si,0,0,1,cellulose,-16.05011075,0,,,LOTS of growth
Toppenish_summer_2018,M3,NSi,1,0,1,glass,-13.41660306,6.636082667,0.409723711,1.056130725,
Toppenish_summer_2018,M4,NP,1,1,0,cellulose,-19.51375246,0,,,
Toppenish_summer_2018,M5,control,0,0,0,glass,-12.87367392,2.491947688,0.675473961,1.741146006,
Toppenish_summer_2018,M6,NP,1,1,0,glass,-12.58646904,0,0.25180633,0.64907252,
Toppenish_summer_2018,M7,Si,0,0,1,cellulose,-15.07711218,0,,,
Toppenish_summer_2018,M8,NP,1,1,0,glass,-14.47109762,0,0.240354557,0.619553678,
Toppenish_summer_2018,N1,N,1,0,0,cellulose,-26.39009997,0,,,very thin
Toppenish_summer_2018,N2,NP,1,1,0,glass,-17.43427869,2.541441355,1.106112792,2.851188918,
Toppenish_summer_2018,N3,P,0,1,0,cellulose,-18.2541627,12.78950163,,,
Toppenish_summer_2018,N4,N,1,0,0,glass,-10.26029365,7.22600303,1.550650836,3.99705935,
Toppenish_summer_2018,N5,Si,0,0,1,glass,-11.2568875,5.554791313,0.838599747,2.161629738,
Toppenish_summer_2018,N6,NP,1,1,0,cellulose,-20.63959037,0,,,
Toppenish_summer_2018,N7,Si,0,0,1,glass,-15.74076829,5.031419517,0.581409135,1.498678338,
Toppenish_summer_2018,N8,P,0,1,0,glass,-10.79290769,5.276045009,0.312125296,0.804554645,
Toppenish_summer_2018,O1,N,1,0,0,cellulose,-21.47994099,2.065467038,,,
Toppenish_summer_2018,O2,NPSi,1,1,1,glass,-21.01026817,4.849852708,1.236172562,3.186439516,
Toppenish_summer_2018,O3,N,1,0,0,glass,-17.0893275,3.006264767,1.443403433,3.720611408,
Toppenish_summer_2018,O4,NSi,1,0,1,cellulose,-27.48131585,0.039773329,,,
Toppenish_summer_2018,O5,PSi,0,1,1,cellulose,-26.21803599,0,,,
Toppenish_summer_2018,O6,NPSi,1,1,1,cellulose,-28.50021311,0,,,
Toppenish_summer_2018,O7,NSi,1,0,1,glass,-17.60800411,9.240070108,1.60439051,4.135582262,
Toppenish_summer_2018,O8,control,0,0,0,glass,-17.03745983,3.018489657,1.064555923,2.744069206,
Toppenish_summer_2018,P1,Si,0,0,1,cellulose,-13.13020204,0,,,sparse growth
Toppenish_summer_2018,P2,NPSi,1,1,1,glass,-13.56232649,0,0.457224817,1.178572691,sparse growth
Toppenish_summer_2018,P3,N,1,0,0,glass,-13.44331725,0.554554308,0.191572145,0.493808932,sparse growth
Toppenish_summer_2018,P4,PSi,0,1,1,cellulose,-18.99370313,2.616003676,,,sparse growth
Toppenish_summer_2018,P5,NP,1,1,0,glass,-18.20608308,3.127956709,0.399367686,1.029436356,sparse growth
Toppenish_summer_2018,P6,control,0,0,0,glass,-14.01498972,0,0.050967593,0.131377413,sparse growth
Toppenish_summer_2018,P7,P,0,1,0,glass,-11.52938358,2.775382915,0.531452592,1.369907077,sparse growth
Toppenish_summer_2018,P8,P,0,1,0,cellulose,-21.47180812,3.210770134,,,
Toppenish_summer_2018,Q1,N,1,0,0,cellulose,-20.86421551,2.047210428,,,
Toppenish_summer_2018,Q2,Si,0,0,1,cellulose,-22.24510781,7.709049356,,,
Toppenish_summer_2018,Q3,NSi,1,0,1,cellulose,-21.21665486,0,,,sparse growth
Toppenish_summer_2018,Q4,NSi,1,0,1,cellulose,-21.85845797,5.341134956,,,
Toppenish_summer_2018,Q5,NP,1,1,0,glass,-19.50642834,0,0.21683835,0.558936761,sparse growth
Toppenish_summer_2018,Q6,NPSi,1,1,1,glass,-18.01885059,2.440534347,0.195104135,0.502913221,sparse growth
Toppenish_summer_2018,Q7,control,0,0,0,cellulose,-21.78730691,5.877576506,,,very thing
Toppenish_summer_2018,Q8,Si,0,0,1,glass,-14.49321452,3.428901561,0.698852599,1.801408318,
Toppenish_summer_2018,R1,PSi,0,1,1,glass,-18.32337369,6.114434643,0.513450321,1.323503241,
Toppenish_summer_2018,R2,NP,1,1,0,cellulose,-23.12021446,3.714242941,,,sparse growth
Toppenish_summer_2018,R3,N,1,0,0,cellulose,-23.38420678,0.850113307,,,very thin
Toppenish_summer_2018,R4,NPSi,1,1,1,cellulose,-32.65972419,7.512178401,,,
Toppenish_summer_2018,R5,PSi,0,1,1,glass,-13.20607755,5.708921201,0.267890641,0.690532496,sparse growth
Toppenish_summer_2018,R6,NSi,1,0,1,glass,-18.20156252,4.068580214,0.92827518,2.392783018,
Toppenish_summer_2018,R7,PSi,0,1,1,glass,-15.0469095,0.532234394,0.592694546,1.527768356,
Toppenish_summer_2018,R8,NPSi,1,1,1,glass,-19.30598757,0,0.597792577,1.540909375,
Toppenish_summer_2018,S1,P,0,1,0,cellulose,-23.60390583,16.77761415,,,
Toppenish_summer_2018,S2,NPSi,1,1,1,cellulose,,,,,
Toppenish_summer_2018,S3,NPSi,1,1,1,glass,-18.53956106,2.770752492,1.230617037,3.172119228,
Toppenish_summer_2018,S4,PSi,0,1,1,glass,-15.77923967,0.610234057,1.485282078,3.82856055,
Toppenish_summer_2018,S5,P,0,1,0,glass,-17.8072309,4.328579089,1.297185952,3.343711632,
Toppenish_summer_2018,S6,Si,0,0,1,cellulose,-30.23239729,8.192921394,,,
Toppenish_summer_2018,S7,NPSi,1,1,1,cellulose,-39.13206679,15.25115759,,,very thin
Toppenish_summer_2018,S8,NPSi,1,1,1,cellulose,-42.9,,,,eaten completely
Toppenish_summer_2018,T1,NSi,1,0,1,glass,-19.40006942,2.486182467,2.038767685,5.255261371,
Toppenish_summer_2018,T2,N,1,0,0,glass,-14.39641456,0.372487337,1.241739286,3.200788668,
Toppenish_summer_2018,T3,P,0,1,0,cellulose,-26.92595948,3.577822576,,,
