site.date,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,nrr.gpp,nrr.cr
Satus_fall_2018,U1,control,0,0,0,glass,-8.999537896,4.230655688,0,0.973638886127221,NA
Satus_fall_2018,W1,control,0,0,0,sponge,-15.73584392,0,0,NA,0.919300114504709
Satus_fall_2018,X8,control,0,0,0,sponge,-16.13875107,0,0,NA,0.942838260346318
Satus_fall_2018,Y2,control,0,0,0,glass,-15.00087602,0,0,0,NA
Satus_fall_2018,Y5,control,0,0,0,sponge,-16.26268242,0,0,NA,0.950078425209731
Satus_fall_2018,Z7,control,0,0,0,glass,-16.25801925,7.842842934,NA,1.80494406103286,NA
Satus_fall_2018,AB1,control,0,0,0,glass,-16.87522696,6.08374153,0,1.4001062160545,NA
Satus_fall_2018,AB3,control,0,0,0,glass,-17.54684117,3.568761159,0,0.821311138497653,NA
Satus_fall_2018,AC3,control,0,0,0,sponge,-18.44095745,0,0,NA,1.07733492919403
Satus_fall_2018,AD2,control,0,0,0,sponge,-19.0079384,0,NA,NA,1.11045839272778
Satus_fall_2018,V5,N,1,0,0,glass,-11.21725092,6.05782141,0,1.39414098545521,NA
Satus_fall_2018,W4,N,1,0,0,glass,-14.72497109,1.42199398,0,0.327256278192028,NA
Satus_fall_2018,W8,N,1,0,0,glass,-13.81182382,6.260630938,0,1.44081536822241,NA
Satus_fall_2018,Z1,N,1,0,0,sponge,-16.01678905,0,0,NA,0.935713145257402
Satus_fall_2018,AA1,N,1,0,0,sponge,-17.42369693,0,NA,NA,1.01790578657724
Satus_fall_2018,AC2,N,1,0,0,glass,-18.14475236,5.465718004,0,1.257874897358,NA
Satus_fall_2018,AC6,N,1,0,0,sponge,-18.60500297,0,NA,NA,1.0869185947468
Satus_fall_2018,AC7,N,1,0,0,sponge,-18.80593911,0,NA,NA,1.09865743871661
Satus_fall_2018,AD5,N,1,0,0,sponge,-18.87291782,0.167953531,NA,NA,1.10257038651181
Satus_fall_2018,AD8,N,1,0,0,glass,-19.49280988,2.591841168,NA,0.596483744821872,NA
Satus_fall_2018,W2,NP,1,1,0,glass,-15.95733208,7.374580247,0,1.6971785526558,NA
Satus_fall_2018,W3,NP,1,1,0,sponge,-16.64076908,0,0,NA,0.972166538919917
Satus_fall_2018,W6,NP,1,1,0,glass,-13.29254597,2.172764529,0,0.500037864540182,NA
Satus_fall_2018,X3,NP,1,1,0,sponge,-16.22785034,1.920657664,0,NA,0.948043508284065
Satus_fall_2018,X6,NP,1,1,0,sponge,-15.87603754,1.391630352,0,NA,0.927490333699437
Satus_fall_2018,Y3,NP,1,1,0,glass,-13.84231233,4.796557393,0,1.10387494085428,NA
Satus_fall_2018,AA3,NP,1,1,0,glass,-17.2859222,7.728659456,NA,1.77866598913744,NA
Satus_fall_2018,AA6,NP,1,1,0,sponge,-16.30497924,0.229963752,NA,NA,0.952549437992195
Satus_fall_2018,AD1,NP,1,1,0,sponge,-18.90667297,1.283810306,NA,NA,1.10454238835791
Satus_fall_2018,AD3,NP,1,1,0,glass,-18.77165239,8.768531693,NA,2.0179811500046,NA
Satus_fall_2018,V6,NPSi,1,1,1,glass,-11.79446391,1.870822634,0,0.430549257571573,NA
Satus_fall_2018,X4,NPSi,1,1,1,sponge,-16.3180231,0,0,NA,0.953311470333933
Satus_fall_2018,Y4,NPSi,1,1,1,sponge,-15.98630455,0,0,NA,0.933932217301895
Satus_fall_2018,Y6,NPSi,1,1,1,sponge,-16.64581472,0,0,NA,0.972461309092609
Satus_fall_2018,Y7,NPSi,1,1,1,glass,-16.54455198,5.360206614,0,1.23359261115714,NA
Satus_fall_2018,Z4,NPSi,1,1,1,sponge,-17.02099348,0,0,NA,0.994379541046433
Satus_fall_2018,AA5,NPSi,1,1,1,glass,-17.30596846,3.903654774,NA,0.898383221485777,NA
Satus_fall_2018,AB7,NPSi,1,1,1,glass,-17.59697334,6.838974058,0,1.57391467780539,NA
Satus_fall_2018,AB8,NPSi,1,1,1,glass,-18.08772122,3.967549386,0,0.913087863849765,NA
Satus_fall_2018,AC4,NPSi,1,1,1,sponge,-18.2083634,0,0,NA,1.06374660575328
Satus_fall_2018,U8,NSi,1,0,1,glass,-11.22029978,5.045472551,0,1.16116002738654,NA
Satus_fall_2018,V1,NSi,1,0,1,glass,-10.48813979,3.501269627,0,0.805778704547547,NA
Satus_fall_2018,X2,NSi,1,0,1,sponge,-12.42508449,0.719400843,0,NA,0.72588300014021
Satus_fall_2018,Y8,NSi,1,0,1,glass,-16.54455198,3.916819,0,0.9014128233453,NA
Satus_fall_2018,Z3,NSi,1,0,1,sponge,-16.90992631,0,0,NA,0.98789091148085
Satus_fall_2018,AA4,NSi,1,0,1,sponge,-16.32421473,0.699848075,NA,NA,0.953673190124553
Satus_fall_2018,AA7,NSi,1,0,1,glass,-17.01116235,5.500501109,NA,1.26587984649728,NA
Satus_fall_2018,AB5,NSi,1,0,1,sponge,-17.99631474,0,0,NA,1.05135855981118
Satus_fall_2018,AC1,NSi,1,0,1,sponge,-18.27945527,0,0,NA,1.06789984752179
Satus_fall_2018,AD6,NSi,1,0,1,glass,-18.9745867,7.244753366,NA,1.66730032357544,NA
Satus_fall_2018,U3,P,0,1,0,glass,-12.61471393,0.057299487,0,0.0131868468655068,NA
Satus_fall_2018,U5,P,0,1,0,sponge,-14.7716677,0,0,NA,0.862972197555675
Satus_fall_2018,U7,P,0,1,0,sponge,-15.45223629,0,0,NA,0.902731538452551
Satus_fall_2018,V2,P,0,1,0,glass,-12.03750095,3.872056912,0,0.891111320997883,NA
Satus_fall_2018,V3,P,0,1,0,sponge,-10.72987949,0,0,NA,0.626847819152665
Satus_fall_2018,W7,P,0,1,0,glass,-15.61064638,0,0,0,NA
Satus_fall_2018,X5,P,0,1,0,sponge,-13.473531,0,0,NA,0.787134052298273
Satus_fall_2018,Z2,P,0,1,0,glass,-15.33380174,2.02983598,0,0.467144430636104,NA
Satus_fall_2018,AA2,P,0,1,0,sponge,-17.73452869,1.867410746,NA,NA,1.03606481725983
Satus_fall_2018,AC8,P,0,1,0,glass,-18.56912152,6.462115157,NA,1.4871847456964,NA
Satus_fall_2018,U2,PSi,0,1,1,glass,-10.15396386,4.484052368,0,1.03195534566878,NA
Satus_fall_2018,U6,PSi,0,1,1,glass,-11.57318816,2.296161228,0,0.528436257939796,NA
Satus_fall_2018,V4,PSi,0,1,1,glass,-12.06788058,0.860270018,0,0.197981685077787,NA
Satus_fall_2018,W5,PSi,0,1,1,sponge,-15.81549451,0,0,NA,0.923953363283715
Satus_fall_2018,Y1,PSi,0,1,1,glass,-12.78962695,0,0,0,NA
Satus_fall_2018,Z8,PSi,0,1,1,sponge,-17.83325935,6.236792351,NA,NA,1.04183273841516
Satus_fall_2018,AB2,PSi,0,1,1,sponge,-18.03199117,0,0,NA,1.05344280431379
Satus_fall_2018,AB4,PSi,0,1,1,sponge,-17.11971166,0,0,NA,1.00014673311056
Satus_fall_2018,AD4,PSi,0,1,1,glass,-18.66958005,9.340504108,NA,2.14961431188438,NA
Satus_fall_2018,AD7,PSi,0,1,1,sponge,-19.21316968,1.700005388,NA,NA,1.12244816208258
Satus_fall_2018,U4,Si,0,0,1,sponge,-14.3767325,14.3767325,0,NA,0.83989977916949
Satus_fall_2018,V7,Si,0,0,1,glass,-10.69960797,6.298956079,0,1.44963547799871,NA
Satus_fall_2018,V8,Si,0,0,1,glass,-9.095217515,3.576367019,0,0.8230615435423,NA
Satus_fall_2018,X1,Si,0,0,1,sponge,-9.733173654,3.24873584,0,NA,0.568619496997172
Satus_fall_2018,X7,Si,0,0,1,glass,-12.32729246,2.916816547,0,0.671273254855933,NA
Satus_fall_2018,Z5,Si,0,0,1,sponge,-17.30349041,0,NA,NA,1.01088322914963
Satus_fall_2018,Z6,Si,0,0,1,glass,-16.22651445,11.67783656,NA,2.68752567430728,NA
Satus_fall_2018,AA8,Si,0,0,1,sponge,-15.14940688,2.255607987,NA,NA,0.885040011216788
Satus_fall_2018,AB6,Si,0,0,1,glass,-17.53154029,6.321382168,0,1.45479659578385,NA
Satus_fall_2018,AC5,Si,0,0,1,sponge,-17.07158443,0,NA,NA,0.997335103287921
Ahtanum_fall_2018,A6,control,0,0,0,sponge,-13.62759973,0,0,NA,0.804462793978748
Ahtanum_fall_2018,B5,control,0,0,0,glass,-20.66947773,0,0,0,NA
Ahtanum_fall_2018,B7,control,0,0,0,sponge,-16.46448186,0,0,NA,0.971929271546635
Ahtanum_fall_2018,C4,control,0,0,0,sponge,-17.44295145,0,0,NA,1.02969016824085
Ahtanum_fall_2018,D7,control,0,0,0,glass,-14.51724171,2.198356194,0,0.350939656141247,NA
Ahtanum_fall_2018,F5,control,0,0,0,glass,-20.54726082,11.9730645,NA,1.9113477379394,NA
Ahtanum_fall_2018,F6,control,0,0,0,glass,-21.53178589,9.214948817,NA,1.47104958606047,NA
Ahtanum_fall_2018,G1,control,0,0,0,glass,-19.94895862,7.934836729,NA,1.26669594345647,NA
Ahtanum_fall_2018,G4,control,0,0,0,sponge,-19.55876153,1.547692605,NA,NA,1.15459040909091
Ahtanum_fall_2018,J6,control,0,0,0,sponge,-17.6048312,0,NA,NA,1.03924623376623
Ahtanum_fall_2018,B3,N,1,0,0,glass,-12.52164913,0,0,0,NA
Ahtanum_fall_2018,B4,N,1,0,0,sponge,-9.16293976,0,0,NA,0.540905534828808
Ahtanum_fall_2018,B6,N,1,0,0,sponge,-14.23751152,0,0,NA,0.840467031877214
Ahtanum_fall_2018,C2,N,1,0,0,sponge,-12.15657202,0,0,NA,0.717625266824085
Ahtanum_fall_2018,D5,N,1,0,0,glass,-13.48377268,3.56327905,0,0.568832261102775,NA
Ahtanum_fall_2018,F7,N,1,0,0,glass,-16.92420859,5.273344914,NA,0.841822565371476,NA
Ahtanum_fall_2018,G5,N,1,0,0,glass,-16.05782653,4.931316354,NA,0.787222048146611,NA
Ahtanum_fall_2018,G7,N,1,0,0,glass,-13.85249039,4.790738045,NA,0.764780505890617,NA
Ahtanum_fall_2018,H1,N,1,0,0,sponge,-13.85641067,0.171026751,0,NA,0.817969933293979
Ahtanum_fall_2018,J5,N,1,0,0,sponge,-18.25096011,10.95070301,NA,NA,1.07738843624557
Ahtanum_fall_2018,A4,NP,1,1,0,glass,-8.921988871,0,0,0,NA
Ahtanum_fall_2018,D1,NP,1,1,0,sponge,-9.694613186,0,0,NA,0.572291215230224
Ahtanum_fall_2018,D2,NP,1,1,0,glass,-10.88326598,0,0,0,NA
Ahtanum_fall_2018,D6,NP,1,1,0,sponge,-9.602492595,0,0,NA,0.566853163813459
Ahtanum_fall_2018,E1,NP,1,1,0,glass,-9.440758526,3.23526653,0,0.516469226716899,NA
Ahtanum_fall_2018,F3,NP,1,1,0,glass,-10.31109051,3.75299694,0,0.59911831359152,NA
Ahtanum_fall_2018,G2,NP,1,1,0,sponge,-17.3039925,6.349373742,NA,NA,1.02148716056671
Ahtanum_fall_2018,H7,NP,1,1,0,sponge,-14.29642169,0.953349167,0,NA,0.843944609799292
