id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla
1,A1,PSi,0,1,1,glass,-3.73968056,0.633504919,0.418548
2,A2,Si,0,0,1,glass,-0.04753479,0.232636419,0.793405
3,A3,C,0,0,0,sponge,-7.407330501,0,NA
4,A4,NPSi,1,1,1,glass,-0.713244955,2.433801303,1.405512
5,A5,N,1,0,0,sponge,0,2.900915521,NA
6,A6,NSi,1,0,1,sponge,-5.691341673,1.833998644,NA
7,A7,N,1,0,0,glass,0,2.92965717,0.312856
8,A8,N,1,0,0,glass,-0.04753479,2.352263032,1.261974
9,B1,NSi,1,0,1,sponge,0,2.538071164,NA
10,B2,P,0,1,0,glass,0,2.230205202,0.578019
11,B3,N,1,0,0,sponge,-5.040361026,2.195331357,NA
12,B4,NP,1,1,0,glass,-2.673391551,1.172411122,0.809306
13,B5,NSi,1,0,1,glass,-8.294944054,0.208688275,0.737301
14,B6,Si,0,0,1,sponge,-6.593684744,0.554398723,NA
15,B7,NSi,1,0,1,glass,-0.536010431,3.730832429,1.282102
16,B8,C,0,0,0,glass,0,3.960548838,0.970157
17,C1,C,0,0,0,sponge,-7.495707608,3.074640706,NA
18,C2,Si,0,0,1,sponge,-6.94335069,0,NA
19,C3,C,0,0,0,glass,-1.415939018,3.403647389,0.90098
20,C4,N,1,0,0,sponge,-8.379478679,0,NA
21,C5,NSi,1,0,1,sponge,-3.671956799,0.197727384,NA
22,C6,PSi,0,1,1,sponge,-3.297795025,0,NA
23,C7,Si,0,0,1,sponge,-4.365685068,0.199513316,NA
24,C8,P,0,1,0,glass,-0.683305609,1.370352736,0.521585
25,D1,N,1,0,0,glass,-0.278243868,3.712115924,1.237474
26,D2,NSi,1,0,1,sponge,0,0.315119018,NA
27,D3,PSi,0,1,1,sponge,-4.476156452,0.820077833,NA
28,D4,PSi,0,1,1,sponge,-5.640074063,1.194751434,NA
29,D5,PSi,0,1,1,glass,-1.01471976,0,0.680419
30,D6,NPSi,1,1,1,glass,-2.673391551,2.707128836,1.303991
31,D7,PSi,0,1,1,sponge,-2.969262736,0,NA
32,D8,NPSi,1,1,1,sponge,-5.780038987,0,NA
33,E1,NPSi,1,1,1,sponge,-9.658341728,0.591689154,NA
34,E2,NP,1,1,0,sponge,-5.98593203,1.262620122,NA
35,E3,C,0,0,0,glass,-1.009116139,2.665526644,0.488607
36,E4,PSi,0,1,1,sponge,-1.452922916,0,NA
37,E5,P,0,1,0,sponge,-4.439332657,1.283369054,NA
38,E6,NP,1,1,0,sponge,-5.077344924,0,NA
39,E7,NP,1,1,0,glass,-0.787212751,0.875615291,0.307268
40,E8,PSi,0,1,1,glass,-0.793776993,0,0.560928
41,F1,NP,1,1,0,glass,-1.37895512,1.969576704,0.49435
42,F2,C,0,0,0,glass,-2.303552571,3.889423056,0.976976
43,F3,Si,0,0,1,sponge,-5.460911553,0,NA
44,F4,NPSi,1,1,1,sponge,-7.81415338,0,NA
45,F5,NPSi,1,1,1,glass,-2.117825572,4.055598194,1.411213
46,F6,Si,0,0,1,sponge,-6.315255748,2.263086568,NA
47,F7,P,0,1,0,sponge,-4.940875956,2.028306313,NA
48,F8,NP,1,1,0,sponge,-6.630668642,2.415699528,NA
49,G1,P,0,1,0,sponge,-3.380769165,0.346099572,NA
50,G2,NSi,1,0,1,glass,0,3.291074495,0.361545
51,G3,NP,1,1,0,glass,-0.317500953,0.100921256,0.712665
52,G4,NP,1,1,0,sponge,-5.376311677,1.528788893,NA
53,G5,NPSi,1,1,1,glass,-4.355510072,2.118103708,1.079533
54,G6,N,1,0,0,glass,-0.885836479,4.714319917,1.564384
55,G7,NP,1,1,0,sponge,-4.964112285,0.444555853,NA
56,G8,C,0,0,0,sponge,-8.062240059,1.393455811,NA
57,H1,Si,0,0,1,glass,0,0.641360919,0.957635
58,H2,PSi,0,1,1,glass,-1.585243084,1.973088999,1.191998
59,H3,N,1,0,0,glass,-0.148624111,2.624732284,1.006992
60,H4,PSi,0,1,1,glass,-2.001106471,0.533386243,0.695478
61,H5,NSi,1,0,1,glass,-0.685097918,1.68948732,0.489037
62,H6,C,0,0,0,sponge,-8.201251513,2.639897743,NA
63,H7,P,0,1,0,sponge,-5.835184621,1.310352966,NA
64,H8,C,0,0,0,sponge,-7.147945674,3.908509942,NA
65,I1,NSi,1,0,1,glass,0,2.987128324,0.167873
66,I2,NPSi,1,1,1,sponge,-6.690207743,0,NA
67,I3,NP,1,1,0,glass,-0.885836479,1.462801666,0.481785
68,I4,NPSi,1,1,1,glass,-1.767119455,3.569882835,1.070611
69,I5,Si,0,0,1,glass,0,0.686877132,0.513778
70,I6,P,0,1,0,glass,-0.718288214,2.063778914,0.565045
71,I7,NPSi,1,1,1,sponge,-8.461957314,0,NA
72,I8,P,0,1,0,glass,-5.590076238,1.693401867,0.950446
73,J1,C,0,0,0,glass,-1.418281889,0,0.41354
74,J2,N,1,0,0,sponge,-10.80984912,1.574580341,NA
75,J3,NSi,1,0,1,sponge,-0.06098348,0,NA
76,J4,N,1,0,0,sponge,-8.257960156,0.611999607,NA
77,J5,P,0,1,0,glass,-1.143603041,0.245253257,0.0953
78,J6,P,0,1,0,sponge,-2.806197367,0.519689236,NA
79,J7,Si,0,0,1,glass,-1.177148005,1.037626611,0.198121
80,J8,C,0,0,0,glass,-2.031661814,1.678593226,0.209053
